Player,Nation,MP,POTM,T,As,C,Pen,DG,Ta,MC,DB,OF,50-22,LS,BS,KR,SW,CPen,YC,RC ,AP
M. Jalibert,France,4,1,2,6,0,0,0,32,286,18,14,0,0,0,10,0,0,1,0,49.3
L. Bielle-Biarrey,France,5,1,9,4,0,0,0,30,366,16,2,0,0,0,7,0,1,0,0,46.8
T. Ramos,France,5,0,3,4,25,3,0,12,385,16,10,1,0,0,7,0,1,0,0,45.0
E. Gailleton,France,2,0,2,1,0,0,0,19,129,8,2,0,0,1,0,0,2,0,0,39.0
F. Brau-Boirie,France,2,0,1,0,0,0,0,32,120,9,3,0,0,0,0,0,0,0,0,39.0
C. Doris,Ireland,5,1,0,2,0,0,0,81,181,18,3,0,0,3,0,25,7,0,0,38.8
G. Ford,England,3,1,0,3,9,3,0,22,207,5,0,0,0,0,5,0,0,0,0,38.3
T. Menoncello,Italy,5,1,2,1,0,0,0,48,363,20,2,0,0,4,1,0,2,0,0,36.8
R. Darge,Scotland,5,1,1,0,0,0,0,74,66,6,3,0,0,6,0,19,0,0,0,35.2
J. Conan,Ireland,4,1,2,0,0,0,0,49,84,6,3,0,0,1,0,17,0,0,0,35.0
K. Steyn,Scotland,5,2,3,0,0,0,0,30,316,26,3,0,0,0,0,0,1,0,0,35.0
J. Botham,Wales,3,0,1,0,0,0,0,56,37,2,0,0,0,3,0,14,1,0,0,35.0
A. Wainwright,Wales,5,1,2,0,0,0,0,59,174,17,0,0,0,0,0,19,1,0,0,34.4
S. McCloskey,Ireland,5,0,0,6,0,0,0,66,242,20,8,0,0,1,0,0,2,0,0,34.0
O. Jegou,France,4,0,1,0,0,0,0,72,85,5,2,0,0,0,0,19,2,0,0,31.3
T. Attissogbe,France,5,0,5,2,0,0,0,32,326,12,7,0,0,0,0,0,2,0,0,31.2
A. Dupont,France,5,0,1,5,0,0,0,31,211,17,6,0,0,1,13,0,2,0,0,31.0
O. Lawrence,England,1,0,1,0,0,0,0,8,27,6,0,0,0,0,0,0,1,0,0,31.0
L. Cannone,Italy,5,0,0,0,0,0,0,72,187,14,2,0,0,3,0,19,1,0,0,30.8
T. Beirne,Ireland,5,0,0,1,0,0,0,73,26,0,2,0,2,7,0,22,1,0,0,30.4
F. Russell,Scotland,5,0,2,3,17,3,0,32,134,8,5,0,0,0,3,0,1,0,0,29.8
R. Baloucoune,Ireland,4,1,3,1,0,0,0,22,156,11,3,0,0,1,0,0,0,0,0,29.3
B. Earl,England,5,0,2,0,0,0,0,51,270,11,1,0,0,0,0,16,3,0,0,28.2
A. Mann,Wales,5,0,0,0,0,0,0,87,53,7,1,0,1,2,0,20,7,0,0,27.2
J. Lowe,Ireland,2,0,0,0,0,0,0,11,142,9,4,0,0,0,2,0,0,0,0,27.0
M. Zuliani,Italy,5,0,0,0,0,0,0,69,52,9,2,0,2,1,0,22,4,0,0,26.2
T. Freeman,England,5,0,3,1,0,0,0,27,301,19,3,0,0,0,0,2,2,0,0,26.0
A. Capuozzo,Italy,1,0,1,0,0,0,0,3,72,2,0,0,0,0,1,0,0,0,0,26.0
D. Murray,Ireland,1,0,1,0,0,0,0,10,2,1,0,0,0,0,0,0,1,0,0,26.0
D. Sheehan,Ireland,4,0,2,0,0,0,0,33,62,7,0,0,1,0,0,17,2,0,0,25.8
J. Crowley,Ireland,5,0,1,2,12,6,0,43,106,4,2,0,0,0,2,0,1,0,0,25.4
O. Chessum,England,5,0,2,1,0,0,0,41,177,2,1,0,2,0,0,14,1,0,0,24.8
A. Jelonch,France,4,0,0,0,0,0,0,56,66,4,3,0,0,1,0,16,0,0,0,24.0
J. Dempsey,Scotland,4,0,1,0,0,0,0,36,130,9,1,0,0,0,0,14,1,0,0,23.8
P. Garbisi,Italy,5,0,1,1,5,8,0,37,80,4,1,0,0,1,7,0,1,0,0,23.8
J. Gibson-Park,Ireland,5,1,1,2,0,0,0,28,123,7,1,0,0,2,10,0,0,0,0,23.4
M. Lamaro,Italy,5,0,0,2,0,0,0,55,18,0,1,0,2,3,0,22,1,0,0,23.2
R. Carre,Wales,5,0,3,0,0,0,0,32,63,5,2,0,0,2,0,14,3,0,0,23.0
J. Osborne,Ireland,5,0,4,0,0,0,0,18,232,9,5,1,0,0,2,0,1,1,0,22.4
B. Kinghorn,Scotland,3,0,0,3,0,0,0,7,176,9,7,0,0,0,0,0,1,0,0,22.3
E. Meafou,France,5,1,1,0,0,0,0,36,76,9,4,0,0,0,0,15,2,0,0,22.2
D. Lake,Wales,5,0,1,0,0,0,0,59,73,4,3,0,0,2,0,14,2,1,0,22.0
C. Ollivon,France,5,0,2,1,0,0,0,47,110,0,3,0,0,0,0,14,1,0,0,22.0
N. Depoortere,France,2,0,0,0,0,0,0,22,62,7,1,0,0,0,0,0,0,0,0,22.0
G. Drean,France,1,0,1,0,0,0,0,5,35,1,1,0,0,0,0,0,0,0,0,22.0
L. Rees-Zammit,Wales,5,0,0,1,0,0,0,18,388,18,4,1,0,0,1,0,2,0,0,21.8
J. Stockdale,Ireland,2,0,1,1,0,0,0,9,72,7,0,0,0,0,0,0,0,0,0,21.5
B. White,Scotland,5,0,2,2,0,0,0,30,51,5,4,0,0,0,14,0,0,0,0,21.4
D. Jenkins,Wales,5,0,0,0,0,0,0,84,26,0,0,0,0,1,0,23,6,0,0,21.2
S. Prendergast,Ireland,2,0,0,0,2,0,0,21,29,3,2,0,0,0,3,0,1,0,0,21.0
M. Guillard,France,5,1,0,1,0,0,0,45,101,4,3,0,0,2,0,11,3,0,0,20.8
T. O'Brien,Ireland,3,0,3,0,0,0,0,12,156,3,1,0,0,0,0,0,2,0,0,20.7
J. Ritchie,Scotland,1,0,1,0,0,0,0,5,3,0,0,0,0,0,0,2,2,0,0,20.0
C. Izuchukwu,Ireland,1,0,0,0,0,0,0,7,19,0,1,0,1,0,0,4,1,0,0,20.0
S. Costelow,Wales,1,0,0,1,2,2,0,4,2,0,0,0,0,0,1,0,0,0,0,20.0
H. Jones,Scotland,5,0,2,0,0,0,0,28,201,12,5,0,0,0,0,0,0,0,0,19.8
J. van der Flier,Ireland,4,0,0,0,0,0,0,54,59,3,1,0,0,0,0,12,0,0,0,19.8
D. Edwards,Wales,4,0,1,1,8,1,1,15,75,6,0,0,0,0,4,0,0,0,0,19.8
D. Graham,Scotland,5,0,4,0,0,0,0,13,143,14,2,0,0,0,1,0,2,0,0,19.6
H. Arundell,England,3,0,4,0,0,0,0,8,141,3,2,0,0,0,1,0,3,1,1,19.0
S. Tuipulotu,Scotland,5,0,0,2,0,0,0,42,129,16,2,0,0,0,0,0,3,0,0,18.8
T. Roebuck,England,4,0,3,0,0,0,0,14,125,10,1,0,0,0,0,0,2,0,0,18.8
M. Ioane,Italy,5,0,0,0,0,0,0,29,247,11,11,0,0,0,0,0,2,0,0,18.6
F. Dingwall,England,3,0,1,3,0,0,0,20,47,0,4,0,0,0,1,0,2,0,0,18.0
J. Macleod,Wales,1,0,0,0,0,0,0,11,18,0,0,0,0,1,0,2,1,0,0,18.0
G. Pepper,England,5,0,0,0,0,0,0,49,62,7,2,0,1,1,0,11,6,0,0,17.8
G. Nicotera,Italy,5,0,1,0,0,0,0,64,24,0,1,0,0,0,0,14,2,1,0,17.8
T. Flament,France,4,0,0,0,0,0,0,33,40,1,3,0,2,0,0,14,1,0,0,17.8
M. Fagerson,Scotland,5,0,0,2,0,0,0,59,77,2,0,0,0,0,0,15,3,0,0,17.6
C. Murley,England,2,0,1,0,0,0,0,13,76,3,0,0,0,0,0,0,1,0,0,17.5
J. McCarthy,Ireland,5,0,0,0,0,0,0,50,43,2,1,0,2,0,0,17,3,0,0,17.2
N. Timoney,Ireland,5,0,1,0,0,0,0,33,103,8,0,0,0,1,0,9,0,0,0,17.0
