season,comp_id,comp_name,round,fixture_id,date,team,team_id,opponent,opponent_id,home_away,team_score,opp_score,result,margin,player_id,player_name,jersey,started,minutes,yellow_cards,red_cards,tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,metres,defenders_beaten,clean_breaks,offload,runs,tackles,missed_tackles,dominant_tackles,tackle_success,tackle_turnover,tackle_try_saver,rucks_won,rucks_lost,passes,bad_passes,lineouts_won,turnovers_conceded,penalties_conceded,missed_conversion_goals,missed_penalty_goals,drop_goal_missed,points,canonical_pos,is_forward,fantasy_pts_recon
2021,1266,Six Nations,1,8289106,2021-02-06,Italy,2873,France,1967,home,10,50,L,-40,202992,Jacopo Trulla,15,True,80,0,0,0,0,0,0,0,75,1,1,2,11,2,2,0,0.5,0,0,0,0,8,0,0,1,0,0,0,0,0,Back-three,False,15
2021,1266,Six Nations,1,8289106,2021-02-06,Italy,2873,France,1967,home,10,50,L,-40,136758,Luca Sperandio,14,True,80,0,0,1,0,0,0,0,35,0,1,0,7,3,1,0,0.75,0,0,0,0,1,0,0,0,0,0,0,0,5,Back-three,False,16
2021,1266,Six Nations,1,8289106,2021-02-06,Italy,2873,France,1967,home,10,50,L,-40,148110,Marco Zanon,13,True,43,0,0,0,0,0,0,0,11,0,0,0,4,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,Centre,False,1
2021,1266,Six Nations,1,8289106,2021-02-06,Italy,2873,France,1967,home,10,50,L,-40,118614,Juan Ignacio Brex,12,True,80,0,0,0,0,0,0,0,88,1,2,0,15,10,1,0,0.91,0,0,0,0,7,0,0,0,1,0,0,0,0,Centre,False,19
2021,1266,Six Nations,1,8289106,2021-02-06,Italy,2873,France,1967,home,10,50,L,-40,134016,Monty Ioane,11,True,80,0,0,0,0,0,0,0,92,6,2,0,15,2,0,0,1.0,0,0,0,0,3,0,0,0,0,0,0,0,0,Back-three,False,23
2021,1266,Six Nations,1,8289106,2021-02-06,Italy,2873,France,1967,home,10,50,L,-40,203034,Paolo Garbisi,10,True,35,0,0,0,0,1,1,0,84,4,1,2,15,5,0,0,1.0,0,0,0,0,31,0,0,0,0,0,0,0,5,Fly-half,False,30
2021,1266,Six Nations,1,8289106,2021-02-06,Italy,2873,France,1967,home,10,50,L,-40,213144,Stephen Varney,9,True,80,0,0,0,0,0,0,0,11,3,1,2,5,3,3,0,0.5,0,0,0,0,109,1,0,2,0,0,0,0,0,Scrum-half,False,14
2021,1266,Six Nations,1,8289106,2021-02-06,Italy,2873,France,1967,home,10,50,L,-40,123420,Cherif Traore,1,True,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prop,True,0
2021,1266,Six Nations,1,8289106,2021-02-06,Italy,2873,France,1967,home,10,50,L,-40,128046,Luca Bigi,2,True,58,0,0,0,0,0,0,0,3,0,0,1,6,8,1,0,0.89,0,0,0,0,4,0,9,0,2,0,0,0,0,Hooker,True,8
2021,1266,Six Nations,1,8289106,2021-02-06,Italy,2873,France,1967,home,10,50,L,-40,144684,Marco Riccioni,3,True,30,0,0,0,0,0,0,0,3,0,0,0,5,3,0,0,1.0,0,0,0,0,2,0,0,0,0,0,0,0,0,Prop,True,3
2021,1266,Six Nations,1,8289106,2021-02-06,Italy,2873,France,1967,home,10,50,L,-40,128016,Marco Lazzaroni,4,True,80,0,0,0,0,0,0,0,5,0,0,0,7,6,2,0,0.75,0,0,0,0,2,0,0,0,1,0,0,0,0,Second-row,True,5
2021,1266,Six Nations,1,8289106,2021-02-06,Italy,2873,France,1967,home,10,50,L,-40,111144,David Sisi,5,True,58,0,0,0,0,0,0,0,1,1,0,0,4,5,1,0,0.83,0,0,0,0,6,0,0,0,0,0,0,0,0,Second-row,True,7
2021,1266,Six Nations,1,8289106,2021-02-06,Italy,2873,France,1967,home,10,50,L,-40,129216,Sebastian Negri,6,True,58,0,0,0,0,0,0,0,13,1,0,0,10,7,2,0,0.78,0,0,0,0,1,0,0,0,0,0,0,0,0,Back-row,True,10
2021,1266,Six Nations,1,8289106,2021-02-06,Italy,2873,France,1967,home,10,50,L,-40,128844,Johan Meyer,7,True,50,0,0,0,0,0,0,0,34,1,0,0,10,3,1,0,0.75,0,0,0,0,1,0,0,1,0,0,0,0,0,Back-row,True,8
2021,1266,Six Nations,1,8289106,2021-02-06,Italy,2873,France,1967,home,10,50,L,-40,164220,Michele Lamaro,8,True,80,0,0,0,0,0,0,0,11,0,0,0,13,12,4,0,0.75,0,0,0,0,2,0,0,1,0,0,0,0,0,Back-row,True,13
2021,1266,Six Nations,1,8289106,2021-02-06,Italy,2873,France,1967,home,10,50,L,-40,202980,Gianmarco Lucchesi,16,False,22,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1.0,0,0,0,0,0,0,2,0,0,0,0,0,0,Hooker,True,3
2021,1266,Six Nations,1,8289106,2021-02-06,Italy,2873,France,1967,home,10,50,L,-40,164232,Danilo Fischetti,17,False,50,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1.0,0,0,0,0,2,0,0,2,3,0,0,0,0,Prop,True,-1
2021,1266,Six Nations,1,8289106,2021-02-06,Italy,2873,France,1967,home,10,50,L,-40,147354,Giosue Zilocchi,18,False,50,0,0,0,0,0,0,0,5,1,0,0,3,3,5,0,0.38,0,0,0,0,1,0,0,1,2,0,0,0,0,Prop,True,3
2021,1266,Six Nations,1,8289106,2021-02-06,Italy,2873,France,1967,home,10,50,L,-40,167196,Niccolo Cannone,19,False,22,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,Second-row,True,2
2021,1266,Six Nations,1,8289106,2021-02-06,Italy,2873,France,1967,home,10,50,L,-40,129234,Federico Ruzza,20,False,22,0,0,0,0,0,0,0,9,0,0,0,3,2,0,0,1.0,0,0,0,0,0,0,0,2,0,0,0,0,0,Second-row,True,2
2021,1266,Six Nations,1,8289106,2021-02-06,Italy,2873,France,1967,home,10,50,L,-40,122892,Maxime Mbanda,21,False,24,0,0,0,0,0,0,0,10,0,0,0,1,2,1,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,3
2021,1266,Six Nations,1,8289106,2021-02-06,Italy,2873,France,1967,home,10,50,L,-40,112212,Guglielmo Palazzani,22,False,6,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,,False,0
2021,1266,Six Nations,1,8289106,2021-02-06,Italy,2873,France,1967,home,10,50,L,-40,134250,Carlo Canna,23,False,5,0,0,0,0,0,0,0,16,0,1,0,6,3,1,0,0.75,0,0,0,0,13,0,0,2,0,0,0,0,0,Centre,False,4
2021,1266,Six Nations,1,8289106,2021-02-06,Italy,2873,France,1967,home,10,50,L,-40,147348,Daniele Rimpelli,1,True,30,0,0,0,0,0,0,0,4,0,0,0,3,1,2,0,0.33,0,0,0,0,1,0,0,0,2,0,0,0,0,Prop,True,-1
2021,1266,Six Nations,1,8289106,2021-02-06,France,1967,Italy,2873,away,50,10,W,40,64326,Brice Dulin,15,True,80,0,0,1,1,0,0,0,59,3,1,0,9,8,0,0,1.0,0,0,0,0,10,0,0,1,0,0,0,0,5,Back-three,False,33
2021,1266,Six Nations,1,8289106,2021-02-06,France,1967,Italy,2873,away,50,10,W,40,121614,Teddy Thomas,14,True,80,0,0,2,1,0,0,0,65,7,3,1,5,2,3,0,0.4,0,0,0,0,3,0,0,1,0,0,0,0,10,Back-three,False,48
