season,comp_id,comp_name,round,fixture_id,date,team,team_id,opponent,opponent_id,home_away,team_score,opp_score,result,margin,tries_for,tries_against,conv_for,conv_against,pens_for,pens_against,dg_for,dg_against,ball_possession_last_10_mins,carries_crossed_gain_line,carries_metres,carries_not_made_gain_line,clean_breaks,conversion_goals,defenders_beaten,kicks_from_hand,lineout_success,lineout_won_steal,lineouts_Lost,lineouts_won,mauls_lost,mauls_total,mauls_won,mauls_won_penalty,mauls_won_try,missed_conversion_goals,missed_penalty_goals,missed_tackles,offload,passes,pc_possession_first,pc_possession_second,penalties_conceded,penalty_goals,possession,red_card_second_yellow,red_cards,rucks_lost,rucks_total,rucks_won,runs,scrums_lost,scrums_success,scrums_won,tackles,turnovers_conceded,turnovers_won,yellow_cards
2021,1266,Six Nations,1,8289106,2021-02-06,Italy,2873,France,1967,home,10,50,L,-40,1,7,1,6,1,1,0,0,0.55,64,510,78,9,1,19,23,0.79,1,3,11,1,4,3,0,0,0,0,28,7,198,0.66,0.55,12,1,0.61,0,0,4,116,112,150,0,1.0,3,87,12,3,0
2021,1266,Six Nations,1,8289106,2021-02-06,France,1967,Italy,2873,away,50,10,W,40,7,1,6,1,1,1,0,0,0.45,41,484,44,14,6,28,34,0.92,2,1,12,0,5,5,1,0,1,0,19,9,104,0.34,0.45,9,1,0.39,0,0,4,58,54,94,1,0.83,5,161,10,5,0
2021,1266,Six Nations,1,8289115,2021-02-06,England,1667,Scotland,2117,home,6,11,L,-5,0,1,0,0,2,2,0,0,0.38,25,219,44,0,0,11,35,0.85,0,2,11,1,10,9,0,0,0,0,29,2,85,0.27,0.41,15,2,0.35,0,0,4,60,56,70,0,1.0,5,163,13,3,1
2021,1266,Six Nations,1,8289115,2021-02-06,Scotland,2117,England,1667,away,11,6,W,5,1,0,0,0,2,2,0,0,0.62,57,340,73,11,0,29,43,1.0,2,0,15,1,8,7,1,0,1,2,11,4,118,0.73,0.59,6,2,0.65,0,0,1,117,116,134,0,1.0,6,92,12,3,1
2021,1266,Six Nations,1,8289124,2021-02-07,Wales,1517,Ireland,1817,home,21,16,W,5,2,1,1,1,3,3,0,0,0.15,45,232,47,3,1,17,28,0.73,1,4,11,1,2,1,1,0,1,0,26,5,131,0.36,0.36,11,3,0.36,0,0,5,83,78,95,0,1.0,5,245,13,3,0
2021,1266,Six Nations,1,8289124,2021-02-07,Ireland,1817,Wales,1517,away,16,21,L,-5,1,2,1,1,3,3,0,0,0.85,84,536,102,7,1,26,35,0.78,3,2,7,0,4,4,0,0,0,0,17,3,262,0.64,0.64,11,3,0.64,0,1,3,168,165,189,0,1.0,5,110,18,6,0
2021,1266,Six Nations,2,8289196,2021-02-13,England,1667,Italy,2873,home,41,18,W,23,6,2,4,1,1,2,0,0,0.61,74,561,69,14,4,31,21,1.0,1,0,9,0,7,7,1,0,2,0,12,4,198,0.6,0.53,12,1,0.56,0,0,5,107,102,147,1,0.75,3,99,14,7,0
2021,1266,Six Nations,2,8289196,2021-02-13,Italy,2873,England,1667,away,18,41,L,-23,2,6,1,4,2,1,0,0,0.39,37,325,51,5,1,12,21,0.94,0,1,15,1,5,4,0,0,1,0,31,5,122,0.4,0.47,11,2,0.44,0,0,4,78,74,92,1,0.88,7,184,13,4,0
2021,1266,Six Nations,2,8289205,2021-02-13,Scotland,2117,Wales,1517,home,24,25,L,-1,3,4,3,1,1,1,0,0,0.86,72,508,68,11,3,27,26,0.82,0,2,9,0,7,7,0,0,0,0,6,5,168,0.49,0.72,11,1,0.62,0,1,5,120,115,145,1,0.86,6,104,10,4,0
2021,1266,Six Nations,2,8289205,2021-02-13,Wales,1517,Scotland,2117,away,25,24,W,1,4,3,1,3,1,1,0,0,0.14,36,188,43,7,1,6,27,0.92,2,1,11,1,8,7,2,0,3,0,27,4,118,0.51,0.28,12,1,0.38,0,0,3,66,63,81,1,0.67,2,179,9,5,0
2021,1266,Six Nations,2,8289214,2021-02-14,Ireland,1817,France,1967,home,13,15,L,-2,1,2,1,1,2,1,0,0,0.61,53,365,76,4,1,24,41,1.0,1,0,9,0,3,3,1,0,0,1,25,3,192,0.61,0.57,5,2,0.59,0,0,3,115,112,133,0,1.0,7,107,16,6,0
2021,1266,Six Nations,2,8289214,2021-02-14,France,1967,Ireland,1817,away,15,13,W,2,2,1,1,1,1,2,0,0,0.39,43,374,43,11,1,25,32,0.83,0,3,15,1,3,2,0,0,1,2,24,12,110,0.39,0.43,9,1,0.41,0,0,5,74,69,97,0,1.0,6,177,18,7,1
