season,round,fixture_id,date,venue,weather_source_timestamp,weather_source_kind,weather_temp_c,weather_temp_min_c,weather_temp_max_c,weather_rain_mm,weather_precip_mm,weather_wind_kph,weather_wind_gust_kph
2023,1,8380528,2023-02-04,Principality Stadium,2026-06-20T09:49:26.875277+00:00,open_meteo_archive_daily,8.4,7.3,9.7,0.1,0.1,18.7,37.4
2023,1,8380537,2023-02-04,Allianz Stadium Twickenham,2026-06-20T09:49:26.875277+00:00,open_meteo_archive_daily,7.6,5.4,9.4,0.2,0.2,12.3,24.5
2023,1,8380546,2023-02-05,Stadio Olimpico,2026-06-20T09:49:26.875277+00:00,open_meteo_archive_daily,6.5,2.9,11.2,0.0,0.0,26.0,48.2
2023,2,8380555,2023-02-11,Aviva Stadium,2026-06-20T09:49:26.875277+00:00,open_meteo_archive_daily,9.1,7.2,11.3,0.0,0.0,15.1,27.0
2023,2,8380564,2023-02-11,Murrayfield Stadium,2026-06-20T09:49:26.875277+00:00,open_meteo_archive_daily,8.3,6.5,9.7,0.0,0.0,27.7,55.1
2023,2,8380573,2023-02-12,Allianz Stadium Twickenham,2026-06-20T09:49:26.875277+00:00,open_meteo_archive_daily,7.3,5.9,9.2,0.0,0.0,11.5,23.0
2023,3,8380582,2023-02-25,Stadio Olimpico,2026-06-20T09:49:26.875277+00:00,open_meteo_archive_daily,13.1,8.9,18.2,3.4,3.4,23.7,45.7
2023,3,8380591,2023-02-25,Principality Stadium,2026-06-20T09:49:26.875277+00:00,open_meteo_archive_daily,4.2,1.7,6.6,0.0,0.0,25.1,48.2
2023,3,8380600,2023-02-26,Stade de France,2026-06-20T09:49:26.875277+00:00,open_meteo_archive_daily,2.0,-1.0,5.0,0.0,0.0,31.3,57.6
2023,4,8380609,2023-03-11,Stadio Olimpico,2026-06-20T09:49:26.875277+00:00,open_meteo_archive_daily,12.7,7.7,17.0,0.0,0.0,9.2,20.2
2023,4,8380618,2023-03-11,Allianz Stadium Twickenham,2026-06-20T09:49:26.875277+00:00,open_meteo_archive_daily,2.5,-3.2,7.4,0.5,0.5,16.3,33.5
2023,4,8380627,2023-03-12,Murrayfield Stadium,2026-06-20T09:49:26.875277+00:00,open_meteo_archive_daily,6.9,0.8,11.0,2.0,4.8,33.1,67.3
2023,5,8380636,2023-03-18,Murrayfield Stadium,2026-06-20T09:49:26.875277+00:00,open_meteo_archive_daily,8.1,4.8,12.6,10.3,10.3,21.3,42.1
2023,5,8380645,2023-03-18,Stade de France,2026-06-20T09:49:26.875277+00:00,open_meteo_archive_daily,11.2,8.4,15.1,4.4,4.4,25.9,53.6
2023,5,8380654,2023-03-18,Aviva Stadium,2026-06-20T09:49:26.875277+00:00,open_meteo_archive_daily,8.7,6.0,11.9,2.8,2.8,24.0,45.7
2024,1,8428786,2024-02-02,Stade de France,2026-06-20T09:49:26.875277+00:00,open_meteo_archive_daily,5.5,1.9,8.6,0.0,0.0,14.9,29.2
2024,1,8428795,2024-02-03,Stadio Olimpico,2026-06-20T09:49:26.875277+00:00,open_meteo_archive_daily,9.2,4.6,17.0,0.0,0.0,12.0,20.9
2024,1,8428804,2024-02-03,Principality Stadium,2026-06-20T09:49:26.875277+00:00,open_meteo_archive_daily,9.4,9.2,9.9,4.0,4.0,23.9,46.8
2024,2,8428813,2024-02-10,Murrayfield Stadium,2026-06-20T09:49:26.875277+00:00,open_meteo_archive_daily,4.0,1.5,5.2,9.5,9.5,27.2,54.4
2024,2,8428822,2024-02-10,Allianz Stadium Twickenham,2026-06-20T09:49:26.875277+00:00,open_meteo_archive_daily,9.3,7.4,11.1,1.8,1.8,13.7,27.7
2024,2,8428831,2024-02-11,Aviva Stadium,2026-06-20T09:49:26.875277+00:00,open_meteo_archive_daily,5.5,3.3,8.9,0.0,0.0,25.6,46.4
2024,3,8428840,2024-02-24,Aviva Stadium,2026-06-20T09:49:26.875277+00:00,open_meteo_archive_daily,5.0,1.9,8.7,0.2,0.2,17.6,30.2
2024,3,8428849,2024-02-24,Murrayfield Stadium,2026-06-20T09:49:26.875277+00:00,open_meteo_archive_daily,2.0,-1.2,6.4,0.4,0.4,11.3,22.0
2024,3,8428858,2024-02-25,Stade de France,2026-06-20T09:49:26.875277+00:00,open_meteo_archive_daily,5.9,3.2,8.8,7.5,7.5,23.2,44.6
2024,4,8428867,2024-03-09,Stadio Olimpico,2026-06-20T09:49:26.875277+00:00,open_meteo_archive_daily,11.2,9.2,13.8,12.4,12.4,21.6,38.9
2024,4,8428876,2024-03-09,Allianz Stadium Twickenham,2026-06-20T09:49:26.875277+00:00,open_meteo_archive_daily,9.0,6.3,13.0,0.6,0.6,21.3,46.1
2024,4,8428885,2024-03-10,Principality Stadium,2026-06-20T09:49:26.875277+00:00,open_meteo_archive_daily,8.1,6.1,11.3,4.5,4.5,18.0,33.8
2024,5,8428894,2024-03-16,Principality Stadium,2026-06-20T09:49:26.875277+00:00,open_meteo_archive_daily,7.0,0.9,10.7,7.4,7.4,20.4,37.8
2024,5,8428903,2024-03-16,Aviva Stadium,2026-06-20T09:49:26.875277+00:00,open_meteo_archive_daily,8.1,2.3,11.9,6.1,6.1,29.5,59.0
2024,5,8428912,2024-03-16,Stade de France,2026-06-20T09:49:26.875277+00:00,open_meteo_archive_daily,11.7,9.4,14.6,0.1,0.1,21.4,37.4
2025,1,8476108,2025-01-31,Stade de France,2026-06-20T09:49:26.875277+00:00,open_meteo_archive_daily,2.0,-0.1,5.1,4.3,4.3,14.3,28.4
2025,1,8476117,2025-02-01,Murrayfield Stadium,2026-06-20T09:49:26.875277+00:00,open_meteo_archive_daily,3.5,1.3,5.7,0.1,0.1,17.0,36.4
2025,1,8476126,2025-02-01,Aviva Stadium,2026-06-20T09:49:26.875277+00:00,open_meteo_archive_daily,6.8,3.4,9.7,3.6,3.6,29.7,56.5
2025,2,8476135,2025-02-08,Stadio Olimpico,2026-06-20T09:49:26.875277+00:00,open_meteo_archive_daily,8.4,4.5,13.4,12.5,12.5,14.9,32.0
2025,2,8476144,2025-02-08,Allianz Stadium Twickenham,2026-06-20T09:49:26.875277+00:00,open_meteo_archive_daily,4.5,1.9,6.2,2.3,2.4,15.6,29.9
