match_id,gameday,game_date,lock_date,home,home_id,away,away_id,iscurrent
291581,1,2026-07-04T07:10:00.000,2026-07-04T06:40:00.000,New Zealand,7,France,5,2
291582,1,2026-07-04T07:10:00.000,2026-07-04T06:40:00.000,Japan,103,Italy,6,2
291580,1,2026-07-04T07:10:00.000,2026-07-04T06:40:00.000,Australia,9,Ireland,4,2
291578,1,2026-07-04T07:10:00.000,2026-07-04T06:40:00.000,Fiji,243,Wales,3,2
291579,1,2026-07-04T07:10:00.000,2026-07-04T06:40:00.000,South Africa,8,England,1,2
291577,1,2026-07-04T07:10:00.000,2026-07-04T06:40:00.000,Argentina,10,Scotland,2,2
291587,2,2026-07-11T05:10:00.000,2026-07-11T04:40:00.000,New Zealand,7,Italy,6,2
291586,2,2026-07-11T05:10:00.000,2026-07-11T04:40:00.000,Australia,9,France,5,2
291588,2,2026-07-11T05:10:00.000,2026-07-11T04:40:00.000,Japan,103,Ireland,4,2
291584,2,2026-07-11T05:10:00.000,2026-07-11T04:40:00.000,Fiji,243,England,1,2
291585,2,2026-07-11T05:10:00.000,2026-07-11T04:40:00.000,South Africa,8,Scotland,2,2
291583,2,2026-07-11T05:10:00.000,2026-07-11T04:40:00.000,Argentina,10,Wales,3,2
291592,3,2026-07-18T07:10:00.000,2026-07-18T06:40:00.000,New Zealand,7,Ireland,4,2
291593,3,2026-07-18T07:10:00.000,2026-07-18T06:40:00.000,Japan,103,France,5,2
291591,3,2026-07-18T07:10:00.000,2026-07-18T06:40:00.000,Australia,9,Italy,6,2
291594,3,2026-07-18T07:10:00.000,2026-07-18T06:40:00.000,Fiji,243,Scotland,2,2
291590,3,2026-07-18T07:10:00.000,2026-07-18T06:40:00.000,South Africa,8,Wales,3,2
291589,3,2026-07-18T07:10:00.000,2026-07-18T06:40:00.000,Argentina,10,England,1,2
291598,4,2026-11-06T20:10:00.000,2026-11-06T19:40:00.000,Ireland,4,Argentina,10,1
291599,4,2026-11-06T20:10:00.000,2026-11-06T19:40:00.000,Italy,6,South Africa,8,1
291595,4,2026-11-06T20:10:00.000,2026-11-06T19:40:00.000,Scotland,2,New Zealand,7,1
291596,4,2026-11-06T20:10:00.000,2026-11-06T19:40:00.000,Wales,3,Japan,103,1
291597,4,2026-11-06T20:10:00.000,2026-11-06T19:40:00.000,France,5,Fiji,243,1
291600,4,2026-11-06T20:10:00.000,2026-11-06T19:40:00.000,England,1,Australia,9,1
291604,5,2026-11-13T20:10:00.000,2026-11-13T19:40:00.000,France,5,South Africa,8,0
291606,5,2026-11-13T20:10:00.000,2026-11-13T19:40:00.000,Italy,6,Argentina,10,0
291603,5,2026-11-13T20:10:00.000,2026-11-13T19:40:00.000,Wales,3,New Zealand,7,0
291601,5,2026-11-13T20:10:00.000,2026-11-13T19:40:00.000,England,1,Japan,103,0
291605,5,2026-11-13T20:10:00.000,2026-11-13T19:40:00.000,Ireland,4,Fiji,243,0
291602,5,2026-11-13T20:10:00.000,2026-11-13T19:40:00.000,Scotland,2,Australia,9,0
291607,6,2026-11-21T14:10:00.000,2026-11-21T13:40:00.000,England,1,New Zealand,7,0
291608,6,2026-11-21T14:10:00.000,2026-11-21T13:40:00.000,Scotland,2,Japan,103,0
291612,6,2026-11-21T14:10:00.000,2026-11-21T13:40:00.000,Italy,6,Fiji,243,0
291611,6,2026-11-21T14:10:00.000,2026-11-21T13:40:00.000,Ireland,4,South Africa,8,0
291610,6,2026-11-21T14:10:00.000,2026-11-21T13:40:00.000,France,5,Argentina,10,0
291609,6,2026-11-21T14:10:00.000,2026-11-21T13:40:00.000,Wales,3,Australia,9,0
291613,7,2026-11-27T16:40:00.000,2026-11-27T16:10:00.000,TBD,,TBD,,0
291616,7,2026-11-27T16:40:00.000,2026-11-27T16:10:00.000,TBD,,TBD,,0
291614,7,2026-11-27T16:40:00.000,2026-11-27T16:10:00.000,TBD,,TBD,,0
291617,7,2026-11-27T16:40:00.000,2026-11-27T16:10:00.000,TBD,,TBD,,0
291615,7,2026-11-27T16:40:00.000,2026-11-27T16:10:00.000,TBD,,TBD,,0
291618,7,2026-11-27T16:40:00.000,2026-11-27T16:10:00.000,TBD,,TBD,,0
