date,comp_id,comp_name,fixture_id,team,team_id,opponent,opponent_id,team_score,opp_score,player_id,player_name,jersey,started,minutes,yellow_cards,red_cards,tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,metres,defenders_beaten,clean_breaks,offload,runs,tackles,missed_tackles,dominant_tackles,tackle_success,tackle_turnover,tackle_try_saver,rucks_won,rucks_lost,passes,bad_passes,lineouts_won,turnovers_conceded,penalties_conceded,missed_conversion_goals,missed_penalty_goals,drop_goal_missed,points
2026-07-04,696,Nations Championship,8546083,New Zealand,2567,France,1967,34,32,130452,Damian McKenzie,15,True,80,0,0,0,0,0,0,0,35,2,1,0,9,5,3,0,0.63,0,0,4,0,17,2,1,3,0,1,0,0,0
2026-07-04,696,Nations Championship,8546083,New Zealand,2567,France,1967,34,32,168972,Will Jordan,14,True,80,0,0,2,0,0,0,0,63,0,2,0,11,8,0,0,0.89,0,0,8,0,7,1,0,1,0,0,0,0,10
2026-07-04,696,Nations Championship,8546083,New Zealand,2567,France,1967,34,32,188928,Quinn Tupaea,13,True,59,0,0,0,0,0,0,0,14,1,0,0,9,6,3,0,0.55,0,0,9,0,8,1,0,1,1,0,0,0,0
2026-07-04,696,Nations Championship,8546083,New Zealand,2567,France,1967,34,32,149694,Jordie Barrett,12,True,80,0,0,0,2,0,0,0,26,0,1,2,9,11,2,2,0.85,0,0,6,0,24,1,0,2,1,0,0,0,0
2026-07-04,696,Nations Championship,8546083,New Zealand,2567,France,1967,34,32,168948,Caleb Clarke,11,True,68,0,0,0,1,0,0,0,54,3,1,0,10,3,1,0,0.38,0,0,8,0,3,0,0,1,0,0,0,0,0
2026-07-04,696,Nations Championship,8546083,New Zealand,2567,France,1967,34,32,216096,Ruben Love,10,True,80,1,0,0,0,3,1,0,50,5,1,1,4,4,1,0,0.57,0,0,4,0,19,1,0,0,1,1,0,0,9
2026-07-04,696,Nations Championship,8546083,New Zealand,2567,France,1967,34,32,225594,Cam Roigard,9,True,75,0,0,2,0,0,0,0,49,6,2,1,8,7,1,0,0.78,0,0,4,0,92,4,0,0,0,0,0,0,10
2026-07-04,696,Nations Championship,8546083,New Zealand,2567,France,1967,34,32,196176,Ethan de Groot,1,True,53,0,0,0,0,0,0,0,7,1,0,0,5,13,0,1,0.93,0,0,4,0,5,0,0,1,1,0,0,0,0
2026-07-04,696,Nations Championship,8546083,New Zealand,2567,France,1967,34,32,112860,Codie Taylor,2,True,59,0,0,0,0,0,0,0,39,0,0,0,10,11,1,0,0.92,0,0,10,0,2,0,7,0,0,0,0,0,0
2026-07-04,696,Nations Championship,8546083,New Zealand,2567,France,1967,34,32,206700,Fletcher Newell,3,True,53,0,0,0,0,0,0,0,5,0,0,0,4,13,0,0,0.93,0,0,4,0,2,0,0,0,1,0,0,0,0
2026-07-04,696,Nations Championship,8546083,New Zealand,2567,France,1967,34,32,197916,Josh Lord,4,True,68,0,0,0,0,0,0,0,12,0,1,0,4,10,1,0,0.71,0,0,4,0,3,0,0,0,0,0,0,0,0
2026-07-04,696,Nations Championship,8546083,New Zealand,2567,France,1967,34,32,197832,Sam Darry,5,True,80,0,0,0,0,0,0,0,14,1,0,0,11,21,2,2,0.91,0,0,10,0,7,0,0,0,1,0,0,0,0
2026-07-04,696,Nations Championship,8546083,New Zealand,2567,France,1967,34,32,241614,Peter Lakai,6,True,53,0,0,1,0,0,0,0,25,0,0,0,7,6,2,0,0.75,0,0,6,0,5,1,0,0,0,0,0,0,5
2026-07-04,696,Nations Championship,8546083,New Zealand,2567,France,1967,34,32,149676,Luke Jacobson,7,True,80,0,0,0,1,0,0,0,12,3,0,1,7,21,1,2,0.84,0,0,6,0,4,1,0,0,2,0,0,0,0
2026-07-04,696,Nations Championship,8546083,New Zealand,2567,France,1967,34,32,120396,Ardie Savea,8,True,80,0,0,0,0,0,0,0,40,2,1,0,13,16,1,0,0.89,0,0,13,0,4,0,0,1,1,0,0,0,0
2026-07-04,696,Nations Championship,8546083,New Zealand,2567,France,1967,34,32,149706,Asafo Aumua,16,False,21,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0.83,0,0,2,0,1,0,1,0,0,0,0,0,0
2026-07-04,696,Nations Championship,8546083,New Zealand,2567,France,1967,34,32,185508,Xavier Numia,17,False,27,0,0,0,0,0,0,0,6,0,0,1,5,7,2,0,0.78,0,0,4,0,2,0,0,0,0,0,0,0,0
2026-07-04,696,Nations Championship,8546083,New Zealand,2567,France,1967,34,32,140004,Tyrel Lomax,18,False,27,0,0,0,0,0,0,0,1,0,0,0,3,4,1,0,0.8,0,0,2,0,0,0,0,1,0,0,0,0,0
2026-07-04,696,Nations Championship,8546083,New Zealand,2567,France,1967,34,32,214296,Jamie Hannah,19,False,12,0,0,0,0,0,0,0,7,0,0,0,3,5,1,0,0.83,0,0,2,0,1,1,0,1,0,0,0,0,0
2026-07-04,696,Nations Championship,8546083,New Zealand,2567,France,1967,34,32,337404,Wallace Sititi,20,False,27,0,0,0,0,0,0,0,21,1,0,1,7,2,0,0,1.0,0,0,6,0,2,0,0,0,0,0,0,0,0
2026-07-04,696,Nations Championship,8546083,New Zealand,2567,France,1967,34,32,225720,Cortez Ratima,21,False,5,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0.0,0,0,1,0,9,0,0,0,0,0,0,0,0
2026-07-04,696,Nations Championship,8546083,New Zealand,2567,France,1967,34,32,176550,Billy Proctor,22,False,21,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1.0,0,0,1,0,2,0,0,1,0,0,0,0,0
2026-07-04,696,Nations Championship,8546083,New Zealand,2567,France,1967,34,32,353082,Fehi Fineanganofo,23,False,12,0,0,0,0,0,0,0,13,1,0,0,2,3,0,0,1.0,0,0,2,0,0,0,0,0,0,0,0,0,0
2026-07-04,696,Nations Championship,8546083,France,1967,New Zealand,2567,32,34,223356,Max Spring,15,True,6,0,0,0,0,0,0,0,51,1,2,1,7,5,3,1,0.63,0,0,5,0,3,0,0,2,0,0,0,0,0
2026-07-04,696,Nations Championship,8546083,France,1967,New Zealand,2567,32,34,139668,Damian Penaud,14,True,40,0,0,1,0,0,0,0,26,1,3,1,4,2,1,0,0.67,0,0,1,0,6,2,0,0,0,0,0,0,5
2026-07-04,696,Nations Championship,8546083,France,1967,New Zealand,2567,32,34,354888,Fabien Brau-Boirie,13,True,68,0,0,0,1,0,0,0,86,3,2,3,11,16,2,1,0.89,1,0,6,0,8,0,0,1,0,0,0,0,0
2026-07-04,696,Nations Championship,8546083,France,1967,New Zealand,2567,32,34,196152,Yoram Moefana,12,True,80,0,0,0,0,0,0,0,28,1,0,0,10,19,0,5,0.9,0,0,9,1,3,0,0,1,0,0,0,0,0
2026-07-04,696,Nations Championship,8546083,France,1967,New Zealand,2567,32,34,339450,Theo Attissogbe,11,True,80,0,0,1,1,0,0,0,54,4,1,1,10,14,0,1,0.93,0,0,7,0,5,0,0,0,0,0,0,0,5
2026-07-04,696,Nations Championship,8546083,France,1967,New Zealand,2567,32,34,169662,Matthieu Jalibert,10,True,80,0,0,1,1,0,0,0,73,4,2,3,12,4,2,0,0.57,0,0,3,0,32,3,0,2,0,0,0,0,5
2026-07-04,696,Nations Championship,8546083,France,1967,New Zealand,2567,32,34,186162,Maxime Lucu,9,True,75,0,0,0,0,2,2,0,5,1,0,0,2,14,3,0,0.78,0,0,1,0,80,4,0,1,0,1,0,0,10
2026-07-04,696,Nations Championship,8546083,France,1967,New Zealand,2567,32,34,116592,Jefferson Poirot,1,True,55,0,0,0,0,0,0,0,8,0,0,0,5,9,0,1,0.9,0,0,5,0,0,0,0,0,1,0,0,0,0
2026-07-04,696,Nations Championship,8546083,France,1967,New Zealand,2567,32,34,178824,Maxime Lamothe,2,True,62,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0.92,0,0,4,0,3,1,6,0,1,0,0,0,0
2026-07-04,696,Nations Championship,8546083,France,1967,New Zealand,2567,32,34,178656,Demba Bamba,3,True,47,0,0,0,0,0,0,0,2,0,0,0,3,7,2,0,0.78,0,0,3,0,0,0,0,0,4,0,0,0,0
2026-07-04,696,Nations Championship,8546083,France,1967,New Zealand,2567,32,34,238278,Hugo Auradou,4,True,80,0,0,0,0,0,0,0,15,0,0,0,7,10,1,2,0.91,0,0,7,0,7,1,0,0,0,0,0,0,0
2026-07-04,696,Nations Championship,8546083,France,1967,New Zealand,2567,32,34,124296,Tom Staniforth,5,True,55,0,0,0,0,0,0,0,11,0,0,1,14,13,1,1,0.93,0,0,13,1,2,0,0,0,0,0,0,0,0
2026-07-04,696,Nations Championship,8546083,France,1967,New Zealand,2567,32,34,231690,Pierre Bochaton,6,True,33,0,0,0,0,0,0,0,7,1,0,0,5,6,0,0,0.86,0,0,4,1,0,0,0,0,1,0,0,0,0
2026-07-04,696,Nations Championship,8546083,France,1967,New Zealand,2567,32,34,242478,Oscar Jegou,7,True,80,0,0,0,0,0,0,0,6,1,0,1,8,12,2,1,0.86,0,0,7,0,7,0,0,1,1,0,0,0,0
2026-07-04,696,Nations Championship,8546083,France,1967,New Zealand,2567,32,34,340140,Marko Gazzotti,8,True,80,0,0,0,0,0,0,0,22,2,0,1,12,17,1,1,0.89,1,0,11,0,8,0,0,0,1,0,0,0,0
