id,name,team,hemi,pos,value,sel,status,opp,home,n_hist,rp_min,wr_margin,weather_att,per80,exp_min,starter_exp,supersub_exp,captain_score
140494,Jiuta Wainiqolo,Fiji,2,Back Three,5.5,18.4,P,Wales,True,20,3482,11.7,0.989,28.08,75.2,21.74080310158312,10.87040155079156,2.525249485148724
229307,Cam Roigard,New Zealand,2,Scrum Half,8.0,35.2,P,France,True,19,2081,14.6,0.849,30.29,64.4,24.69788929053952,12.34894464526976,2.0868978119771926
123016,Jac Morgan,Wales,1,Loose Forward,7.0,17.3,P,Fiji,False,33,2339,-11.7,0.989,24.55,74.0,22.11906842019745,11.059534210098725,1.1227072980969148
146480,Sione Tuipulotu,Scotland,1,Centre,7.5,9.3,P,Argentina,False,45,3873,-5.3,1.0,15.3,76.3,19.398760889298202,9.699380444649101,0.6150437929028324
244532,Theo Attissogbe,France,1,Back Three,6.5,8.2,P,New Zealand,False,15,3569,-14.6,0.849,16.43,80.0,26.91296457424906,13.45648228712453,3.4671322887958254
180778,Kyle Rowe,Scotland,1,Back Three,5.5,1.3,P,Argentina,False,21,2907,-5.3,1.0,17.59,76.6,24.24292393634456,12.12146196817228,2.959868496250027
142873,Ben Gunter,Japan,2,Loose Forward,4.5,10.7,P,Italy,True,20,2235,4.2,0.992,19.25,71.5,20.583273899861894,10.291636949930947,0.7640321158590021
250067,Fabien Brau-Boirie,France,1,Centre,6.0,3.8,P,New Zealand,False,4,2419,-14.6,0.849,19.05,73.3,32.46134505678653,16.230672528393264,4.1324179834820045
190344,Matthieu Jalibert,France,1,Fly Half,8.0,21.8,P,New Zealand,False,36,4126,-14.6,0.849,19.35,76.1,26.884799582689126,13.442399791344563,4.6587606879182015
240624,Selestino Ravutaumada,Fiji,2,Centre,5.0,5.9,P,Wales,True,11,2233,11.7,0.989,19.53,73.0,17.691710826777353,8.845855413388676,1.155993269745819
245055,Elia Canakaivata,Fiji,2,Loose Forward,4.0,2.2,P,Wales,True,22,2070,11.7,0.989,19.22,73.7,24.720555355057282,12.360277677528641,2.2113457873656444
146220,Will Jordan,New Zealand,2,Back Three,8.5,28.9,P,France,True,56,2032,14.6,0.849,24.23,78.7,24.83497936559918,12.41748968279959,3.509337935011043
245050,Max Jorgensen,Australia,2,Back Three,7.5,13.4,P,Ireland,True,22,2330,-10.1,1.0,16.05,78.9,20.84684869942155,10.423424349710775,2.517944491799482
187820,Rory Darge,Scotland,1,Loose Forward,6.5,4.7,P,Argentina,False,41,3091,-5.3,1.0,22.15,70.9,22.808996863342696,11.404498431671348,1.389020244407807
145361,Hugo Keenan,Ireland,1,Back Three,5.5,6.3,P,Australia,False,50,2367,10.1,1.0,14.92,77.0,18.37284969270425,9.186424846352125,2.264471330875296
229505,Lucio Cinti,Argentina,2,Centre,6.0,1.4,P,Scotland,True,43,2494,5.3,1.0,16.2,70.4,20.598024271121467,10.299012135560734,1.4123685449571495
179379,Ardie Savea,New Zealand,2,Loose Forward,8.5,50.2,P,France,True,64,3403,14.6,0.849,23.09,78.1,26.566092547098627,13.283046273549314,2.5109796532057125
126800,Josh van der Flier,Ireland,1,Loose Forward,6.0,9.7,P,Australia,False,59,3198,10.1,1.0,22.34,64.1,21.414951467525785,10.707475733762893,0.9171450231959721
154929,Cheslin Kolbe,South Africa,2,Back Three,8.0,37.7,P,England,True,34,3380,26.1,1.0,29.56,76.0,17.50637980997518,8.75318990498759,1.484465182326708
238928,Warner Dearns,Japan,2,Lock,6.5,14.2,P,Italy,True,34,2722,4.2,0.992,16.17,78.4,21.51449645581671,10.757248227908356,0.8065210741710481
