id,name,team,hemi,pos,value,sel,status,opp,home,n_hist,rp_min,mkt_margin,weather_att,per80,exp_min,starter_exp,supersub_exp
171003,Pieter-Steph du Toit,South Africa,2,Loose Forward,8.5,16.8,P,England,True,21,0,24.9,1.0,14.04,79.2,15.33,6.94
121353,Malcolm Marx,South Africa,2,Hooker,8.5,24.7,P,England,True,25,0,24.9,1.0,13.65,62.4,11.76,5.33
154929,Cheslin Kolbe,South Africa,2,Back Three,8.0,37.7,P,England,True,19,0,24.9,1.0,20.77,75.9,21.67,9.86
209612,Ben Earl,England,1,Loose Forward,8.0,14.0,P,South Africa,False,29,0,-24.9,1.0,24.29,73.4,24.23,11.14
196989,Eben Etzebeth,South Africa,2,Lock,8.0,13.1,P,England,True,23,0,24.9,1.0,10.82,55.4,8.27,3.75
211240,Dan Sheehan,Ireland,1,Hooker,8.0,22.7,P,Australia,False,19,0,8.6,1.0,19.95,59.2,16.3,7.39
229557,Tommaso Menoncello,Italy,1,Centre,8.0,43.1,P,Japan,False,29,0,7.9,0.992,24.65,78.4,26.12,12.09
242264,Joseph-Aukuso Suaalii,Australia,2,Centre,7.5,9.0,P,Ireland,True,14,0,-8.6,1.0,10.23,72.3,10.2,4.62
147486,Tadhg Beirne,Ireland,1,Lock,7.5,9.7,B,Australia,False,27,0,8.6,1.0,9.7,28.3,3.78,10.29
245050,Max Jorgensen,Australia,2,Back Three,7.5,13.4,P,Ireland,True,17,0,-8.6,1.0,12.09,78.6,13.1,5.94
162344,Julian Montoya,Argentina,2,Hooker,7.5,9.0,P,Scotland,True,23,0,9.7,1.0,12.09,65.9,10.98,4.97
146480,Sione Tuipulotu,Scotland,1,Centre,7.5,9.3,P,Argentina,False,19,0,-9.7,1.0,15.51,75.8,16.22,7.35
104572,Thomas du Toit,South Africa,2,Prop,7.0,18.2,P,England,True,15,0,24.9,1.0,5.47,47.5,3.58,1.62
129616,Fraser McReight,Australia,2,Loose Forward,7.0,19.8,P,Ireland,True,21,0,-8.6,1.0,11.88,76.8,12.59,5.7
216173,Jamison Gibson-Park,Ireland,1,Scrum Half,7.0,17.1,P,Australia,False,22,0,8.6,1.0,17.87,68.3,16.83,7.63
105949,Damian de Allende,South Africa,2,Centre,7.0,8.8,P,England,True,20,0,24.9,1.0,15.17,72.9,15.25,6.91
105748,Jack Conan,Ireland,1,Loose Forward,7.0,12.8,P,Australia,False,19,0,8.6,1.0,22.0,67.1,20.35,9.22
202239,Tomas Albornoz,Argentina,2,Fly Half,7.0,5.9,P,Scotland,True,17,0,9.7,1.0,25.79,59.3,21.06,9.56
207343,Grant Williams,South Africa,2,Scrum Half,7.0,5.1,P,England,True,21,0,24.9,1.0,24.65,60.2,20.47,9.27
110910,Jesse Kriel,South Africa,2,Centre,7.0,7.8,P,England,True,21,0,24.9,1.0,13.44,80.0,14.83,6.72
123016,Jac Morgan,Wales,1,Loose Forward,7.0,17.3,P,Fiji,False,11,0,-8.9,0.989,29.37,75.6,29.7,13.88
156253,Paolo Garbisi,Italy,1,Fly Half,7.0,5.1,P,Japan,False,26,0,7.9,0.992,18.11,78.3,19.57,8.87
156918,Tommy Freeman,England,1,Back Three,7.0,15.7,P,South Africa,False,24,0,-24.9,1.0,21.91,77.4,23.15,10.6
164150,Darcy Graham,Scotland,1,Back Three,7.0,4.6,B,Argentina,False,18,0,-9.7,1.0,31.73,22.6,9.73,26.94
146815,Angus Bell,Australia,2,Prop,7.0,20.8,P,Ireland,True,21,0,-8.6,1.0,11.37,51.7,8.11,3.67
202267,Manie Libbok,South Africa,2,Fly Half,7.0,6.3,P,England,True,17,0,24.9,1.0,19.62,69.2,18.74,8.49
110170,Kyle Steyn,Scotland,1,Back Three,6.5,12.3,P,Argentina,False,21,0,-9.7,1.0,21.15,76.1,22.06,10.05
185293,Len Ikitau,Australia,2,Centre,6.5,7.6,P,Ireland,True,19,0,-8.6,1.0,9.18,74.4,9.42,4.27
240621,Dylan Pietsch,Australia,2,Back Three,6.5,2.0,P,Ireland,True,9,0,-8.6,1.0,11.82,60.0,9.77,4.43
214439,Rob Valetini,Australia,2,Loose Forward,6.5,8.0,P,Ireland,True,24,0,-8.6,1.0,12.06,71.6,11.92,5.4
