team,starters,bench
New Zealand,Ethan de Groot|Codie Taylor|Tyrel Lomax|Sam Darry|Tupou Vaa'i|Wallace Sititi|Luke Jacobson|Ardie Savea|Cam Roigard|Ruben Love|Leroy Carter|Jordie Barrett|Billy Proctor|Will Jordan|Damian McKenzie,Samisoni Taukei'aho|George Bower|Pasilio Tosi|Josh Lord|Anton Segner|Cortez Ratima|Anton Lienert-Brown|Josh Moorby
Italy,Danilo Fischetti|Tommaso Di Bartolomeo|Marco Riccioni|Niccolo Cannone|Andrea Zambonin|Ross Vintcent|Michele Lamaro|Lorenzo Cannone|Stephen Varney|Paolo Garbisi|Louis Lynagh|Tommaso Menoncello|Juan Ignacio Brex|Malik Faissal|Tommaso Allan,Gianmarco Lucchesi|Mirco Spagnolo|Muhamed Hasa|Giulio Marini|Federico Ruzza|Riccardo Favretto|Alessandro Garbisi|Leonardo Marin
Australia,Angus Bell|Josh Nasser|Allan Alaalatoa|Josh Canham|Jeremy Williams|Rob Valetini|Fraser McReight|Harry Wilson|Ryan Lonergan|Declan Meredith|Dylan Pietsch|Len Ikitau|Joseph-Aukuso Suaalii|Max Jorgensen|Tom Wright,Brandon Paenga-Amosa|James Slipper|Taniela Tupou|Lachlan Shaw|Nick Champion de Crespigny|Tate McDermott|Jock Campbell|Filipo Daugunu
France,Moses Alo-Emile|Peato Mauvaka|Demba Bamba|Florian Verhaeghe|Emmanuel Meafou|Oscar Jegou|Lenni Nouchi|Marko Gazzotti|Maxime Lucu|Romain Ntamack|Aaron Grandidier-Nkanang|Yoram Moefana|Fabien Brau-Boirie|Theo Attissogbe|Matthieu Jalibert,Maxime Lamothe|Jefferson Poirot|Tevita Tatafu|Hugo Auradou|Tom Staniforth|Killian Tixeront|Nolann Le Garrec|Kalvin Gourgues
Japan,Takato Okabe|Mamoru Harada|Shuhei Takeuchi|Harry Hockings|Warner Dearns|Ben Gunter|Kanji Shimokawa|Jack Cornelsen|Naoto Saito|Ryunosuke Ito|Taira Main|Yuya Hirose|Dylan Riley|Kazuma Ueda|Takuro Matsunaga,Hayate Era|Sojiro Otsuka|Keijiro Tamefusa|Michael Stolberg|Michael Leitch|Tiennan Costley|Itsuki Kamimura|Sam Greene
Ireland,Tom O'Toole|Ronan Kelleher|Thomas Clarkson|Tadhg Beirne|James Ryan|Jack Conan|Nick Timoney|Sean Jansen|Craig Casey|Ciaran Frawley|Jacob Stockdale|Stuart McCloskey|Robbie Henshaw|Jimmy O'Brien|Jamie Osborne,Tom Stewart|Billy Bohan|Sam Illo|Cormac Izuchukwu|Bryn Ward|Nathan Doak|Harry Byrne|Bundee Aki
Fiji,Eroni Mawi|Tevita Ikanivere|Mesake Doge|Tevita Ratuva|Isoa Nasilasila|Peceli Yato|Lekima Tagitagivalu|Levani Botia|Simione Kuruvoli|Caleb Muntz|Jiuta Wainiqolo|Josua Tuisova|Kalaveti Ravouvou|Vuate Karawalevu|Salesi Rayasi,Sam Matavesi|Livai Natave|Peni Ravai|Temo Mayanavanua|Elia Canakaivata|Pita-Gus Sowakula|Frank Lomani|Isaiah Armstrong-Ravula
England,Ellis Genge|Jamie George|Joe Heyes|Alex Coles|George Martin|Ollie Chessum|Guy Pepper|Ben Earl|Jack van Poortvliet|Fin Smith|Immanuel Feyi-Waboso|Seb Atkinson|Henry Slade|Tommy Freeman|Marcus Smith,Luke Cowan-Dickie|Asher Opoku-Fordjour|George Kloska|Tom Curry|Henry Pollock|Alex Mitchell|Benhard Janse van Rensburg|Noah Caluori
South Africa,Boan Venter|Johan Grobbelaar|Wilco Louw|Cobus Wiese|Ruan Nortje|Paul de Villiers|Pieter-Steph du Toit|Evan Roos|Embrose Papier|Handre Pollard|Canan Moodie|Damian Willemse|Jesse Kriel|Edwill van der Merwe|Aphelele Fassi,Jan-Hendrik Wessels|Ntuthuko Mchunu|Zach Porthen|Ben-Jason Dixon|Vincent Tshituka|Elrigh Louw|Grant Williams|Quan Horn
Scotland,Pierre Schoeman|Ewan Ashman|Zander Fagerson|Gregor Brown|Scott Cummings|Matt Fagerson|Rory Darge|Jack Dempsey|Ben White|Finn Russell|Jamie Dobie|Sione Tuipulotu|Rory Hutchinson|Kyle Steyn|Kyle Rowe,Gregor Hiddleston|Rory Sutherland|Will Hurd|Alex Samuel|Josh Bayliss|Magnus Bradbury|Tom Jordan|Stafford McDowall
Argentina,Boris Wenger|Julian Montoya|Tomas Rapetti|Guido Petti|Matias Alemanno|Santiago Grondona|Marcos Kremer|Joaquin Oviedo|Gonzalo Garcia|Tomas Albornoz|Mateo Carreras|Justo Piccardo|Lucio Cinti|Bautista Delguy|Santiago Carreras,Ignacio Ruiz|Mayco Vivas|Francisco Coria Marchetti|Franco Molina|Pablo Matera|Simon Benitez Cruz|Matias Moroni|Ignacio Mendy
Wales,Rhys Carre|Dewi Lake|Dillon Lewis|Ben Carter|Adam Beard|James Botham|Jac Morgan|Aaron Wainwright|Tomos Williams|Sam Costelow|Josh Adams|Joe Hawkins|Eddie James|Ellis Mee|Blair Murray,Ryan Elias|Nicky Smith|Ben Warren|Teddy Williams|Kane James|Kieran Hardy|Max Llewellyn|Louis Rees-Zammit
