id,name,team,hemi,pos,value,sel,status,opp,home,n_hist,rp_min,wr_margin,weather_att,per80,exp_min,starter_exp,supersub_exp
140494,Jiuta Wainiqolo,Fiji,2,Back Three,5.5,18.4,P,England,True,19,3482,-2.8,1.0,24.56,74.5,24.82,11.43
229307,Cam Roigard,New Zealand,2,Scrum Half,8.0,35.2,P,Italy,True,18,2081,33.5,0.962,35.44,65.5,30.97,14.51
146480,Sione Tuipulotu,Scotland,1,Centre,7.5,9.3,P,South Africa,False,44,3873,-25.7,1.0,14.65,76.1,15.38,6.97
123016,Jac Morgan,Wales,1,Loose Forward,7.0,17.3,P,Argentina,False,32,2339,-20.2,1.0,25.36,73.3,25.19,11.62
244532,Theo Attissogbe,France,1,Back Three,6.5,8.2,P,Australia,False,14,3569,4.9,1.0,23.45,80.0,25.4,11.73
180778,Kyle Rowe,Scotland,1,Back Three,5.5,1.3,P,South Africa,False,20,2907,-25.7,1.0,14.91,76.0,15.63,7.08
250067,Fabien Brau-Boirie,France,1,Centre,6.0,3.8,P,Australia,False,3,2419,4.9,1.0,24.18,70.7,23.33,10.69
190344,Matthieu Jalibert,France,1,Fly Half,8.0,21.8,P,Australia,False,35,4126,4.9,1.0,30.63,75.5,30.86,14.45
162344,Julian Montoya,Argentina,2,Hooker,7.5,9.0,P,Wales,True,60,3073,20.2,1.0,17.23,67.2,15.97,7.23
180443,Damian Willemse,South Africa,2,Back Three,5.5,8.1,P,Scotland,True,41,2695,25.7,1.0,18.36,74.0,18.74,8.49
142873,Ben Gunter,Japan,2,Loose Forward,4.5,10.7,P,Ireland,True,19,2235,-19.8,0.998,19.9,69.9,19.18,8.69
146220,Will Jordan,New Zealand,2,Back Three,8.5,28.9,P,Italy,True,55,2032,33.5,0.962,28.11,78.6,29.56,13.81
245050,Max Jorgensen,Australia,2,Back Three,7.5,13.4,P,France,True,21,2330,-4.9,1.0,17.4,78.8,18.91,8.57
229505,Lucio Cinti,Argentina,2,Centre,6.0,1.4,P,Wales,True,42,2494,20.2,1.0,17.67,72.6,17.68,8.01
187820,Rory Darge,Scotland,1,Loose Forward,6.5,4.7,P,South Africa,False,40,3091,-25.7,1.0,23.93,73.3,23.87,10.96
104346,Tevita Ikanivere,Fiji,2,Hooker,5.0,3.7,P,England,True,32,2226,-2.8,1.0,20.2,65.3,18.19,8.24
207343,Grant Williams,South Africa,2,Scrum Half,7.0,5.1,B,Scotland,True,29,1629,25.7,1.0,28.85,19.8,7.89,21.45
105748,Jack Conan,Ireland,1,Loose Forward,7.0,12.8,P,Japan,False,49,2728,19.8,0.998,21.55,71.1,21.09,9.57
109816,Rory Hutchinson,Scotland,1,Centre,4.0,1.1,P,South Africa,False,8,3342,-25.7,1.0,15.01,74.3,15.38,6.97
239638,Takuro Matsunaga,Japan,2,Back Three,3.5,1.4,P,Ireland,True,6,3040,-19.8,0.998,9.72,65.2,8.75,3.96
243815,Marko Gazzotti,France,1,Loose Forward,4.0,3.3,P,Australia,False,2,2538,4.9,1.0,18.31,80.0,20.2,9.15
179379,Ardie Savea,New Zealand,2,Loose Forward,8.5,50.2,P,Italy,True,63,3403,33.5,0.962,25.77,78.9,27.37,12.71
214439,Rob Valetini,Australia,2,Loose Forward,6.5,8.0,P,France,True,62,3062,-4.9,1.0,15.19,70.4,14.75,6.68
128023,Salesi Rayasi,Fiji,2,Back Three,6.5,10.3,P,England,True,5,3122,-2.8,1.0,18.69,74.2,19.14,8.67
165007,Ellis Genge,England,1,Prop,5.5,8.9,P,Fiji,False,69,2845,2.8,1.0,15.83,56.4,12.31,5.58
178222,Jock Campbell,Australia,2,Back Three,4.0,2.7,B,France,True,8,2443,-4.9,1.0,13.47,31.6,5.87,15.95
185160,Codie Taylor,New Zealand,2,Hooker,7.5,4.3,P,Italy,True,57,1887,33.5,0.962,20.69,54.7,15.62,7.08
240621,Dylan Pietsch,Australia,2,Back Three,6.5,2.0,P,France,True,12,1690,-4.9,1.0,19.32,66.4,17.69,8.01
179604,Josua Tuisova,Fiji,2,Centre,5.5,12.4,P,England,True,21,3187,-2.8,1.0,17.22,77.3,18.35,8.32
235266,Joaquin Oviedo,Argentina,2,Loose Forward,5.5,3.1,P,Wales,True,24,2854,20.2,1.0,25.76,69.7,24.39,11.22
245055,Elia Canakaivata,Fiji,2,Loose Forward,4.0,2.2,B,England,True,21,2070,-2.8,1.0,17.46,16.0,3.86,10.48
172351,Stuart McCloskey,Ireland,1,Centre,6.5,13.4,P,Japan,False,26,2874,19.8,0.998,22.76,70.6,22.05,10.05
137626,Fin Smith,England,1,Fly Half,5.0,4.5,P,Fiji,False,23,3884,2.8,1.0,24.33,73.4,24.29,11.17
197335,Lorenzo Cannone,Italy,1,Loose Forward,6.0,8.0,P,New Zealand,False,39,2719,-33.5,0.962,19.41,70.0,18.75,8.5
137453,Josh Adams,Wales,1,Back Three,4.5,7.0,P,Argentina,False,47,2261,-20.2,1.0,10.35,75.8,10.82,4.9
242264,Joseph-Aukuso Suaalii,Australia,2,Centre,7.5,9.0,P,France,True,18,1147,-4.9,1.0,15.25,74.3,15.63,7.08
238928,Warner Dearns,Japan,2,Lock,6.5,14.2,P,Ireland,True,33,2722,-19.8,0.998,16.2,78.3,17.49,7.93
136190,Luke Jacobson,New Zealand,2,Loose Forward,4.0,2.9,P,Italy,True,24,2773,33.5,0.962,16.29,74.6,16.76,7.6
110905,Ben-Jason Dixon,South Africa,2,Loose Forward,4.0,0.1,B,Scotland,True,8,2620,25.7,1.0,13.69,31.7,5.99,16.28
209612,Ben Earl,England,1,Loose Forward,8.0,14.0,P,Fiji,False,55,3720,2.8,1.0,20.51,74.2,20.99,9.52
130487,Nacho Brex,Italy,1,Centre,6.0,4.2,P,New Zealand,False,53,0,-33.5,0.962,10.76,75.1,11.14,5.05
240799,Josh Canham,Australia,2,Lock,4.5,3.1,P,France,True,5,1759,-4.9,1.0,15.13,58.0,12.1,5.48
206415,Mamoru Harada,Japan,2,Hooker,4.0,1.3,P,Ireland,True,13,1482,-19.8,0.998,19.86,60.6,16.59,7.52
169055,Jordie Barrett,New Zealand,2,Centre,8.0,11.9,P,Italy,True,62,3072,33.5,0.962,22.46,70.7,21.8,9.93
202239,Tomas Albornoz,Argentina,2,Fly Half,7.0,5.9,P,Wales,True,26,2612,20.2,1.0,28.33,64.7,24.86,11.46
142211,George Martin,England,1,Lock,4.0,6.4,P,Fiji,False,23,1448,2.8,1.0,14.66,68.9,13.94,6.32
219485,Ryan Lonergan,Australia,2,Scrum Half,4.0,1.6,P,France,True,8,2520,-4.9,1.0,11.36,46.2,7.23,3.28
229297,Ruben Love,New Zealand,2,Fly Half,5.0,17.3,P,Italy,True,6,2402,33.5,0.962,21.91,72.0,21.68,9.86
188103,Pita Gus Sowakula,Fiji,2,Loose Forward,4.0,1.8,B,England,True,6,0,-2.8,1.0,14.63,15.0,3.02,8.22
236602,Tommaso di Bartolomeo,Italy,1,Hooker,3.5,3.8,P,New Zealand,False,11,1743,-33.5,0.962,24.53,43.9,14.84,6.72
229557,Tommaso Menoncello,Italy,1,Centre,8.0,43.1,P,New Zealand,False,40,3214,-33.5,0.962,17.24,78.2,18.59,8.42
141860,Ewan Ashman,Scotland,1,Hooker,5.5,2.7,P,South Africa,False,37,2562,-25.7,1.0,26.09,56.3,20.25,9.17
173801,Alex Coles,England,1,Lock,5.0,4.2,P,Fiji,False,20,3120,2.8,1.0,16.94,72.2,16.88,7.65
156253,Paolo Garbisi,Italy,1,Fly Half,7.0,5.1,P,New Zealand,False,53,3199,-33.5,0.962,13.7,78.2,14.77,6.69
132322,Killian Tixeront,France,1,Loose Forward,4.0,0.2,B,Australia,False,5,3460,4.9,1.0,15.07,21.8,4.54,12.34
119132,Aaron Wainwright,Wales,1,Loose Forward,6.5,5.6,P,Argentina,False,46,2728,-20.2,1.0,18.38,67.1,17.01,7.71
222388,Yoram Moefana,France,1,Centre,6.5,11.0,P,Australia,False,40,4053,4.9,1.0,16.18,75.9,16.94,7.67
196773,Pierre Schoeman,Scotland,1,Prop,6.0,5.7,P,South Africa,False,55,3017,-25.7,1.0,19.15,59.6,15.74,7.13
210801,Scott Cummings,Scotland,1,Lock,6.0,3.1,P,South Africa,False,42,2903,-25.7,1.0,13.63,71.6,13.46,6.1
100043,Maxime Lucu,France,1,Scrum Half,6.5,16.6,P,Australia,False,34,4035,4.9,1.0,17.67,68.1,16.61,7.53
229303,Sam Darry,New Zealand,2,Lock,5.5,2.9,P,Italy,True,10,2202,33.5,0.962,15.47,68.8,14.68,6.65
133163,Tomos Williams,Wales,1,Scrum Half,5.5,4.5,P,Argentina,False,55,2970,-20.2,1.0,12.67,71.0,12.41,5.63
159599,Matt Fagerson,Scotland,1,Loose Forward,5.5,2.5,P,South Africa,False,59,3190,-25.7,1.0,19.81,75.2,20.56,9.31
119955,Rhys Carre,Wales,1,Prop,4.5,28.7,P,Argentina,False,20,2337,-20.2,1.0,17.79,47.1,11.56,5.24
210952,Tate McDermott,Australia,2,Scrum Half,4.0,0.9,B,France,True,51,1665,-4.9,1.0,17.77,30.3,7.42,20.17
202316,Frank Lomani,Fiji,2,Scrum Half,3.5,2.2,B,England,True,30,1315,-2.8,1.0,15.53,32.7,7.01,19.04
196669,Zander Fagerson,Scotland,1,Prop,6.5,1.4,P,South Africa,False,52,2641,-25.7,1.0,16.24,62.0,13.88,6.29
113000,Jack Dempsey,Scotland,1,Loose Forward,6.5,5.0,P,South Africa,False,34,2639,-25.7,1.0,20.62,69.4,19.74,8.94
103821,Eroni Mawi,Fiji,2,Prop,5.0,3.3,P,England,True,38,2010,-2.8,1.0,12.57,56.4,9.78,4.43
182760,Mayco Vivas,Argentina,2,Prop,4.5,3.4,B,Wales,True,33,893,20.2,1.0,10.08,21.5,2.99,8.13
240478,Gregor Hiddleston,Scotland,1,Hooker,4.0,0.2,B,South Africa,False,1,1610,-25.7,1.0,28.15,20.0,7.77,21.11
182170,Ryan Elias,Wales,1,Hooker,4.0,0.2,B,Argentina,False,35,1900,-20.2,1.0,17.43,25.6,6.15,16.71
246851,Toms Rapetti,Argentina,2,Prop,3.0,0.2,P,Wales,True,4,0,20.2,1.0,15.97,72.0,15.86,7.19
233237,Immanuel Feyi-Waboso,England,1,Back Three,6.5,7.0,P,Fiji,False,15,2449,2.8,1.0,21.72,74.6,22.19,10.12
190708,Harry Wilson,Australia,2,Loose Forward,6.0,6.4,P,France,True,37,512,-4.9,1.0,17.15,76.1,17.99,8.15
244767,Oscar Jegou,France,1,Loose Forward,6.0,4.5,P,Australia,False,14,2951,4.9,1.0,16.97,76.0,17.78,8.06
165591,Mateo Carreras,Argentina,2,Back Three,5.0,5.9,P,Wales,True,34,2828,20.2,1.0,23.64,77.1,24.74,11.39
246824,Zac Porthen,South Africa,2,Prop,3.0,0.7,B,Scotland,True,4,0,25.7,1.0,13.72,30.6,5.79,15.74
102468,Ethan de Groot,New Zealand,2,Prop,7.0,11.9,P,Italy,True,41,2056,33.5,0.962,12.28,46.6,7.9,3.58
144635,Ollie Chessum,England,1,Lock,6.5,29.4,P,Fiji,False,42,0,2.8,1.0,12.9,70.7,12.58,5.7
197546,Joe Hawkins,Wales,1,Centre,6.0,0.3,P,Argentina,False,12,2258,-20.2,1.0,9.43,80.0,10.4,4.71
128750,Andrea Zambonin,Italy,1,Lock,5.5,13.0,P,New Zealand,False,19,3021,-33.5,0.962,13.84,63.9,12.19,5.52
152990,Temo Mayanavanua,Fiji,2,Lock,5.0,2.4,B,England,True,35,1968,-2.8,1.0,11.02,20.4,3.09,8.41
222920,Gregor Brown,Scotland,1,Lock,4.5,0.5,P,South Africa,False,19,1631,-25.7,1.0,19.65,58.5,15.85,7.18
171003,Pieter-Steph du Toit,South Africa,2,Loose Forward,8.5,16.8,P,Scotland,True,39,1261,25.7,1.0,17.39,78.1,18.75,8.49
110910,Jesse Kriel,South Africa,2,Centre,7.0,7.8,P,Scotland,True,44,2850,25.7,1.0,18.62,79.3,20.36,9.23
222623,Tom Curry,England,1,Loose Forward,6.0,5.8,B,Fiji,False,51,2044,2.8,1.0,17.38,30.3,7.25,19.72
212902,Dewi Lake,Wales,1,Hooker,6.0,7.1,P,Argentina,False,32,1787,-20.2,1.0,23.17,60.3,19.27,8.73
