id,name,team,hemi,pos,value,sel,status,opp,home,n_hist,rp_min,wr_margin,weather_att,per80,exp_min,starter_exp,supersub_exp,captain_score
140494,Jiuta Wainiqolo,Fiji,2,Back Three,5.5,18.4,P,England,True,19,3482,-2.8,1.0,24.56,74.5,21.760257696747694,10.880128848373847,2.7875236536914594
229307,Cam Roigard,New Zealand,2,Scrum Half,8.0,35.2,P,Italy,True,18,2081,33.5,0.962,35.44,65.5,25.92333714946353,12.961668574731766,2.4499412338160855
146480,Sione Tuipulotu,Scotland,1,Centre,7.5,9.3,P,South Africa,False,44,3873,-25.7,1.0,14.65,76.1,22.870069875902594,11.435034937951297,1.3781429608766302
123016,Jac Morgan,Wales,1,Loose Forward,7.0,17.3,P,Argentina,False,32,2339,-20.2,1.0,25.36,73.3,24.67106698303209,12.335533491516046,1.3173181155039788
244532,Theo Attissogbe,France,1,Back Three,6.5,8.2,P,Australia,False,14,3569,4.9,1.0,23.45,80.0,30.499541319438197,15.249770659719099,3.8209577887001016
180778,Kyle Rowe,Scotland,1,Back Three,5.5,1.3,P,South Africa,False,20,2907,-25.7,1.0,14.91,76.0,21.636393508074185,10.818196754037093,2.309906515154476
250067,Fabien Brau-Boirie,France,1,Centre,6.0,3.8,P,Australia,False,3,2419,4.9,1.0,24.18,70.7,31.010147360211022,15.505073680105511,3.5421132001725733
190344,Matthieu Jalibert,France,1,Fly Half,8.0,21.8,P,Australia,False,35,4126,4.9,1.0,30.63,75.5,27.841437250059943,13.920718625029972,5.012668527908843
162344,Julian Montoya,Argentina,2,Hooker,7.5,9.0,P,Wales,True,60,3073,20.2,1.0,17.23,67.2,17.60686444364358,8.80343222182179,-0.29055746551057515
180443,Damian Willemse,South Africa,2,Back Three,5.5,8.1,P,Scotland,True,41,2695,25.7,1.0,18.36,74.0,22.066138932335683,11.033069466167841,2.4447141439100086
142873,Ben Gunter,Japan,2,Loose Forward,4.5,10.7,P,Ireland,True,19,2235,-19.8,0.998,19.9,69.9,22.522012943381355,11.261006471690678,0.996501190519507
146220,Will Jordan,New Zealand,2,Back Three,8.5,28.9,P,Italy,True,55,2032,33.5,0.962,28.11,78.6,24.984310635254225,12.492155317627113,3.2488853372515
245050,Max Jorgensen,Australia,2,Back Three,7.5,13.4,P,France,True,21,2330,-4.9,1.0,17.4,78.8,23.049409881709863,11.524704940854932,2.8605335349938894
229505,Lucio Cinti,Argentina,2,Centre,6.0,1.4,P,Wales,True,42,2494,20.2,1.0,17.67,72.6,24.346864719741948,12.173432359870974,2.1018312837589614
187820,Rory Darge,Scotland,1,Loose Forward,6.5,4.7,P,South Africa,False,40,3091,-25.7,1.0,23.93,73.3,23.736272323268167,11.868136161634084,1.4792570046682265
104346,Tevita Ikanivere,Fiji,2,Hooker,5.0,3.7,P,England,True,32,2226,-2.8,1.0,20.2,65.3,16.94095835708622,8.47047917854311,0.18940500280529565
207343,Grant Williams,South Africa,2,Scrum Half,7.0,5.1,B,Scotland,True,29,1629,25.7,1.0,28.85,19.8,3.4298086645279517,10.289425993583855,-2.2260270221333376
105748,Jack Conan,Ireland,1,Loose Forward,7.0,12.8,P,Japan,False,49,2728,19.8,0.998,21.55,71.1,25.35843260059992,12.67921630029996,2.1952931644789824
109816,Rory Hutchinson,Scotland,1,Centre,4.0,1.1,P,South Africa,False,8,3342,-25.7,1.0,15.01,74.3,22.17062630762658,11.08531315381329,1.8132154142549761
239638,Takuro Matsunaga,Japan,2,Back Three,3.5,1.4,P,Ireland,True,6,3040,-19.8,0.998,9.72,65.2,32.25240733212914,16.12620366606457,3.9172996772540256
243815,Marko Gazzotti,France,1,Loose Forward,4.0,3.3,P,Australia,False,2,2538,4.9,1.0,18.31,80.0,28.391204033532894,14.195602016766447,2.413535130599938
179379,Ardie Savea,New Zealand,2,Loose Forward,8.5,50.2,P,Italy,True,63,3403,33.5,0.962,25.77,78.9,29.143102860352393,14.571551430176196,2.9646330040802944
214439,Rob Valetini,Australia,2,Loose Forward,6.5,8.0,P,France,True,62,3062,-4.9,1.0,15.19,70.4,22.212643960767736,11.106321980383868,1.363069067707162
128023,Salesi Rayasi,Fiji,2,Back Three,6.5,10.3,P,England,True,5,3122,-2.8,1.0,18.69,74.2,21.84884222847353,10.924421114236765,2.6615048092448044
165007,Ellis Genge,England,1,Prop,5.5,8.9,P,Fiji,False,69,2845,2.8,1.0,15.83,56.4,13.645022549735081,6.822511274867541,-0.8811527208852517
178222,Jock Campbell,Australia,2,Back Three,4.0,2.7,B,France,True,8,2443,-4.9,1.0,13.47,31.6,5.29245199365199,15.877355980955969,-0.8738723000528799
