date,comp,team,team_id,opponent,opponent_id,team_score,opp_score,margin,result,rankings_weight,is_ncr_pair
2020-10-11,Bledisloe Cup 2020,Australia,38,New Zealand,37,16,16,0,D,,True
2020-10-11,Bledisloe Cup 2020,New Zealand,37,Australia,38,16,16,0,D,,True
2020-10-18,Bledisloe Cup 2020,Australia,38,New Zealand,37,7,27,-20,L,,True
2020-10-18,Bledisloe Cup 2020,New Zealand,37,Australia,38,27,7,20,W,,True
2020-10-23,Men's Internationals 2020,Scotland,35,Georgia,720,48,7,41,W,,False
2020-10-24,Men's Internationals 2020,France,42,Wales,33,38,21,17,W,,True
2020-10-24,Six Nations 2020,Ireland,36,Italy,41,50,17,33,W,,True
2020-10-24,Six Nations 2020,Italy,41,Ireland,36,17,50,-33,L,,True
2020-10-24,Men's Internationals 2020,Wales,33,France,42,21,38,-17,L,,True
2020-10-31,Bledisloe Cup 2020,Australia,38,New Zealand,37,5,43,-38,L,,True
2020-10-31,Six Nations 2020,England,34,Italy,41,34,5,29,W,,True
2020-10-31,Six Nations 2020,France,42,Ireland,36,35,27,8,W,,True
2020-10-31,Six Nations 2020,Ireland,36,France,42,27,35,-8,L,,True
2020-10-31,Six Nations 2020,Italy,41,England,34,5,34,-29,L,,True
2020-10-31,Bledisloe Cup 2020,New Zealand,37,Australia,38,43,5,38,W,,True
2020-10-31,Six Nations 2020,Scotland,35,Wales,33,14,10,4,W,,True
2020-10-31,Six Nations 2020,Wales,33,Scotland,35,10,14,-4,L,,True
2020-11-07,Bledisloe Cup 2020,Australia,38,New Zealand,37,24,22,2,W,,True
2020-11-07,Bledisloe Cup 2020,New Zealand,37,Australia,38,22,24,-2,L,,True
2020-11-13,Autumn Nations Cup 2020,Ireland,36,Wales,33,32,9,23,W,,True
2020-11-13,Autumn Nations Cup 2020,Wales,33,Ireland,36,9,32,-23,L,,True
2020-11-14,The Rugby Championship 2020,Argentina,40,New Zealand,37,25,15,10,W,,True
2020-11-14,Autumn Nations Cup 2020,England,34,Georgia,720,40,0,40,W,,False
2020-11-14,Autumn Nations Cup 2020,Italy,41,Scotland,35,17,28,-11,L,,True
2020-11-14,The Rugby Championship 2020,New Zealand,37,Argentina,40,15,25,-10,L,,True
2020-11-14,Autumn Nations Cup 2020,Scotland,35,Italy,41,28,17,11,W,,True
2020-11-15,Autumn Nations Cup 2020,Fiji,46,France,42,0,28,-28,L,,True
2020-11-15,Autumn Nations Cup 2020,France,42,Fiji,46,28,0,28,W,,True
2020-11-21,The Rugby Championship 2020,Argentina,40,Australia,38,15,15,0,D,,True
2020-11-21,The Rugby Championship 2020,Australia,38,Argentina,40,15,15,0,D,,True
2020-11-21,Autumn Nations Cup 2020,England,34,Ireland,36,18,7,11,W,,True
2020-11-21,Autumn Nations Cup 2020,Fiji,46,Italy,41,0,28,-28,L,,True
2020-11-21,Autumn Nations Cup 2020,Ireland,36,England,34,7,18,-11,L,,True
2020-11-21,Autumn Nations Cup 2020,Italy,41,Fiji,46,28,0,28,W,,True
2020-11-21,Autumn Nations Cup 2020,Wales,33,Georgia,720,18,0,18,W,,False
2020-11-22,Autumn Nations Cup 2020,France,42,Scotland,35,22,15,7,W,,True
2020-11-22,Autumn Nations Cup 2020,Scotland,35,France,42,15,22,-7,L,,True
2020-11-28,The Rugby Championship 2020,Argentina,40,New Zealand,37,0,38,-38,L,,True
2020-11-28,Autumn Nations Cup 2020,England,34,Wales,33,24,13,11,W,,True
2020-11-28,Autumn Nations Cup 2020,Fiji,46,Scotland,35,0,28,-28,L,,True
2020-11-28,Autumn Nations Cup 2020,France,42,Italy,41,36,5,31,W,,True
2020-11-28,Autumn Nations Cup 2020,Italy,41,France,42,5,36,-31,L,,True
2020-11-28,The Rugby Championship 2020,New Zealand,37,Argentina,40,38,0,38,W,,True
2020-11-28,Autumn Nations Cup 2020,Scotland,35,Fiji,46,28,0,28,W,,True
2020-11-28,Autumn Nations Cup 2020,Wales,33,England,34,13,24,-11,L,,True
2020-11-29,Autumn Nations Cup 2020,Ireland,36,Georgia,720,23,10,13,W,,False
2020-12-05,The Rugby Championship 2020,Argentina,40,Australia,38,16,16,0,D,,True
2020-12-05,The Rugby Championship 2020,Australia,38,Argentina,40,16,16,0,D,,True
2020-12-05,Autumn Nations Cup 2020,Fiji,46,Georgia,720,38,24,14,W,,False
2020-12-05,Autumn Nations Cup 2020,Ireland,36,Scotland,35,31,16,15,W,,True
2020-12-05,Autumn Nations Cup 2020,Italy,41,Wales,33,18,38,-20,L,,True
2020-12-05,Autumn Nations Cup 2020,Scotland,35,Ireland,36,16,31,-15,L,,True
2020-12-05,Autumn Nations Cup 2020,Wales,33,Italy,41,38,18,20,W,,True
2020-12-06,Autumn Nations Cup 2020,England,34,France,42,22,19,3,W,,True
2020-12-06,Autumn Nations Cup 2020,France,42,England,34,19,22,-3,L,,True
2021-02-06,Six Nations 2021,England,34,Scotland,35,6,11,-5,L,,True
2021-02-06,Six Nations 2021,France,42,Italy,41,50,10,40,W,,True
2021-02-06,Six Nations 2021,Italy,41,France,42,10,50,-40,L,,True
2021-02-06,Six Nations 2021,Scotland,35,England,34,11,6,5,W,,True
2021-02-07,Six Nations 2021,Ireland,36,Wales,33,16,21,-5,L,,True
2021-02-07,Six Nations 2021,Wales,33,Ireland,36,21,16,5,W,,True
2021-02-13,Six Nations 2021,England,34,Italy,41,41,18,23,W,,True
2021-02-13,Six Nations 2021,Italy,41,England,34,18,41,-23,L,,True
2021-02-13,Six Nations 2021,Scotland,35,Wales,33,24,25,-1,L,,True
2021-02-13,Six Nations 2021,Wales,33,Scotland,35,25,24,1,W,,True
2021-02-14,Six Nations 2021,France,42,Ireland,36,15,13,2,W,,True
2021-02-14,Six Nations 2021,Ireland,36,France,42,13,15,-2,L,,True
2021-02-27,Six Nations 2021,England,34,Wales,33,24,40,-16,L,,True
2021-02-27,Six Nations 2021,Ireland,36,Italy,41,48,10,38,W,,True
2021-02-27,Six Nations 2021,Italy,41,Ireland,36,10,48,-38,L,,True
2021-02-27,Six Nations 2021,Wales,33,England,34,40,24,16,W,,True
2021-03-13,Six Nations 2021,England,34,France,42,23,20,3,W,,True
2021-03-13,Six Nations 2021,France,42,England,34,20,23,-3,L,,True
2021-03-13,Six Nations 2021,Italy,41,Wales,33,7,48,-41,L,,True
2021-03-13,Six Nations 2021,Wales,33,Italy,41,48,7,41,W,,True
2021-03-14,Six Nations 2021,Ireland,36,Scotland,35,27,24,3,W,,True
2021-03-14,Six Nations 2021,Scotland,35,Ireland,36,24,27,-3,L,,True
2021-03-20,Six Nations 2021,England,34,Ireland,36,18,32,-14,L,,True
2021-03-20,Six Nations 2021,France,42,Wales,33,32,30,2,W,,True
2021-03-20,Six Nations 2021,Ireland,36,England,34,32,18,14,W,,True
