fantasy_id,full_name,team,skill_desc,value,api_player_id,rp_slug,in_api,in_rp
171003,Pieter-Steph du Toit,South Africa,LOOSE FORWARD,8.5,118428.0,pieter-steph-du-toit,True,True
179379,Ardie Savea,New Zealand,LOOSE FORWARD,8.5,120396.0,ardie-savea,True,True
121353,Malcolm Marx,South Africa,HOOKER,8.5,128814.0,malcolm-marx,True,True
143492,Damian McKenzie,New Zealand,FLY-HALF,8.5,130452.0,damian-mckenzie,True,True
146220,Will Jordan,New Zealand,BACK THREE,8.5,168972.0,will-jordan,True,True
157863,Finn Russell,Scotland,FLY-HALF,8.5,117894.0,finn-russell,True,True
219771,Handre Pollard,South Africa,FLY-HALF,8.0,119340.0,handre-pollard,True,True
154929,Cheslin Kolbe,South Africa,BACK THREE,8.0,123516.0,cheslin-kolbe,True,True
209612,Ben Earl,England,LOOSE FORWARD,8.0,142404.0,ben-earl,True,True
169055,Jordie Barrett,New Zealand,CENTRE,8.0,149694.0,jordie-barrett,True,True
196989,Eben Etzebeth,South Africa,LOCK,8.0,113430.0,eben-etzebeth,True,True
229307,Cam Roigard,New Zealand,SCRUM-HALF,8.0,225594.0,cam-roigard,True,True
190344,Matthieu Jalibert,France,FLY-HALF,8.0,169662.0,matthieu-jalibert,True,True
211240,Dan Sheehan,Ireland,HOOKER,8.0,186096.0,dan-sheehan,True,True
199094,Beauden Barrett,New Zealand,FLY-HALF,8.0,69684.0,beauden-barrett,True,True
229557,Tommaso Menoncello,Italy,CENTRE,8.0,226818.0,tommaso-menoncello,True,True
196687,Damian Penaud,France,BACK THREE,7.5,139668.0,damian-penaud,True,True
242264,Joseph-Aukuso Suaalii,Australia,CENTRE,7.5,213924.0,joseph-aukuso-suaalii,True,True
147486,Tadhg Beirne,Ireland,LOCK,7.5,117954.0,tadgh-beirne,True,True
185160,Codie Taylor,New Zealand,HOOKER,7.5,112860.0,codie-taylor,True,True
245050,Max Jorgensen,Australia,BACK THREE,7.5,346554.0,max-jorgensen,True,True
162344,Julian Montoya,Argentina,HOOKER,7.5,124668.0,julian-montoya,True,True
146480,Sione Tuipulotu,Scotland,CENTRE,7.5,139998.0,sione-tuipulotu,True,True
102468,Ethan de Groot,New Zealand,PROP,7.0,196176.0,ethan-de-groot,True,True
104572,Thomas du Toit,South Africa,PROP,7.0,130242.0,thomas-du-toit,True,True
129616,Fraser McReight,Australia,LOOSE FORWARD,7.0,154110.0,fraser-mcreight,True,True
216173,Jamison Gibson-Park,Ireland,SCRUM-HALF,7.0,120504.0,jamison-gibson-park,True,True
105949,Damian de Allende,South Africa,CENTRE,7.0,120234.0,damian-de-allende,True,True
105748,Jack Conan,Ireland,LOOSE FORWARD,7.0,117936.0,jack-conan,True,True
202239,Tomas Albornoz,Argentina,FLY-HALF,7.0,169434.0,tomas-albornoz,True,True
207343,Grant Williams,South Africa,SCRUM-HALF,7.0,178674.0,grant-williams,True,True
110910,Jesse Kriel,South Africa,CENTRE,7.0,124026.0,jesse-kriel,True,True
123016,Jac Morgan,Wales,LOOSE FORWARD,7.0,203070.0,jac-morgan,True,True
237272,Dafydd Jenkins,Wales,LOCK,7.0,232104.0,dafydd-jenkins,True,True
156253,Paolo Garbisi,Italy,FLY-HALF,7.0,203034.0,paolo-garbisi,True,True
156918,Tommy Freeman,England,BACK THREE,7.0,213192.0,tommy-freeman,True,True
103532,Lood de Jager,South Africa,LOCK,7.0,123156.0,lodewyk-de-jager,True,True
177800,Mickael Guillard,France,LOCK,7.0,219930.0,mickael-guillard,True,True
164150,Darcy Graham,Scotland,BACK THREE,7.0,146754.0,darcy-graham,True,True
146815,Angus Bell,Australia,PROP,7.0,192666.0,angus-bell,True,True
202267,Manie Libbok,South Africa,FLY-HALF,7.0,149070.0,manie-libbok,True,True
100043,Maxime Lucu,France,SCRUM-HALF,6.5,186162.0,maxime-lucu,True,True
110170,Kyle Steyn,Scotland,BACK THREE,6.5,171582.0,kyle-steyn,True,True
185293,Len Ikitau,Australia,CENTRE,6.5,153318.0,len-ikitau,True,True
241794,Wallace Sititi,New Zealand,LOOSE FORWARD,6.5,337404.0,wallace-sititi,True,True
240621,Dylan Pietsch,Australia,BACK THREE,6.5,164262.0,dylan-pietsch,True,True
214439,Rob Valetini,Australia,LOOSE FORWARD,6.5,161946.0,rob-valetini,True,True
119132,Aaron Wainwright,Wales,LOOSE FORWARD,6.5,176652.0,aaron-wainwright,True,True
237803,Kalaveti Ravouvou,Fiji,BACK THREE,6.5,243102.0,kalaveti-ravouvou,True,True
189982,Santiago Carreras,Argentina,BACK THREE,6.5,169440.0,santiago-carreras,True,True
191608,Cobus Reinach,South Africa,SCRUM-HALF,6.5,114744.0,jacobus-reinach,True,True
127914,Andre Esterhuizen,South Africa,CENTRE,6.5,128820.0,andre-esterhuizen,True,True
237078,Canan Moodie,South Africa,BACK THREE,6.5,234822.0,canan-moodie,True,True
200003,Pablo Matera,Argentina,LOOSE FORWARD,6.5,118578.0,pablo-matera,True,True
128023,Salesi Rayasi,Fiji,BACK THREE,6.5,162444.0,salesi-rayasi,True,True
134796,Joe Heyes,England,PROP,6.5,178806.0,joe-heyes,True,True
144635,Ollie Chessum,England,LOCK,6.5,218742.0,oliver-chessum,True,True
196669,Zander Fagerson,Scotland,PROP,6.5,130530.0,zander-fagerson,True,True
233237,Immanuel Feyi-Waboso,England,BACK THREE,6.5,230898.0,immanuel-feyi-waboso,True,True
208272,Niccolo Cannone,Italy,LOCK,6.5,167196.0,niccolo-cannone,True,True
238928,Warner Dearns,Japan,LOCK,6.5,242406.0,warner-dearns,True,True
222388,Yoram Moefana,France,CENTRE,6.5,196152.0,yoram-moefana,True,True
244532,Theo Attissogbe,France,BACK THREE,6.5,339450.0,theo-attissogbe,True,True
223413,Joe McCarthy,Ireland,LOCK,6.5,220194.0,joe-mccarthy,True,True
190503,Siya Kolisi,South Africa,LOOSE FORWARD,6.5,102654.0,siya-kolisi,True,True
137153,Jasper Wiese,South Africa,LOOSE FORWARD,6.5,149256.0,jasper-wiese,True,True
164832,Quinn Tupaea,New Zealand,CENTRE,6.5,188928.0,quinn-tupaea,True,True
185466,Ox Nche,South Africa,PROP,6.5,140238.0,ox-nche,True,True
190669,Kurt-Lee Arendse,South Africa,BACK THREE,6.5,204516.0,kurt-lee-arendse,True,True
