gw,model,n,tie_adjusted_hits,overlap,points_captured,actual_cutoff_points,spearman_rho,actual_top_n_missing_from_both_models
1,NCR,10,3.0,0.3,0.6256323777403036,50.0,0.6143346545732794,0
1,NCR,25,10.5,0.42,0.6768488745980707,39.0,0.6143346545732794,0
1,NCR,50,24.5,0.49,0.7126654064272212,31.0,0.6143346545732794,0
1,NCR,100,65.75,0.6575,0.8352272727272727,19.0,0.6143346545732794,1
1,Champion,10,1.0,0.1,0.45531197301854975,50.0,0.5732153037589606,0
1,Champion,25,8.0,0.32,0.6503215434083601,39.0,0.5732153037589606,0
1,Champion,50,21.5,0.43,0.6762759924385633,31.0,0.5732153037589606,0
1,Champion,100,59.75,0.5975,0.777511961722488,19.0,0.5732153037589606,1
2,NCR,10,2.0,0.2,0.6071428571428571,49.0,0.5466655651591649,2
2,NCR,25,9.0,0.36,0.7243963363863447,36.0,0.5466655651591649,3
2,NCR,50,24.0,0.48,0.7450980392156863,27.0,0.5466655651591649,3
2,NCR,100,59.0,0.59,0.7410397158540523,18.0,0.5466655651591649,6
2,Champion,10,1.0,0.1,0.44805194805194803,49.0,0.46626217597044145,2
2,Champion,25,6.0,0.24,0.6344712739383847,36.0,0.46626217597044145,3
2,Champion,50,19.5,0.39,0.6621417797888386,27.0,0.46626217597044145,3
2,Champion,100,55.0,0.55,0.6997093961898612,18.0,0.46626217597044145,6
