season,comp_id,comp_name,round,fixture_id,date,team,team_id,opponent,opponent_id,home_away,team_score,opp_score,result,margin,tries_for,tries_against,conv_for,conv_against,pens_for,pens_against,dg_for,dg_against,ball_possession_last_10_mins,carries_crossed_gain_line,carries_metres,carries_not_made_gain_line,clean_breaks,conversion_goals,defenders_beaten,kicks_from_hand,lineout_success,lineout_won_steal,lineouts_Lost,lineouts_lost,lineouts_won,mauls_lost,mauls_total,mauls_won,mauls_won_penalty,mauls_won_try,missed_conversion_goals,missed_penalty_goals,missed_tackles,offload,passes,pc_possession_first,pc_possession_second,penalties_conceded,penalty_goals,possession,red_card_second_yellow,red_cards,rucks_lost,rucks_total,rucks_won,runs,scrums_lost,scrums_success,scrums_won,tackles,turnovers_conceded,turnovers_won,yellow_cards
2020,1326,Pacific Nations Cup,1,79621,2019-07-27,Fiji,2879,Japan,9017,away,21,34,L,-13,3,5,3,3,0,1,0,0,0.52,16.0,282.0,39.0,12.0,3.0,25.0,12.0,0.86,0.0,2.0,,12.0,0.0,4.0,4.0,0.0,2.0,0.0,0.0,27.0,6.0,85.0,0.29,0.45,9.0,0.0,0.37,0.0,0.0,3.0,36.0,33.0,63.0,0.0,1.0,8.0,117.0,20.0,12.0,1.0
2020,1326,Pacific Nations Cup,1,79621,2019-07-27,Japan,9017,Fiji,2879,home,34,21,W,13,5,3,3,3,1,0,0,0,0.48,55.0,547.0,63.0,13.0,3.0,27.0,17.0,1.0,1.0,0.0,,12.0,3.0,8.0,5.0,2.0,0.0,2.0,0.0,25.0,8.0,158.0,0.71,0.55,9.0,1.0,0.63,0.0,0.0,6.0,79.0,73.0,125.0,1.0,0.89,8.0,63.0,15.0,6.0,0.0
2020,1326,Pacific Nations Cup,2,79648,2019-08-03,Japan,9017,Tonga,2267,home,41,7,W,34,5,1,5,1,2,0,0,0,0.73,39.0,537.0,57.0,19.0,5.0,40.0,28.0,0.89,4.0,1.0,,8.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,5.0,6.0,138.0,0.6,0.48,12.0,2.0,0.54,0.0,0.0,7.0,70.0,63.0,106.0,0.0,1.0,6.0,95.0,14.0,5.0,1.0
2020,1326,Pacific Nations Cup,2,79666,2019-08-03,Fiji,2879,Canada,2876,home,38,13,W,25,6,1,4,1,0,2,0,0,0.0,44.0,467.0,53.0,11.0,4.0,30.0,14.0,0.67,0.0,3.0,,6.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,19.0,18.0,153.0,0.75,1.0,9.0,0.0,0.86,0.0,0.0,2.0,70.0,68.0,111.0,0.0,1.0,7.0,91.0,16.0,7.0,0.0
2020,1326,Pacific Nations Cup,3,79693,2019-08-10,Fiji,2879,Samoa,2867,home,10,3,W,7,1,0,1,0,1,1,0,0,0.0,16.0,245.0,40.0,5.0,1.0,17.0,18.0,0.89,1.0,1.0,,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,7.0,85.0,0.0,1.0,12.0,1.0,1.0,0.0,0.0,2.0,36.0,34.0,64.0,0.0,1.0,6.0,144.0,13.0,8.0,1.0
2020,1326,Pacific Nations Cup,3,79684,2019-08-10,Japan,9017,USA,8867,away,34,20,W,14,4,2,4,2,2,2,0,0,0.0,34.0,378.0,51.0,11.0,4.0,17.0,19.0,0.92,3.0,1.0,,12.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,21.0,6.0,117.0,0.67,0.67,13.0,2.0,0.67,0.0,0.0,3.0,68.0,65.0,92.0,1.0,0.75,3.0,148.0,15.0,8.0,0.0
2021,30,International,1,80890,2020-10-11,New Zealand,2567,Australia,317,home,16,16,D,0,2,2,0,0,2,2,0,0,0.5,59.0,473.0,36.0,10.0,0.0,21.0,20.0,0.87,2.0,2.0,,13.0,0.0,6.0,6.0,2.0,0.0,2.0,1.0,24.0,3.0,131.0,0.33,0.45,7.0,2.0,0.39,0.0,0.0,5.0,77.0,72.0,99.0,0.0,1.0,4.0,188.0,21.0,12.0,0.0
2021,30,International,1,80890,2020-10-11,Australia,317,New Zealand,2567,away,16,16,D,0,2,2,0,0,2,2,0,0,0.5,94.0,564.0,69.0,10.0,0.0,24.0,21.0,0.77,0.0,3.0,,10.0,0.0,3.0,3.0,0.0,0.0,2.0,2.0,21.0,10.0,203.0,0.67,0.55,14.0,2.0,0.61,0.0,0.0,11.0,135.0,124.0,169.0,2.0,0.67,4.0,119.0,12.0,6.0,0.0
2021,30,International,1,80899,2020-10-18,Australia,317,New Zealand,2567,away,7,27,L,-20,1,4,1,2,0,1,0,0,0.8,75.0,520.0,60.0,13.0,1.0,24.0,11.0,0.92,0.0,1.0,,11.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,42.0,13.0,231.0,0.45,0.55,8.0,0.0,0.5,0.0,0.0,4.0,102.0,98.0,143.0,0.0,1.0,5.0,128.0,21.0,6.0,0.0
2021,30,International,1,80899,2020-10-18,New Zealand,2567,Australia,317,home,27,7,W,20,4,1,2,1,1,0,0,0,0.2,63.0,571.0,42.0,25.0,2.0,42.0,17.0,0.92,1.0,1.0,,11.0,0.0,8.0,8.0,1.0,0.0,2.0,0.0,24.0,14.0,169.0,0.55,0.45,9.0,1.0,0.5,0.0,0.0,5.0,86.0,81.0,117.0,0.0,1.0,8.0,144.0,15.0,10.0,0.0
2021,30,International,1,80917,2020-10-23,Scotland,2117,Georgia,8567,home,48,7,W,41,8,1,4,1,0,0,0,0,0.58,82.0,569.0,65.0,10.0,4.0,22.0,21.0,0.83,1.0,3.0,,15.0,0.0,11.0,11.0,3.0,3.0,4.0,0.0,4.0,6.0,211.0,0.77,0.61,5.0,0.0,0.7,0.0,0.0,3.0,119.0,116.0,152.0,0.0,1.0,4.0,75.0,13.0,7.0,0.0
2021,30,International,1,80908,2020-10-24,France,1967,Wales,1517,home,38,21,W,17,5,2,5,1,1,3,0,0,0.43,48.0,425.0,44.0,9.0,5.0,19.0,35.0,0.86,0.0,1.0,,6.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,10.0,12.0,128.0,0.66,0.39,16.0,1.0,0.52,0.0,0.0,4.0,83.0,79.0,107.0,0.0,1.0,5.0,107.0,13.0,7.0,0.0
2021,30,International,1,80908,2020-10-24,Wales,1517,France,1967,away,21,38,L,-17,2,5,1,5,3,1,0,0,0.57,38.0,328.0,46.0,3.0,1.0,10.0,32.0,0.85,0.0,2.0,,11.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,19.0,9.0,133.0,0.34,0.61,4.0,3.0,0.48,0.0,0.0,4.0,74.0,70.0,89.0,0.0,1.0,5.0,119.0,16.0,6.0,0.0
2021,2208,2020 Tri Nations,1,26503,2020-10-31,Australia,317,New Zealand,2567,home,5,43,L,-38,1,6,0,5,0,1,0,0,0.71,48.0,414.0,33.0,8.0,0.0,11.0,15.0,0.85,0.0,2.0,,11.0,1.0,9.0,8.0,0.0,0.0,1.0,0.0,17.0,6.0,101.0,0.34,0.52,11.0,0.0,0.43,0.0,0.0,4.0,63.0,59.0,88.0,0.0,1.0,5.0,122.0,19.0,6.0,1.0
2021,2208,2020 Tri Nations,1,26503,2020-10-31,New Zealand,2567,Australia,317,away,43,5,W,38,6,1,5,0,1,0,0,0,0.29,41.0,428.0,52.0,10.0,5.0,17.0,29.0,0.93,2.0,1.0,,13.0,1.0,9.0,8.0,0.0,1.0,1.0,0.0,11.0,4.0,119.0,0.66,0.48,9.0,1.0,0.57,0.0,0.0,3.0,72.0,69.0,95.0,0.0,1.0,9.0,85.0,11.0,9.0,2.0
2021,2208,2020 Tri Nations,2,26512,2020-11-07,Australia,317,New Zealand,2567,home,24,22,W,2,2,3,1,2,4,1,0,0,0.68,60.0,423.0,51.0,8.0,1.0,26.0,17.0,0.92,1.0,1.0,,12.0,0.0,4.0,4.0,2.0,0.0,1.0,1.0,27.0,5.0,138.0,0.41,0.64,11.0,4.0,0.52,0.0,1.0,6.0,96.0,90.0,116.0,0.0,1.0,5.0,115.0,13.0,3.0,1.0
2021,2208,2020 Tri Nations,2,26512,2020-11-07,New Zealand,2567,Australia,317,away,22,24,L,-2,3,2,2,1,1,4,0,0,0.32,49.0,322.0,44.0,7.0,2.0,27.0,20.0,0.93,1.0,1.0,,14.0,0.0,8.0,8.0,1.0,1.0,1.0,0.0,26.0,7.0,134.0,0.59,0.36,13.0,1.0,0.48,0.0,1.0,4.0,86.0,82.0,101.0,2.0,0.33,1.0,120.0,9.0,7.0,1.0
2021,2202,Autumn Nations Cup,1,3285106,2020-11-13,Ireland,1817,Wales,1517,home,32,9,W,23,2,0,2,0,6,3,0,0,0.68,61.0,382.0,58.0,5.0,2.0,15.0,16.0,0.78,3.0,2.0,,7.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,9.0,4.0,125.0,0.77,0.48,13.0,6.0,0.61,0.0,0.0,9.0,102.0,93.0,123.0,2.0,0.67,4.0,84.0,13.0,5.0,0.0
