date,comp_id,comp_name,fixture_id,team,team_id,opponent,opponent_id,team_score,opp_score,player_id,player_name,jersey,started,minutes,yellow_cards,red_cards,tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,metres,defenders_beaten,clean_breaks,offload,runs,tackles,missed_tackles,dominant_tackles,tackle_success,tackle_turnover,tackle_try_saver,rucks_won,rucks_lost,passes,bad_passes,lineouts_won,turnovers_conceded,penalties_conceded,missed_conversion_goals,missed_penalty_goals,drop_goal_missed,points
2022-02-18,1242,Super Rugby Pacific,4707115,NSW Waratahs,617,Fijian Drua,1340,40,10,139962,Alex Newsome,15,True,80,0,0,0,0,0,0,0,43,0,0,0,7,2,2,0,0.5,1,0,4,0,10,0,1,0,0,0,0,0,0
2022-02-18,1242,Super Rugby Pacific,4707115,Fijian Drua,1340,NSW Waratahs,617,10,40,186390,Apisalome Vota,13,True,80,0,0,0,0,0,0,0,15,2,0,0,6,8,2,1,0.8,2,0,3,0,4,2,0,2,0,0,0,0,0
2022-02-18,1242,Super Rugby Pacific,4707115,Fijian Drua,1340,NSW Waratahs,617,10,40,243102,Kalaveti Ravouvou,12,True,80,0,0,0,0,0,0,0,29,2,0,0,9,6,0,1,0.75,0,0,9,0,1,0,1,1,0,0,0,0,0
2022-02-18,1242,Super Rugby Pacific,4707115,Fijian Drua,1340,NSW Waratahs,617,10,40,233220,Vinaya Habosi,11,True,80,0,0,0,0,0,0,0,38,1,0,0,6,9,1,2,0.82,0,0,5,0,2,1,0,1,0,0,0,0,0
2022-02-18,1242,Super Rugby Pacific,4707115,Fijian Drua,1340,NSW Waratahs,617,10,40,69582,Baden Kerr,10,True,80,0,0,0,0,1,1,0,0,0,0,0,2,2,1,0,0.5,0,0,2,0,10,1,0,3,0,0,0,0,5
2022-02-18,1242,Super Rugby Pacific,4707115,Fijian Drua,1340,NSW Waratahs,617,10,40,206814,Simione Kuruvoli,9,True,50,0,0,0,0,0,0,0,27,2,0,0,4,6,1,0,0.86,0,0,5,0,23,2,0,1,2,0,0,0,0
2022-02-18,1242,Super Rugby Pacific,4707115,Fijian Drua,1340,NSW Waratahs,617,10,40,211644,Jone Koroiduadua,1,True,58,1,0,0,0,0,0,0,0,0,0,0,1,6,0,1,1.0,0,0,0,1,0,0,0,2,1,0,0,0,0
2022-02-18,1242,Super Rugby Pacific,4707115,Fijian Drua,1340,NSW Waratahs,617,10,40,206742,Tevita Ikanivere,2,True,52,0,0,0,0,0,0,0,1,0,0,0,1,4,1,1,0.8,0,0,0,0,1,1,7,1,2,0,0,0,0
2022-02-18,1242,Super Rugby Pacific,4707115,Fijian Drua,1340,NSW Waratahs,617,10,40,131406,Samuela Tawake,3,True,52,0,0,0,0,0,0,0,2,0,0,0,3,10,2,1,0.83,0,0,2,0,3,0,0,0,2,0,0,0,0
2022-02-18,1242,Super Rugby Pacific,4707115,Fijian Drua,1340,NSW Waratahs,617,10,40,197268,Isoa Nasilasila,4,True,66,0,0,0,0,0,0,0,9,0,0,0,10,2,0,2,0.67,0,0,9,0,2,0,0,0,1,0,0,0,0
2022-02-18,1242,Super Rugby Pacific,4707115,Fijian Drua,1340,NSW Waratahs,617,10,40,176082,Kitione Ratu,14,True,58,0,0,0,0,0,0,0,49,4,0,0,8,1,0,0,1.0,0,0,6,1,0,0,0,1,0,0,0,0,0
2022-02-18,1242,Super Rugby Pacific,4707115,Fijian Drua,1340,NSW Waratahs,617,10,40,176688,Te Ahiwaru Cirikidaveta,5,True,80,0,0,0,0,0,0,0,3,0,0,0,2,10,1,1,0.91,0,0,2,0,0,0,0,1,0,0,0,0,0
2022-02-18,1242,Super Rugby Pacific,4707115,Fijian Drua,1340,NSW Waratahs,617,10,40,214050,Kitione Salawa,7,True,80,0,0,0,0,0,0,0,16,1,0,1,5,12,1,1,0.92,0,0,4,0,5,0,0,1,1,0,0,0,0
2022-02-18,1242,Super Rugby Pacific,4707115,Fijian Drua,1340,NSW Waratahs,617,10,40,121920,Nemani Nagusa,8,True,80,0,0,1,0,0,0,0,12,2,0,0,4,6,0,0,0.75,0,0,3,0,5,0,0,1,0,0,0,0,5
2022-02-18,1242,Super Rugby Pacific,4707115,Fijian Drua,1340,NSW Waratahs,617,10,40,185118,Mesulame Dolokoto,16,False,28,0,0,0,0,0,0,0,11,1,0,0,3,0,2,0,0.0,0,0,2,0,2,1,4,1,0,0,0,0,0
2022-02-18,1242,Super Rugby Pacific,4707115,Fijian Drua,1340,NSW Waratahs,617,10,40,121908,Manasa Saulo,18,False,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,1,0,3,0,0,0,0,0,0,0,0
