season,comp_id,comp_name,round,fixture_id,date,team,team_id,opponent,opponent_id,home_away,team_score,opp_score,result,margin,tries_for,tries_against,conv_for,conv_against,pens_for,pens_against,dg_for,dg_against,ball_possession_last_10_mins,carries_crossed_gain_line,carries_metres,carries_not_made_gain_line,clean_breaks,conversion_goals,defenders_beaten,kicks_from_hand,lineout_success,lineout_won_steal,lineouts_Lost,lineouts_lost,lineouts_won,mauls_lost,mauls_total,mauls_won,mauls_won_penalty,mauls_won_try,missed_conversion_goals,missed_penalty_goals,missed_tackles,offload,passes,pc_possession_first,pc_possession_second,penalties_conceded,penalty_goals,possession,red_card_second_yellow,red_cards,rucks_lost,rucks_total,rucks_won,runs,scrums_lost,scrums_success,scrums_won,tackles,turnovers_conceded,turnovers_won,yellow_cards
2022,1242,Super Rugby Pacific,1,4707115,2022-02-18,NSW Waratahs,617,Fijian Drua,1340,home,40,10,W,30,5,1,3,1,3,1,0,0,0.04,45,355,26,5,3,16,19,0.92,2,1.0,,12,0,7,7,1,1,2,0,19,5,111,0.61,0.41,21,3,0.51,0,0,4,58,54,77,4,0.43,6,132,7,6,1
2022,1242,Super Rugby Pacific,1,4707115,2022-02-18,Fijian Drua,1340,NSW Waratahs,617,away,10,40,L,-30,1,5,1,3,1,3,0,0,0.96,49,263,27,0,1,19,9,0.72,1,5.0,,13,2,3,1,1,0,0,0,16,1,110,0.39,0.59,12,1,0.49,0,0,2,70,68,83,1,0.8,8,94,20,4,1
2022,1242,Super Rugby Pacific,1,4707124,2022-02-19,Chiefs,290,Highlanders,302,home,26,16,W,10,3,1,1,1,3,3,0,0,0.66,66,395,51,5,1,11,25,0.69,1,5.0,,11,0,3,3,0,0,2,0,12,12,182,0.58,0.51,10,3,0.54,0,0,2,94,92,128,1,0.91,10,111,9,3,0
2022,1242,Super Rugby Pacific,1,4707124,2022-02-19,Highlanders,302,Chiefs,290,away,16,26,L,-10,1,3,1,1,3,3,0,0,0.34,59,400,26,2,1,12,25,0.91,2,1.0,,10,1,4,3,1,0,0,0,11,10,135,0.42,0.49,11,3,0.46,0,0,1,75,74,97,1,0.71,5,142,18,6,0
2022,1242,Super Rugby Pacific,1,4707133,2022-02-19,Crusaders,305,Hurricanes,299,home,42,32,W,10,4,4,3,3,3,2,0,0,0.18,52,417,32,5,3,16,26,0.82,1,2.0,,9,0,4,4,0,1,1,0,33,6,141,0.43,0.44,14,3,0.43,0,0,1,84,83,97,0,1.0,3,170,10,10,2
2022,1242,Super Rugby Pacific,1,4707133,2022-02-19,Hurricanes,299,Crusaders,305,away,32,42,L,-10,4,4,3,3,2,3,0,0,0.82,73,571,51,8,3,33,22,0.94,1,1.0,,15,0,3,3,0,0,1,1,16,10,206,0.57,0.56,9,2,0.57,0,0,5,115,110,142,0,1.0,4,110,13,3,1
2022,1242,Super Rugby Pacific,1,4707142,2022-02-19,Queensland Reds,767,Melbourne Rebels,53,home,23,5,W,18,3,1,1,0,2,0,0,0,0.25,58,290,24,4,1,14,24,0.71,0,5.0,,12,0,2,2,0,0,2,0,14,11,114,0.45,0.51,10,2,0.48,0,0,2,63,61,87,2,0.83,15,127,12,10,1
2022,1242,Super Rugby Pacific,1,4707142,2022-02-19,Melbourne Rebels,53,Queensland Reds,767,away,5,23,L,-18,1,3,0,1,0,2,0,0,0.75,47,226,38,2,0,14,17,0.92,4,1.0,,12,0,4,4,0,1,1,0,14,8,133,0.55,0.49,9,0,0.52,0,0,2,87,85,103,0,0.83,5,92,23,3,0
2022,1242,Super Rugby Pacific,1,4707151,2022-02-20,ACT Brumbies,467,Western Force,236,home,29,23,W,6,4,2,3,2,1,3,0,0,0.48,52,363,29,6,3,12,14,0.69,1,4.0,,9,0,3,3,0,1,1,0,18,11,112,0.28,0.58,10,1,0.44,0,0,2,47,45,90,0,0.89,8,142,19,9,0
2022,1242,Super Rugby Pacific,1,4707151,2022-02-20,Western Force,236,ACT Brumbies,467,away,23,29,L,-6,2,4,2,3,3,1,0,0,0.52,66,405,39,1,2,18,17,0.83,2,2.0,,10,1,5,4,0,0,0,0,12,6,140,0.72,0.42,11,3,0.56,0,0,5,95,90,114,1,0.64,9,72,12,7,0
