season,round,team,name,key,Min,Ta,MC,50-22,LS,BS,T,As,C,Pen,DG,YC,RC,Pts,POTM,DB,OF,SW,CPen,KR
2023,1,Wales,J. Adams,j|adams,80,3.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2,0.0,,,,,
2023,1,Wales,A. Cuthbert,a|cuthbert,12,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,,,,,
2023,1,Wales,R. Dyer,r|dyer,68,4.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.4,0.0,,,,,
2023,1,Wales,L. Williams,l|williams,70,2.0,108.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,54.6,0.0,,,,,
2023,1,Wales,J. Hawkins,j|hawkins,80,6.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,,,,,
2023,1,Wales,G. North,g|north,80,4.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,0.0,,,,,
2023,1,Wales,D. Biggar,d|biggar,67,9.0,35.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,37.0,0.0,,,,,
2023,1,Wales,O. Williams,o|williams,13,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,,,,,
2023,1,Wales,R. Webb,r|webb,17,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,0.0,,,,,
2023,1,Wales,T. Williams,t|williams,63,6.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,0.0,,,,,
2023,1,Wales,T. Faletau,t|faletau,80,20.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.8,0.0,,,,,
2023,1,Wales,J. Morgan,j|morgan,80,14.0,43.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6,0.0,,,,,
2023,1,Wales,T. Reffell,t|reffell,26,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,,,,,
2023,1,Wales,J. Tipuric,j|tipuric,54,11.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.6,0.0,,,,,
2023,1,Wales,A. Beard,a|beard,80,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.4,0.0,,,,,
2023,1,Wales,D. Jenkins,d|jenkins,19,3.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,,,,,
2023,1,Wales,A. Jones,a|jones,61,10.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,0.0,,,,,
2023,1,Wales,R. Carre,r|carre,26,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,,,,,
2023,1,Wales,T. Francis,t|francis,40,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,,,,,
2023,1,Wales,D. Lewis,d|lewis,40,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,,,,,
2023,1,Wales,G. Thomas,g|thomas,54,11.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2,0.0,,,,,
2023,1,Wales,S. Baldwin,s|baldwin,19,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,,,,,
2023,1,Wales,K. Owens,k|owens,61,12.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.6,0.0,,,,,
2023,1,Ireland,M. Hansen,m|hansen,80,5.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8,0.0,,,,,
2023,1,Ireland,H. Keenan,h|keenan,80,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.2,1.0,,,,,
2023,1,Ireland,B. Aki,b|aki,80,4.0,112.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,63.4,0.0,,,,,
2023,1,Ireland,S. McCloskey,s|mccloskey,20,2.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,0.0,,,,,
2023,1,Ireland,G. Ringrose,g|ringrose,60,7.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2,0.0,,,,,
2023,1,Ireland,R. Byrne,r|byrne,80,10.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,0.0,,,,,
2023,1,Ireland,J. Sexton,j|sexton,12,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.4,0.0,,,,,
2023,1,Ireland,C. Casey,c|casey,68,7.0,30.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,42.8,0.0,,,,,
2023,1,Ireland,C. Murray,c|murray,16,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.8,0.0,,,,,
2023,1,Ireland,J. Conan,j|conan,64,1.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.8,0.0,,,,,
2023,1,Ireland,C. Doris,c|doris,20,4.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,0.0,,,,,
2023,1,Ireland,P. O'Mahony,p|omahony,80,17.0,45.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,,,,,
2023,1,Ireland,J. van der Flier,j|vanderflier,60,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,,,,,
2023,1,Ireland,T. Beirne,t|beirne,80,12.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.2,0.0,,,,,
2023,1,Ireland,I. Henderson,i|henderson,54,8.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.8,0.0,,,,,
2023,1,Ireland,J. Ryan,j|ryan,26,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,,,,,
2023,1,Ireland,F. Bealham,f|bealham,80,14.0,19.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47.8,0.0,,,,,
2023,1,Ireland,D. Kilcoyne,d|kilcoyne,60,12.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,,,,,
2023,1,Ireland,T. O'Toole,t|otoole,7,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,,,,,
2023,1,Ireland,A. Porter,a|porter,20,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,,,,
2023,1,Ireland,R. Herring,r|herring,73,11.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.3,0.0,,,,,
2023,1,Ireland,D. Sheehan,d|sheehan,7,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,,,,,
2023,1,England,O. Hassell-Collins,o|hassellcollins,73,5.0,54.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.1,0.0,,,,,
2023,1,England,M. Malins,m|malins,64,2.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,0.0,,,,,
2023,1,England,F. Steward,f|steward,80,5.0,67.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,55.4,0.0,,,,,
2023,1,England,A. Watson,a|watson,80,2.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,0.0,,,,,
2023,1,England,O. Farrell,o|farrell,16,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,,,,,
2023,1,England,O. Lawrence,o|lawrence,80,3.0,56.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,26.2,0.0,,,,,
2023,1,England,J. Marchant,j|marchant,4,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,
2023,1,England,M. Smith,m|smith,76,6.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,0.0,,,,,
2023,1,England,J. van Poortvliet,j|vanpoortvliet,80,6.0,112.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.4,0.0,,,,,
2023,1,England,B. Youngs,b|youngs,58,3.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,,,,,
2023,1,England,B. Curry,b|curry,22,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,,,,,
2023,1,England,A. Dombrandt,a|dombrandt,61,9.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.4,0.0,,,,,
2023,1,England,B. Earl,b|earl,56,4.0,64.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8,0.0,,,,,
2023,1,England,L. Ludlam,l|ludlam,24,2.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,0.0,,,,,
2023,1,England,O. Chessum,o|chessum,80,6.0,77.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,42.4,0.0,,,,,
2023,1,England,N. Isiekwe,n|isiekwe,80,6.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4,0.0,,,,,
2023,1,England,M. Itoje,m|itoje,19,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,0.0,,,,,
2023,1,England,D. Cole,d|cole,80,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2,0.0,,,,,
2023,1,England,E. Genge,e|genge,19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,
