key,api_player_id,api_name,rp_slug,rp_name,official_name,nationality,canonical_pos,in_api,in_rp,in_official,key_collision,match_method
a|beard,129576,Adam Beard,adam-beard,A. Beard,A. Beard,Wales,Second-row,True,True,True,False,key
a|bouthier,189918,Anthony Bouthier,,,,,Back-three,True,False,False,False,key
a|capuozzo,207774,Ange Capuozzo,ange-capuozzo,A. Capuozzo,A. Capuozzo,Italy,Back-three,True,True,True,False,key
a|christie,172434,Andy Christie,andy-christie,Andy Christie,,,Back-row,True,True,False,False,key
a|clark,,,arthur-clark,A. Clark,,England,,False,True,False,False,key
a|coles,198696,Alex Coles,alex-coles,A. Coles,A. Coles,England,Second-row,True,True,True,False,key
a|conway,67026,Andrew Conway,,,,,Back-three,True,False,False,False,key
a|craig,151758,Alex Craig,alex-craig,A. Craig,A. Craig,Scotland,Second-row,True,True,True,False,key
a|cuthbert,116478,Alex Cuthbert,alex-cuthbert,Alex Cuthbert,A. Cuthbert,,Back-three,True,True,True,False,key
a|dell,119208,Allan Dell,,,,,,True,False,False,False,key
a|dombrandt,164178,Alex Dombrandt,alex-dombrandt,Alex Dombrandt,A. Dombrandt,,Back-row,True,True,True,False,key
a|dupont,135318,Antoine Dupont,antoine-dupont,A. Dupont,A. Dupont,France,Scrum-half,True,True,True,False,key
a|fusco,180450,Alessandro Fusco,alessandro-fusco,A. Fusco,A. Fusco,Italy,Scrum-half,True,True,True,False,key
a|garbisi,231774,Alessandro Garbisi,alessandro-garbisi,A. Garbisi,A. Garbisi,Italy,Scrum-half,True,True,True,False,key
a|griffin,219990,Archie Griffin,archie-griffin,A. Griffin,A. Griffin,Wales,Prop,True,True,True,False,key
a|hastings,142002,Adam Hastings,adam-hastings,A. Hastings,A. Hastings,Scotland,Fly-half,True,True,True,False,key
a|hepburn,117978,Alec Hepburn,alec-hepburn,Alec Hepburn,,Scotland,Prop,True,True,False,False,key
a|izekor,218130,Alessandro Izekor,alessandro-izekor,A. Izekor,,Italy,Back-row,True,True,False,False,key
a|jelonch,139728,Anthony Jelonch,anthony-jelonch,A. Jelonch,A. Jelonch,France,Back-row,True,True,True,False,key
a|lovotti,110196,Andrea Lovotti,,,,,Prop,True,False,False,False,key
a|mann,232110,Alex Mann,alex-mann,A. Mann,A. Mann,Wales,Back-row,True,True,True,False,key
a|masibaka,,,alex-masibaka,A. Masibaka,,Australia,,False,True,False,False,key
a|mitchell,142356,Alex Mitchell,alex-mitchell,A. Mitchell,A. Mitchell,England,Scrum-half,True,True,True,False,key
a|porter,139806,Andrew Porter,andrew-porter,A. Porter,A. Porter,Ireland,Prop,True,True,True,False,key
a|price,119892,Ali Price,ali-price,Ali Price,A. Price,Scotland,Scrum-half,True,True,True,False,key
a|roumat,146952,Alexandre Roumat,alexandre-roumat,A. Roumat,A. Roumat,France,Second-row,True,True,True,False,key
a|vincent,176706,Arthur Vincent,,,,,Centre,True,False,False,False,key
a|wainwright,176652,Aaron Wainwright,aaron-wainwright,Aaron Wainwright,A. Wainwright,Wales,Back-row,True,True,True,False,key
a|watson,114510,Anthony Watson,anthony-watson,Anthony Watson,A. Watson,England,Back-three,True,True,True,False,key
a|wynjones,46092,Alun Wyn Jones,alun-wyn-jones,Alun Wyn Jones,,Wales,Second-row,True,True,False,False,key
a|zambonin,208140,Andrea Zambonin,andrea-zambonin,A. Zambonin,A. Zambonin,Italy,Second-row,True,True,True,False,key
b|aki,114804,Bundee Aki,bundee-aki,B. Aki,B. Aki,Ireland,Centre,True,True,True,False,key
b|burns,118098,Billy Burns,,,,,Fly-half,True,False,False,False,key
b|carter,219996,Ben Carter,ben-carter,B. Carter,B. Carter,Wales,Second-row,True,True,True,False,key
b|chalureau,118122,Bastien Chalureau,bastien-chalureau,Bastien Chalureau,,France,Second-row,True,True,False,False,key
b|couilloud,147576,Baptiste Couilloud,baptiste-couilloud,Baptiste Couilloud,,France,Scrum-half,True,True,False,False,key
b|curry,155898,Ben Curry,ben-curry,B. Curry,B. Curry,England,Back-row,True,True,True,False,key
b|dulin,64326,Brice Dulin,,,,,Back-three,True,False,False,False,key
b|earl,142404,Ben Earl,ben-earl,B. Earl,B. Earl,England,Back-row,True,True,True,False,key
b|healy,203100,Ben Healy,ben-healy,Ben Healy,,Scotland,Fly-half,True,True,False,False,key
b|kinghorn,139902,Blair Kinghorn,blair-kinghorn,B. Kinghorn,B. Kinghorn,Scotland,Back-three,True,True,True,False,key
b|leroux,66894,Bernard Le Roux,,,,,Second-row,True,False,False,False,key
b|muncaster,230874,Ben Muncaster,ben-muncaster,B. Muncaster,B. Muncaster,Scotland,Back-row,True,True,True,False,key
b|murray,197892,Blair Murray,blair-murray-1,B. Murray,B. Murray,Wales,Back-three,True,True,True,False,key
b|obano,137016,Beno Obano,beno-obano,Beno Obano,,England,Prop,True,True,False,False,key
b|roberts,226830,Bradley Roberts,bradley-roberts,Bradley Roberts,B. Roberts,,Hooker,True,True,True,False,key
b|rodd,198810,Bevan Rodd,bevan-rodd,B. Rodd,B. Rodd,England,Prop,True,True,True,False,key
b|serin,121830,Baptiste Serin,baptiste-serin,B. Serin,B. Serin,France,Scrum-half,True,True,True,False,key
b|spencer,116268,Ben Spencer,ben-spencer,B. Spencer,B. Spencer,England,Scrum-half,True,True,True,False,key
b|steyn,119316,Braam Steyn,,,,,Back-row,True,False,False,False,key
b|thomas,154968,Ben Thomas,ben-thomas,B. Thomas,B. Thomas,Wales,Centre,True,True,True,False,key
b|thomson,102912,Blade Thomson,,,,,Back-row,True,False,False,False,key
b|vellacott,125262,Ben Vellacott,,,,,Scrum-half,True,False,False,False,key
b|vunipola,111618,Billy Vunipola,,,,,Back-row,True,False,False,False,key
b|ward,,,bryn-ward,B. Ward,,,,False,True,False,False,key
b|white,142476,Ben White,ben-white,B. White,B. White,Scotland,Scrum-half,True,True,True,False,key
b|youngs,54876,Ben Youngs,ben-youngs,Ben Youngs,B. Youngs,England,Scrum-half,True,True,True,False,key
c|baille,121938,Cyril Baille,cyril-baille,C. Baille,C. Baille,France,Prop,True,True,True,False,key
c|blade,,,caolin-blade,C. Blade,,Ireland,,False,True,False,False,key
c|braley,122700,Callum Braley,,,,,Scrum-half,True,False,False,False,key
c|canna,134250,Carlo Canna,,,,,Centre,True,False,False,False,key
c|casey,203124,Craig Casey,craig-casey,C. Casey,C. Casey,Ireland,Scrum-half,True,True,True,False,key
c|cazeaux,136902,Cyril Cazeaux,,,,,Second-row,True,False,False,False,key
c|chat,129480,Camille Chat,,,,,Hooker,True,False,False,False,key
c|cunninghamsouth,264444,Chandler Cunningham-South,chandler-cunningham-south,C. Cunningham-South,C. Cunningham-South,England,Back-row,True,True,True,False,key
c|domachowski,144486,Corey Domachowski,corey-domachowski,Corey Domachowski,,Wales,Prop,True,True,False,False,key
c|doris,148680,Caelan Doris,caelan-doris,C. Doris,C. Doris,Ireland,Back-row,True,True,True,False,key
c|evans,177552,Cai Evans,cai-evans,Cai Evans,,Wales,Back-three,True,True,False,False,key
c|ewels,127014,Charlie Ewels,,,,,Second-row,True,False,False,False,key
c|frawley,148890,Ciaran Frawley,ciaran-frawley,C. Frawley,C. Frawley,Ireland,Back-three,True,True,True,False,key
c|harris,125406,Chris Harris,chris-harris,Chris Harris,C. Harris,,Centre,True,True,True,False,key
c|healy,56550,Cian Healy,cian-healy,C. Healy,C. Healy,Ireland,Prop,True,True,True,False,key
c|hill,111162,Cory Hill,,,,,Second-row,True,False,False,False,key
c|izuchukwu,208038,Cormac Izuchukwu,cormac-izuchukwu,C. Izuchukwu,C. Izuchukwu,Ireland,Back-row,True,True,True,False,key
c|lawes,58824,Courtney Lawes,courtney-lawes,Courtney Lawes,C. Lawes,England,Back-row,True,True,True,False,key
c|murley,172428,Cadan Murley,cadan-murley,C. Murley,C. Murley,England,Back-three,True,True,True,False,key
c|murray,61860,Conor Murray,conor-murray,C. Murray,C. Murray,Ireland,Scrum-half,True,True,True,False,key
c|nash,148836,Calvin Nash,calvin-nash,C. Nash,C. Nash,Ireland,Back-three,True,True,True,False,key
c|ollivon,123504,Charles Ollivon,charles-ollivon,C. Ollivon,C. Ollivon,France,Back-row,True,True,True,False,key
c|prendergast,201978,Cian Prendergast,cian-prendergast,C. Prendergast,C. Prendergast,Ireland,Back-row,True,True,True,False,key
c|redpath,177348,Cameron Redpath,cameron-redpath,Cameron Redpath,,,Centre,True,True,False,False,key
c|sheedy,136470,Callum Sheedy,,,,,Fly-half,True,False,False,False,key
c|stander,102660,CJ Stander,,,,,Back-row,True,False,False,False,key
c|traore,123420,Cherif Traore,,,,,Prop,True,False,False,False,key
c|tshiunza,232116,Christ Tshiunza,christ-tshiunza,C. Tshiunza,C. Tshiunza,,Back-row,True,True,True,False,key
c|winnett,243378,Cameron Winnett,cam-winnett,Cam Winnett,,Wales,Back-three,True,True,False,False,key
c|woki,165864,Cameron Woki,cameron-woki,C. Woki,,France,Second-row,True,True,False,False,key
d|aldegheri,127122,Dorian Aldegheri,dorian-aldegheri,Dorian Aldegheri,D. Aldegheri,France,Prop,True,True,True,False,key
d|bamba,178656,Demba Bamba,demba-bamba,D. Bamba,D. Bamba,France,Prop,True,True,True,False,key
d|biggar,58554,Dan Biggar,dan-biggar,Dan Biggar,D. Biggar,Wales,Fly-half,True,True,True,False,key
d|care,45822,Danny Care,danny-care,Danny Care,,England,Scrum-half,True,True,False,False,key
d|cherry,111864,David Cherry,david-cherry,D. Cherry,D. Cherry,Scotland,Hooker,True,True,True,False,key
d|cole,54336,Dan Cole,dan-cole,Dan Cole,D. Cole,England,Prop,True,True,True,False,key
d|cretin,162138,Dylan Cretin,dylan-cretin,D. Cretin,,France,Back-row,True,True,False,False,key
d|edwards,263442,Dan Edwards,daniel-edwards,D. Edwards,D. Edwards,Wales,Fly-half,True,True,True,False,key
