key,slug,nationality,age,position,height_cm,weight_kg
a|wainwright,aaron-wainwright,Wales,28,Back Row,188,106
a|beard,adam-beard,Wales,30,Lock,203,117
a|hastings,adam-hastings,Scotland,29,Fly Half,188,92
a|hepburn,alec-hepburn,Scotland,33,Prop,185,114
a|fusco,alessandro-fusco,Italy,26,Scrum Half,183,85
a|garbisi,alessandro-garbisi,Italy,24,Scrum Half,174,83
a|izekor,alessandro-izekor,Italy,25,Back Row,196,108
a|coles,alex-coles,England,26,Lock,201,117
a|craig,alex-craig,Scotland,29,Lock,198,119
a|cuthbert,alex-cuthbert,,36,Outside Back,198,104
a|dombrandt,alex-dombrandt,,29,Back Row,191,118
a|mann,alex-mann,Wales,24,Back Row,191,95
a|masibaka,alex-masibaka,Australia,24,Back Row,186,115
a|mitchell,alex-mitchell,England,29,Scrum Half,180,83
a|roumat,alexandre-roumat,France,28,Back Row,198,110
a|price,ali-price,Scotland,33,Scrum Half,178,88
a|wynjones,alun-wyn-jones,Wales,40,Lock,196,118
a|zambonin,andrea-zambonin,Italy,25,Lock,202,103
a|porter,andrew-porter,Ireland,30,Prop,183,123
a|christie,andy-christie,,0,Back Row,0,0
a|capuozzo,ange-capuozzo,Italy,27,Outside Back,177,70
a|jelonch,anthony-jelonch,France,29,Back Row,193,105
a|watson,anthony-watson,England,32,Outside Back,185,93
a|dupont,antoine-dupont,France,29,Scrum Half,174,85
a|griffin,archie-griffin,Wales,24,Prop,190,124
a|clark,arthur-clark,England,24,Lock,201,120
b|couilloud,baptiste-couilloud,France,28,Scrum Half,176,84
b|serin,baptiste-serin,France,31,Scrum Half,182,83
b|chalureau,bastien-chalureau,France,34,Lock,202,118
b|carter,ben-carter,Wales,25,Lock,197,122
b|curry,ben-curry,England,28,Back Row,185,105
b|earl,ben-earl,England,28,Back Row,183,107
b|healy,ben-healy,Scotland,26,Fly Half,191,97
b|muncaster,ben-muncaster,Scotland,24,Back Row,190,110
b|spencer,ben-spencer,England,33,Scrum Half,178,86
b|thomas,ben-thomas,Wales,27,Centre,183,93
b|white,ben-white,Scotland,28,Scrum Half,178,88
b|youngs,ben-youngs,England,36,Scrum Half,178,92
b|obano,beno-obano,England,31,Prop,176,120
b|rodd,bevan-rodd,England,25,Prop,183,118
b|kinghorn,blair-kinghorn,Scotland,29,Outside Back,194,107
b|murray,blair-murray-1,Wales,24,Outside Back,173,75
b|roberts,bradley-roberts,,30,Hooker,175,104
b|ward,bryn-ward,,0,Back Row,183,113
b|aki,bundee-aki,Ireland,36,Centre,178,102
c|murley,cadan-murley,England,26,Outside Back,175,96
c|doris,caelan-doris,Ireland,28,Back Row,193,107
c|evans,cai-evans,Wales,26,Outside Back,185,84
c|nash,calvin-nash,Ireland,28,Outside Back,178,90
c|winnett,cam-winnett,Wales,23,Outside Back,180,85
c|redpath,cameron-redpath,,26,Centre,188,96
c|woki,cameron-woki,France,27,Back Row,196,109
c|blade,caolin-blade,Ireland,32,Scrum Half,169,80
c|cunninghamsouth,chandler-cunningham-south,England,23,Back Row,193,120
c|ollivon,charles-ollivon,France,33,Back Row,199,114
c|harris,chris-harris,,35,Centre,188,104
c|tshiunza,christ-tshiunza,,0,Lock,0,0
c|healy,cian-healy,Ireland,38,Prop,185,117
c|prendergast,cian-prendergast,Ireland,26,Back Row,196,112
c|frawley,ciaran-frawley,Ireland,28,Fly Half,191,98
c|murray,conor-murray,Ireland,37,Scrum Half,188,94
c|domachowski,corey-domachowski,Wales,29,Prop,183,121
c|izuchukwu,cormac-izuchukwu,Ireland,26,Lock,201,117
c|lawes,courtney-lawes,England,37,Back Row,200,119
c|casey,craig-casey,Ireland,27,Scrum Half,165,76
c|baille,cyril-baille,France,32,Prop,182,116
d|jenkins,dafydd-jenkins,,0,Lock,0,0
d|penaud,damian-penaud,France,29,Outside Back,192,94
d|mazza,damiano-mazza,Italy,27,Centre,183,95
d|biggar,dan-biggar,Wales,36,Fly Half,188,93
d|cole,dan-cole,England,39,Prop,191,124
d|sheehan,dan-sheehan,,27,Hooker,191,111
d|edwards,daniel-edwards,Wales,23,Fly Half,178,80
d|fischetti,danilo-fischetti,Italy,28,Prop,181,120
d|care,danny-care,England,39,Scrum Half,175,85
d|priso,dany-priso,France,32,Prop,182,112
d|graham,darcy-graham,Scotland,28,Outside Back,176,84
d|rae,darcy-rae,Scotland,31,Prop,185,125
d|murray,darragh-murray,Ireland,24,Lock,201,115
d|kilcoyne,dave-kilcoyne,Ireland,37,Prop,183,112
d|cherry,david-cherry,Scotland,35,Hooker,183,107
d|odiase,david-odiase,,23,Back Row,189,104
d|ribbans,david-ribbans,England,30,Lock,202,116
d|bamba,demba-bamba,France,28,Prop,185,124
d|lake,dewi-lake,Wales,26,Hooker,185,110
d|lewis,dillon-lewis,Wales,30,Prop,185,125
d|lamb,dino-lamb,,28,Back Row,196,119
d|aldegheri,dorian-aldegheri,France,32,Prop,180,119
d|vandermerwe,duhan-van-der-merwe,Scotland,31,Outside Back,193,106
d|cretin,dylan-cretin,France,29,Back Row,195,105
e|james,eddie-james,Wales,23,Centre,193,110
e|iachizzi,edoardo-iachizzi,Italy,28,Lock,196,110
e|padovani,edoardo-padovani,,33,Outside Back,191,95
e|edogbo,edwin-edogbo,Ireland,23,Lock,196,122
e|daly,elliot-daly,England,33,Centre,184,92
e|millarmills,elliot-millar-mills,Scotland,33,Prop,178,121
e|dee,elliott-dee,Wales,32,Hooker,183,104
e|bevan,ellis-bevan,Wales,26,Scrum Half,180,90
e|genge,ellis-genge,England,31,Prop,183,120
e|mee,ellis-mee,England,22,Outside Back,193,92
e|gailleton,emilien-gailleton,France,22,Centre,185,89
e|iyogun,emmanuel-iyogun,England,25,Prop,190,114
e|meafou,emmanuel-meafou,France,27,Lock,203,140
e|abadie,esteban-abadie,France,28,Back Row,188,100
e|dumortier,ethan-dumortier,France,25,Outside Back,192,93
e|roots,ethan-roots,England,28,Back Row,188,110
e|lloyd,evan-lloyd,,26,fullback,179,81
e|ashman,ewan-ashman,Scotland,26,Hooker,186,113
e|johnson,ewan-johnson,,26,Lock,203,120
f|brauboirie,fabien-brau-boirie,France,20,Centre,190,97
f|mori,federico-mori,Italy,25,Centre,188,106
f|ruzza,federico-ruzza,Italy,31,Lock,198,108
f|zani,federico-zani,Italy,37,Prop,178,110
f|burke,fergus-burke,New Zealand,26,Fly Half,186,94
f|baxter,fin-baxter,England,24,Prop,185,116
f|bealham,finlay-bealham,Ireland,34,Prop,188,123
f|smith,finlay-smith,England,24,Fly Half,178,87
f|russell,finn-russell,Scotland,33,Fly Half,182,87
f|cros,francois-cros,France,32,Back Row,190,107
f|brown,fraser-brown,,36,Hooker,182,113
f|dingwall,fraser-dingwall,England,27,Centre,188,92
f|douglas,freddie-douglas,Scotland,21,Back Row,185,99
f|steward,freddie-steward,England,25,Outside Back,196,107
f|thomas,freddie-thomas,England,24,Back Row,193,106
g|villiere,gabin-villiere,France,30,Outside Back,180,93
g|hamerwebb,gabriel-hamer-webb,England,25,Outside Back,181,94
g|drean,gael-drean,France,25,Outside Back,184,84
g|fickou,gael-fickou,France,32,Centre,190,99
g|barlot,gaeton-barlot,France,29,Hooker,184,107
g|anscombe,gareth-anscombe,,35,Fly Half,183,90
g|davies,gareth-davies,Wales,35,Scrum Half,178,88
g|thomas,gareth-thomas,Wales,32,Prop,188,116
g|ringrose,garry-ringrose,Ireland,31,Centre,188,96
g|coombes,gavin-coombes,Ireland,28,Back Row,198,110
g|ford,george-ford,England,33,Fly Half,178,84
g|furbank,george-furbank,England,29,Outside Back,182,89
g|horne,george-horne,Scotland,31,Scrum Half,175,79
g|kloska,george-kloska,England,26,Prop,183,117
g|martin,george-martin,England,24,Lock,198,124
g|north,george-north,Wales,34,Outside Back,193,109
g|turner,george-turner,Scotland,33,Hooker,180,106
g|colombe,georges-henri-colombe,France,28,Prop,193,142
g|dare,giacomo-da-re,Italy,27,Outside Back,181,83
g|nicotera,giacomo-nicotera,Italy,29,Hooker,183,102
g|lucchesi,gianmarcolucchesi,Italy,25,Hooker,184,110
g|zilocchi,giosue-zilocchi,Italy,29,Prop,186,112
g|pettinelli,giovanni-pettinelli,Italy,30,Back Row,193,110
g|bertaccini,giulio-bertaccini,Italy,25,Centre,184,91
g|gilchrist,grant-gilchrist,Scotland,35,Lock,200,118
g|fisilau,greg-fisilau,England,22,Back Row,188,108
g|arfeuil,gregoire-arfeuil,France,21,Outside Back,193,82
g|brown,gregor-brown,Scotland,24,Back Row,191,109
g|hiddleston,gregor-hiddleston,Scotland,24,Hooker,187,106
g|alldritt,gregory-alldritt,France,29,Back Row,191,115
g|mccarthy,gus-mccarthy,Ireland,22,Hooker,178,107
g|warr,gus-warr,Scotland,26,Scrum Half,173,73
g|pepper,guy-pepper,England,23,Back Row,190,105
h|watson,hamish-watson,Scotland,34,Back Row,185,102
h|deaves,harri-deaves,Wales,25,Back Row,180,91
h|oconnor,harri-oconnor,Wales,25,Prop,182,118
h|byrne,harry-byrne,Ireland,27,Fly Half,191,95
h|paterson,harry-paterson,Scotland,24,Outside Back,188,93
h|randall,harry-randall,England,28,Scrum Half,172,79
h|thomas,harry-thomas,Wales,21,Hooker,178,107
h|arundell,henry-arundell,England,23,Outside Back,183,98
h|pollock,henry-pollock,England,21,Back Row,188,100
h|slade,henry-slade,England,33,Centre,188,98
h|auradou,hugo-auradou,France,22,Lock,200,100
h|keenan,hugo-keenan,Ireland,29,Outside Back,185,92
h|reus,hugo-reus,France,22,Fly Half,184,85
h|jones,huw-jones,Scotland,32,Centre,186,102
i|henderson,iain-henderson,Northern Ireland,34,Lock,198,116
i|feyiwaboso,immanuel-feyi-waboso,England,23,Outside Back,183,89
i|lloyd,ioan-lloyd,Wales,25,Fly Half,179,85
j|morgan,jac-morgan,Wales,26,Back Row,180,102
j|boyle,jack-boyle,Ireland,23,Prop,185,106
j|conan,jack-conan,Ireland,33,Back Row,193,110
j|crowley,jack-crowley,Ireland,26,Fly Half,183,88
j|dempsey,jack-dempsey,Scotland,32,Back Row,190,108
j|kenningham,jack-kenningham,England,26,Back Row,191,107
j|mann,jack-mann,Scotland,26,Back Row,194,114
j|vanpoortvliet,jack-van-poortvliet,England,25,Scrum Half,183,84
j|walker,jack-walker,England,30,Hooker,185,109
j|willis,jack-willis,England,29,Back Row,191,110
j|stockdale,jacob-stockdale,Northern Ireland,30,Outside Back,190,102
j|trulla,jacopo-trulla,Italy,25,Outside Back,181,83
j|polledri,jake-polledri,,30,Back Row,189,106
j|botham,james-botham,Wales,28,Back Row,188,108
j|lowe,james-lowe,New Zealand,33,Outside Back,188,105
j|ryan,james-ryan,,29,Lock,201,115
j|bhatti,jamie-bhattie,Scotland,32,Prop,186,120
j|dobie,jamie-dobie,Scotland,25,Scrum Half,175,81
j|george,jamie-george,England,35,Hooker,178,109
j|osborne,jamie-osborne,Ireland,24,Centre,193,96
j|ritchie,jamie-ritchie,Scotland,29,Back Row,193,109
j|gibsonpark,jamison-gibson-park,,34,Scrum Half,175,80
j|evans,jarrod-evans,Wales,29,Fly Half,180,87
j|sebastian,javan-sebastian,Scotland,31,Prop,177,118
j|gros,jean-baptiste-gros,France,27,Prop,187,112
j|loughman,jeremy-loughman,Ireland,30,Prop,185,118
j|obrien,jimmy-obrien,,29,Centre,183,88
j|hawkins,joe-hawkins,Wales,24,Centre,183,98
j|heyes,joe-heyes,England,27,Prop,191,122
j|marchant,joe-marchant,England,29,Centre,183,89
j|marler,joe-marler,England,35,Prop,183,120
j|mccarthy,joe-mccarthy,,25,Lock,198,119
j|roberts,joe-roberts,Wales,26,Centre,182,98
j|sexton,johnny-sexton,Ireland,40,Fly Half,188,90
j|danty,jonathan-danty,France,33,Centre,181,106
j|gray,jonny-gray,Scotland,32,Lock,198,122
j|larmour,jordan-larmour,Ireland,29,Outside Back,178,90
j|adams,josh-adams,,30,Outside Back,183,96
j|bayliss,josh-bayliss,Scotland,28,Back Row,190,106
j|hathaway,josh-hathaway,Wales,22,Outside Back,183,84
j|macleod,josh-macleod,Wales,29,Back Row,188,103
j|vanderflier,josh-van-der-flier,,33,Back Row,188,103
