key,slug,competition,season,games,minutes,tries,try_assists,points,carries,metres,av_gain,post_contact_metres,defenders_beaten,clean_breaks,offloads,handling_errors,passes,bad_passes,tackles,missed_tackles,tackles_success_pct,dominant_tackles,turnovers_won,turnovers_conceded,kicks_from_hand,penalties_conceded,yellow_cards,red_cards
a|grandidiernkanang,aaron-grandidier-nkanang,TOP 14,2026/2027,1,60,0,0,0,4,31,7.83,8,2,1,0,1,2,0,5,1,0.71,0,0,2,3,0,0,0
a|grandidiernkanang,aaron-grandidier-nkanang,Nations Championship,2026,2,160,2,0,10,18,100,5.58,40,4,2,0,2,2,1,6,2,0.75,0,0,3,4,1,0,0
a|grandidiernkanang,aaron-grandidier-nkanang,TOP 14,2025/2026,22,1609,5,2,25,127,882,6.95,385,38,17,5,28,55,4,57,18,0.59,9,4,38,7,4,0,0
a|grandidiernkanang,aaron-grandidier-nkanang,Challenge Cup,2025/2026,1,80,0,1,0,14,111,7.96,55,9,2,2,0,10,0,3,1,0.75,1,2,2,3,0,0,0
a|grandidiernkanang,aaron-grandidier-nkanang,Investec Champions Cup,2025/2026,2,82,0,0,0,8,58,7.28,34,5,0,0,2,3,1,4,2,0.5,1,1,2,0,0,0,0
a|grandidiernkanang,aaron-grandidier-nkanang,TOP 14,2024/2025,13,1019,5,0,25,78,580,7.43,233,23,11,3,5,35,2,50,12,0.63,3,7,11,8,4,0,0
a|grandidiernkanang,aaron-grandidier-nkanang,Challenge Cup,2024/2025,4,160,1,0,5,16,180,11.28,83,9,2,1,4,5,0,10,6,0.5,0,0,7,1,0,0,0
a|smith,aaron-smith,Japan Rugby League One,2025/2026,17,812,2,10,10,52,320,6.16,149,15,7,6,7,899,18,49,15,0.57,0,1,13,83,3,0,0
a|smith,aaron-smith,Japan Rugby League One,2024/2025,16,773,1,4,5,45,240,5.33,163,28,5,6,7,845,24,63,17,0.69,0,0,7,47,1,0,0
a|smith,aaron-smith,The Rugby Championship,2023,3,181,2,0,10,7,24,3.41,6,1,1,0,4,213,6,15,4,0.63,1,1,4,7,0,0,0
a|smith,aaron-smith,Rugby World Cup,2023,6,315,4,0,20,18,110,6.09,75,9,3,0,0,326,9,19,6,0.66,3,1,1,28,1,1,0
a|smith,aaron-smith,Japan Rugby League One,2023/2024,16,908,8,6,40,78,359,4.6,167,28,4,12,15,831,30,77,21,0.69,7,4,20,53,11,0,0
a|smith,aaron-smith,The Rugby Championship,2022,6,383,0,1,0,10,30,3.02,4,0,0,2,1,332,8,16,8,0.59,0,2,3,15,2,0,0
a|smith,aaron-smith,Super Rugby Pacific,2023,9,590,3,13,15,23,89,3.88,61,8,0,2,3,507,13,43,17,0.57,0,4,5,46,1,0,0
a|wainwright,aaron-wainwright,Six Nations,2026,5,365,2,0,10,66,168,2.54,153,17,2,0,4,14,0,63,6,0.85,0,0,4,1,1,0,0
a|wainwright,aaron-wainwright,Rugby Hybrid Friendlies,2026,1,71,0,0,0,13,50,3.84,36,2,1,2,1,5,0,13,0,0.93,0,0,1,2,1,0,0
a|wainwright,aaron-wainwright,Nations Championship,2026,3,181,0,0,0,29,68,2.33,52,2,1,0,1,2,0,24,8,0.67,0,2,3,0,2,0,0
a|wainwright,aaron-wainwright,Challenge Cup,2025/2026,5,399,0,0,0,74,263,3.55,189,10,0,1,0,30,2,59,6,0.87,0,1,3,1,3,0,0
a|wainwright,aaron-wainwright,United Rugby Championship,2025/2026,11,880,3,0,15,150,531,3.54,476,37,5,0,5,54,2,129,15,0.84,7,5,6,5,5,0,0
a|wainwright,aaron-wainwright,Six Nations,2025,5,164,1,0,5,27,34,1.26,39,1,0,0,1,11,3,17,1,0.89,1,0,1,0,2,0,0
a|wainwright,aaron-wainwright,Challenge Cup,2024/2025,3,240,2,0,10,53,163,3.07,85,10,1,2,1,18,2,24,6,0.77,1,0,1,3,0,0,0
a|wainwright,aaron-wainwright,United Rugby Championship,2024/2025,10,697,3,0,15,88,306,3.48,240,19,2,3,6,52,4,68,13,0.77,1,2,8,2,5,0,0
a|wainwright,aaron-wainwright,Six Nations,2024,5,400,1,0,5,53,120,2.27,104,8,1,1,3,41,3,43,5,0.8,1,0,3,2,1,0,0
a|wainwright,aaron-wainwright,Rugby World Cup,2023,4,283,0,0,0,15,24,1.61,26,1,0,2,1,25,0,50,4,0.89,4,1,1,0,1,0,0
a|wainwright,aaron-wainwright,Rugby Hybrid Friendlies,2023/2024,1,80,1,0,5,12,22,1.83,7,1,2,2,0,14,1,9,1,0.56,1,1,0,0,0,0,0
a|wainwright,aaron-wainwright,Challenge Cup,2023/2024,3,240,0,0,0,34,153,4.49,93,5,0,2,1,14,1,40,3,0.89,3,1,1,1,4,0,0
a|wainwright,aaron-wainwright,United Rugby Championship,2023/2024,13,803,2,0,10,102,409,4.01,217,24,0,4,10,53,10,94,12,0.81,5,1,12,2,5,1,0
a|wainwright,aaron-wainwright,Rugby Hybrid Friendlies,2022/2023,2,72,0,0,0,5,68,0.0,5,1,1,0,0,5,2,13,1,0.0,0,0,0,0,0,0,0
a|beard,adam-beard,TOP 14,2026/2027,1,41,0,0,0,0,0,0.0,0,0,0,0,0,2,0,10,1,0.91,1,0,0,0,0,0,0
a|beard,adam-beard,Six Nations,2026,4,171,0,0,0,10,16,1.56,15,0,0,1,0,8,0,21,2,0.78,2,0,1,1,0,0,0
a|beard,adam-beard,Nations Championship,2026,3,240,0,0,0,11,16,1.41,10,0,0,0,1,14,1,36,4,0.8,2,1,1,0,4,0,0
a|beard,adam-beard,Challenge Cup,2025/2026,4,268,0,0,0,14,37,2.65,34,0,0,1,1,20,0,23,3,0.72,1,0,1,0,5,0,0
a|beard,adam-beard,TOP 14,2025/2026,19,800,1,0,5,29,44,1.51,40,2,0,1,5,54,1,110,9,0.87,6,3,7,0,9,0,0
a|beard,adam-beard,United Rugby Championship,2024/2025,9,689,0,0,0,26,42,1.63,40,0,1,1,2,65,5,88,12,0.81,5,0,3,1,9,0,0
a|beard,adam-beard,Challenge Cup,2024/2025,2,106,1,0,5,6,4,0.73,2,0,0,2,1,10,0,8,2,0.73,1,0,1,0,1,0,0
a|beard,adam-beard,Six Nations,2024,5,319,0,1,0,20,14,0.73,32,0,0,0,0,28,4,43,3,0.9,4,1,0,0,2,0,0
a|beard,adam-beard,Rugby World Cup,2023,4,234,0,0,0,8,4,0.5,16,0,0,1,2,10,1,46,4,0.88,2,1,2,0,2,0,0
a|beard,adam-beard,Rugby Hybrid Friendlies,2023/2024,1,69,0,0,0,6,3,0.45,5,0,0,0,0,6,0,11,2,0.79,0,0,0,0,1,1,0
a|beard,adam-beard,United Rugby Championship,2023/2024,8,585,0,1,0,27,30,1.1,52,0,0,2,5,43,1,84,4,0.91,6,0,6,0,7,0,0
