key,slug,competition,match,date,opposition,mins,tries,conversions,yellow_cards,red_cards,win,draw
a|grandidiernkanang,aaron-grandidier-nkanang,Nations Championship,Japan vs France,2026-07-18,Japan,80,0,0,0,0,True,False
a|grandidiernkanang,aaron-grandidier-nkanang,Nations Championship,Australia vs France,2026-07-11,Australia,80,2,0,0,0,True,False
a|grandidiernkanang,aaron-grandidier-nkanang,Challenge Cup,Zebre vs Pau,2026-04-05,Zebre,80,0,0,0,0,False,False
a|grandidiernkanang,aaron-grandidier-nkanang,Challenge Cup,Pau vs Bath,2025-04-04,Bath,3,0,0,0,0,False,False
a|grandidiernkanang,aaron-grandidier-nkanang,Challenge Cup,Pau vs Ospreys,2025-01-18,Ospreys,6,0,0,0,0,False,False
a|grandidiernkanang,aaron-grandidier-nkanang,Challenge Cup,Lions vs Pau,2024-12-14,Lions,71,0,0,0,0,False,False
a|grandidiernkanang,aaron-grandidier-nkanang,Challenge Cup,Pau vs Newcastle,2024-12-08,Newcastle,80,1,0,0,0,True,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Montpellier vs Pau,2026-09-05,Montpellier,60,0,0,0,0,True,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Pau vs Racing 92,2026-06-13,Racing 92,58,0,0,0,0,False,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Montpellier vs Pau,2026-05-30,Montpellier,80,0,0,0,0,False,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Pau vs Clermont,2026-05-16,Clermont,80,0,0,0,0,True,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Pau vs Castres,2026-05-09,Castres,19,0,0,0,0,True,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Stade Francais vs Pau,2026-04-25,Stade Francais,71,0,0,0,0,False,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Bayonne vs Pau,2026-04-18,Bayonne,80,0,0,0,0,True,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Pau vs Racing 92,2026-03-28,Racing 92,80,0,0,0,0,True,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Pau vs Bordeaux,2026-03-01,Bordeaux,80,1,0,0,0,True,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Perpignan vs Pau,2026-02-22,Perpignan,80,1,0,0,0,False,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Pau vs Toulon,2026-02-01,Toulon,80,0,0,0,0,True,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Toulouse vs Pau,2026-01-24,Toulouse,80,0,0,0,0,False,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Lyon vs Pau,2026-01-03,Lyon,49,0,0,0,0,False,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Pau vs Montpellier,2025-12-28,Montpellier,80,0,0,0,0,True,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Pau vs Stade Rochelais,2025-11-30,Stade Rochelais,80,1,0,0,0,True,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Bordeaux vs Pau,2025-11-21,Bordeaux,80,0,0,0,0,True,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Racing 92 vs Pau,2025-10-25,Racing 92,80,0,0,0,0,False,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Pau vs Toulouse,2025-10-18,Toulouse,80,1,0,0,0,True,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Pau vs Bayonne,2025-10-11,Bayonne,62,0,0,0,0,True,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Pau vs Lyon,2025-09-27,Lyon,70,0,0,0,0,True,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Clermont vs Pau,2025-09-20,Clermont,80,0,0,0,0,False,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Pau vs Stade Francais,2025-09-13,Stade Francais,80,1,0,0,0,True,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Castres vs Pau,2025-09-06,Castres,80,0,0,0,0,True,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Bayonne vs Pau,2025-04-26,Bayonne,80,0,0,0,0,False,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Pau vs Bordeaux,2025-04-19,Bordeaux,80,0,0,0,0,False,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Toulouse vs Pau,2025-03-29,Toulouse,80,0,0,0,0,False,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Pau vs Montpellier,2025-03-22,Montpellier,80,1,0,0,0,True,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Racing 92 vs Pau,2025-03-01,Racing 92,80,1,0,0,0,True,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Pau vs Perpignan,2025-02-22,Perpignan,80,1,0,0,0,True,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Castres vs Pau,2025-01-04,Castres,80,1,0,0,0,False,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Pau vs Vannes,2024-12-28,Vannes,80,1,0,0,0,True,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Pau vs Lyon,2024-11-30,Lyon,80,0,0,0,0,True,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Pau vs Racing 92,2024-11-02,Racing 92,80,0,0,0,0,False,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Bordeaux vs Pau,2024-10-26,Bordeaux,80,0,0,0,0,False,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Perpignan vs Pau,2024-10-05,Perpignan,59,0,0,0,0,False,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Stade Rochelais vs Pau,2024-09-21,Stade Rochelais,80,0,0,0,0,False,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Lyon vs Brive,2022-12-31,Lyon,80,0,0,0,0,True,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Brive vs Clermont,2022-12-23,Clermont,80,0,0,0,0,True,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Stade Francais vs Brive,2022-10-22,Stade Francais,80,0,0,0,0,False,False
a|grandidiernkanang,aaron-grandidier-nkanang,Top 14,Castres vs Brive,2022-09-24,Castres,80,0,0,0,0,False,False
a|grandidiernkanang,aaron-grandidier-nkanang,Investec Champions Cup,Pau vs Bulls,2026-01-16,Bulls,80,0,0,0,0,False,False
a|grandidiernkanang,aaron-grandidier-nkanang,Investec Champions Cup,Bristol vs Pau,2025-12-14,Bristol,2,0,0,0,0,False,False
a|smith,aaron-smith,Rugby Championship,Australia vs New Zealand,2023-07-29,Australia,60,0,0,0,0,True,False
a|smith,aaron-smith,Rugby Championship,New Zealand vs South Africa,2023-07-15,South Africa,60,1,0,0,0,True,False
a|smith,aaron-smith,Rugby Championship,Argentina vs New Zealand,2023-07-08,Argentina,61,1,0,0,0,True,False
a|smith,aaron-smith,Rugby Championship,New Zealand vs Australia,2022-09-24,Australia,57,0,0,0,0,True,False
a|smith,aaron-smith,Rugby Championship,Australia vs New Zealand,2022-09-15,Australia,74,0,0,0,0,True,False
a|smith,aaron-smith,Rugby Championship,New Zealand vs Argentina,2022-09-03,Argentina,51,0,0,0,0,True,False
a|smith,aaron-smith,Rugby Championship,New Zealand vs Argentina,2022-08-27,Argentina,63,0,0,0,0,False,False
a|smith,aaron-smith,Rugby Championship,South Africa vs New Zealand,2022-08-13,South Africa,68,0,0,0,0,True,False
a|smith,aaron-smith,Rugby Championship,South Africa vs New Zealand,2022-08-06,South Africa,70,0,0,0,0,False,False
a|smith,aaron-smith,Rugby Championship,New Zealand vs Australia,2021-08-14,Australia,66,0,0,0,0,True,False
a|smith,aaron-smith,Rugby Championship,South Africa vs New Zealand,2018-10-06,South Africa,69,1,0,0,0,True,False
a|smith,aaron-smith,Rugby Championship,Argentina vs New Zealand,2018-09-29,Argentina,14,0,0,0,0,True,False
a|smith,aaron-smith,Rugby Championship,New Zealand vs South Africa,2018-09-15,South Africa,49,1,0,0,0,False,False
a|smith,aaron-smith,Rugby Championship,New Zealand vs Australia,2018-08-25,Australia,62,0,0,0,0,True,False
a|smith,aaron-smith,Rugby Championship,Australia vs New Zealand,2018-08-18,Australia,67,1,0,0,0,True,False
a|smith,aaron-smith,Rugby Championship,South Africa vs New Zealand,2017-10-07,South Africa,59,0,0,0,0,True,False
a|smith,aaron-smith,Rugby Championship,Argentina vs New Zealand,2017-09-30,Argentina,50,0,0,0,0,True,False
a|smith,aaron-smith,Rugby Championship,New Zealand vs South Africa,2017-09-16,South Africa,57,0,0,0,0,True,False
a|smith,aaron-smith,Rugby Championship,New Zealand vs Australia,2017-08-26,Australia,67,1,0,0,0,True,False
a|smith,aaron-smith,Rugby Championship,Australia vs New Zealand,2017-08-19,Australia,52,0,0,0,0,True,False
a|smith,aaron-smith,Rugby Championship,New Zealand vs South Africa,2016-09-17,South Africa,63,0,0,0,0,True,False
