season,key,off_games,name,team,off_Min,off_C,off_BS,off_CPen,off_T,off_RC,off_YC,off_Pen,off_DG,off_Ta,off_DB,off_As,off_MC,off_Pts,off_OF,api_games,api_minutes,api_tries,api_try_assists,api_conversion_goals,api_penalty_goals,api_metres,api_defenders_beaten,api_tackles,api_offload,api_penalties_conceded,api_tackle_turnover,api_fantasy_pts_recon,slug,rp_games,rp_minutes,rp_tries,rp_try_assists,rp_metres,rp_defenders_beaten,rp_tackles,rp_offloads,rp_penalties_conceded,rp_turnovers_won,rp_points,_m
2025,a|capuozzo,5,A. Capuozzo,Italy,393,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,24.0,11.0,1.0,199.0,87,1.0,5,389,2,1,0,0,147,11,25,1,3,1,87,ange-capuozzo,5,393,2,1,145.0,11.0,24.0,1,3,0,10,199.0
2025,a|dupont,4,A. Dupont,France,237,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,16.0,13.0,7.0,285.0,148,10.0,4,237,2,7,0,0,240,15,18,9,4,0,132,antoine-dupont,4,237,2,7,238.0,13.0,16.0,10,4,0,10,285.0
2025,a|garbisi,3,A. Garbisi,Italy,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,9.0,12,0.0,3,52,0,1,0,0,5,1,6,0,0,1,17,alessandro-garbisi,3,51,0,1,5.0,1.0,6.0,0,0,1,0,9.0
2025,a|jelonch,3,A. Jelonch,France,97,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,1.0,46.0,32,1.0,3,98,0,1,0,0,19,2,16,1,3,0,24,anthony-jelonch,3,97,0,1,18.0,1.0,17.0,1,2,0,0,46.0
2025,a|mitchell,5,A. Mitchell,England,336,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,16.0,7.0,4.0,154.0,65,0.0,5,335,1,4,0,0,115,7,16,0,3,0,61,alex-mitchell,5,336,1,4,125.0,7.0,16.0,0,3,0,5,154.0
2025,a|porter,5,A. Porter,Ireland,345,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,52.0,2.0,0.0,107.0,79,2.0,5,344,0,0,0,0,18,2,57,2,3,1,67,andrew-porter,5,345,0,0,17.0,2.0,52.0,2,3,1,0,107.0
2025,a|roumat,3,A. Roumat,France,113,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,38.0,27,0.0,3,113,0,0,0,0,11,1,11,0,1,0,12,alexandre-roumat,3,113,0,0,12.0,1.0,9.0,0,1,0,0,38.0
2025,a|wainwright,5,A. Wainwright,Wales,164,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,127.0,47,0.0,5,165,1,0,0,0,34,1,19,0,2,0,35,aaron-wainwright,5,164,1,0,34.0,1.0,17.0,0,2,0,5,127.0
2025,b|aki,5,B. Aki,Ireland,222,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,30.0,7.0,0.0,165.0,71,1.0,5,223,1,0,0,0,68,6,28,1,3,0,54,bundee-aki,5,222,1,0,68.0,7.0,30.0,1,3,1,5,165.0
2025,b|curry,5,B. Curry,England,225,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,48.0,4.0,1.0,76.0,110,0.0,5,224,0,1,0,0,59,4,48,0,2,1,68,ben-curry,5,225,0,1,58.0,4.0,48.0,0,2,6,0,76.0
2025,b|earl,5,B. Earl,England,366,0.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,48.0,12.0,0.0,425.0,163,0.0,5,345,1,0,0,0,279,11,44,0,4,0,103,ben-earl,5,366,1,0,280.0,12.0,48.0,0,4,5,5,425.0
2025,b|kinghorn,5,B. Kinghorn,Scotland,400,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,7.0,25.0,1.0,855.0,210,13.0,5,400,2,1,1,2,579,25,7,13,3,0,168,blair-kinghorn,5,400,2,1,575.0,25.0,7.0,13,3,0,18,855.0
2025,b|muncaster,1,B. Muncaster,Scotland,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,3,0.0,1,14,0,0,0,0,1,0,3,0,0,0,3,ben-muncaster,1,14,0,0,2.0,,3.0,0,0,0,0,6.0
2025,b|murray,5,B. Murray,Wales,339,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,15.0,25.0,1.0,374.0,123,5.0,5,339,1,1,0,0,301,25,16,5,2,0,116,blair-murray-1,5,339,1,1,301.0,25.0,15.0,5,2,0,5,374.0
2025,b|thomas,5,B. Thomas,Wales,368,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,44.0,7.0,1.0,285.0,120,1.0,5,368,3,1,0,1,117,7,45,1,3,1,109,ben-thomas,5,368,3,1,117.0,7.0,44.0,1,3,1,18,285.0
