slate,competition,season,round,engine,n,n_labelled,mae,team_points,xv,captain_bonus,substitute,team_unlabelled,label_error,raw_error,errors
ncr_2026_r1,ncr,2026,1,empirical_baseline,227,227,8.264581497797357,529.0,461.0,41.0,27.0,0,0.0,,
ncr_2026_r1,ncr,2026,1,p3_rolling_native,227,227,8.42242317971711,502.0,431.0,56.0,15.0,0,0.0,3.552713678800501e-15,
ncr_2026_r1,ncr,2026,1,p3_weighted_native,227,227,8.355870335927177,507.0,451.0,41.0,15.0,0,0.0,3.552713678800501e-15,
ncr_2026_r1,ncr,2026,1,p3_robust_native,227,227,8.317041089518463,498.0,430.0,41.0,27.0,0,0.0,3.552713678800501e-15,
ncr_2026_r1,ncr,2026,1,p3_tournament_frozen_native,227,227,8.42242317971711,502.0,431.0,56.0,15.0,0,0.0,,
ncr_2026_r2,ncr,2026,2,p3_tournament_frozen_native,262,262,8.265282361088179,697.0,410.0,92.0,195.0,0,0.0,,
ncr_2026_r3,ncr,2026,3,p3_tournament_frozen_native,269,269,8.525674076116688,486.0,402.0,45.0,39.0,0,0.0,,
ncr_2026_r2,ncr,2026,2,empirical_baseline,262,262,8.395496183206106,493.0,418.0,30.0,45.0,0,0.0,,
ncr_2026_r2,ncr,2026,2,p3_rolling_native,262,262,8.309864655765312,681.0,450.0,36.0,195.0,0,0.0,3.552713678800501e-15,
ncr_2026_r2,ncr,2026,2,p3_weighted_native,262,262,8.266343800816557,531.0,450.0,36.0,45.0,0,0.0,3.552713678800501e-15,
ncr_2026_r2,ncr,2026,2,p3_robust_native,262,262,8.3384012734908,684.0,453.0,36.0,195.0,0,0.0,3.552713678800501e-15,
ncr_2026_r3,ncr,2026,3,empirical_baseline,269,269,8.543122676579927,556.0,475.0,45.0,36.0,0,0.0,,
ncr_2026_r3,ncr,2026,3,p3_rolling_native,269,269,8.480965011842834,499.0,415.0,45.0,39.0,0,0.0,3.552713678800501e-15,
ncr_2026_r3,ncr,2026,3,p3_weighted_native,269,269,8.439071688657073,524.0,440.0,45.0,39.0,0,0.0,3.552713678800501e-15,
ncr_2026_r3,ncr,2026,3,p3_robust_native,269,269,8.456052776874802,557.0,473.0,45.0,39.0,0,0.0,7.105427357601002e-15,
six_nations_2025_r1,six_nations,2025,1,empirical_baseline,138,132,6.782401487047886,502.0,450.0,37.0,15.0,0,0.0,,
six_nations_2025_r1,six_nations,2025,1,p3_rolling_native,138,132,6.829945597463422,529.0,483.0,31.0,15.0,0,0.0,3.552713678800501e-15,
six_nations_2025_r1,six_nations,2025,1,p3_weighted_native,138,132,6.875909114585709,462.0,416.0,31.0,15.0,0,0.0,7.105427357601002e-15,
six_nations_2025_r1,six_nations,2025,1,p3_robust_native,138,132,6.890568617739768,546.0,440.0,31.0,75.0,0,0.0,7.105427357601002e-15,
six_nations_2025_r1,six_nations,2025,1,p3_tournament_frozen_native,138,132,6.829945597463422,529.0,483.0,31.0,15.0,0,0.0,,
six_nations_2025_r2,six_nations,2025,2,p3_tournament_frozen_native,138,138,6.914021923655188,319.0,285.0,13.0,21.0,0,0.0,,
six_nations_2025_r3,six_nations,2025,3,p3_tournament_frozen_native,138,138,6.709801961824843,507.0,384.0,90.0,33.0,0,0.0,,
six_nations_2025_r4,six_nations,2025,4,p3_tournament_frozen_native,138,138,7.916762979256652,538.0,390.0,40.0,108.0,0,0.0,,
six_nations_2025_r5,six_nations,2025,5,p3_tournament_frozen_native,138,138,7.555464914284443,468.0,366.0,36.0,66.0,0,0.0,,
six_nations_2025_r2,six_nations,2025,2,empirical_baseline,138,138,6.87587584376193,382.0,318.0,34.0,30.0,0,0.0,,
six_nations_2025_r2,six_nations,2025,2,p3_rolling_native,138,138,7.16380443191514,349.0,294.0,34.0,21.0,0,0.0,7.105427357601002e-15,
six_nations_2025_r2,six_nations,2025,2,p3_weighted_native,138,138,7.167499508315274,351.0,296.0,34.0,21.0,0,0.0,7.105427357601002e-15,
six_nations_2025_r2,six_nations,2025,2,p3_robust_native,138,138,6.840640310869786,399.0,335.0,34.0,30.0,0,0.0,1.0658141036401503e-14,
six_nations_2025_r3,six_nations,2025,3,empirical_baseline,138,138,6.999373156139082,451.0,382.0,36.0,33.0,0,0.0,,
six_nations_2025_r3,six_nations,2025,3,p3_rolling_native,138,138,7.146700073559738,435.0,396.0,36.0,3.0,0,0.0,7.105427357601002e-15,
six_nations_2025_r3,six_nations,2025,3,p3_weighted_native,138,138,7.357068613938005,432.0,393.0,36.0,3.0,0,0.0,7.105427357601002e-15,
six_nations_2025_r3,six_nations,2025,3,p3_robust_native,138,138,7.278381344202609,432.0,393.0,36.0,3.0,0,0.0,3.552713678800501e-15,
six_nations_2025_r4,six_nations,2025,4,empirical_baseline,138,138,7.774974393912702,541.0,405.0,28.0,108.0,0,0.0,,
six_nations_2025_r4,six_nations,2025,4,p3_rolling_native,138,138,7.793280953743896,464.0,376.0,40.0,48.0,0,0.0,3.552713678800501e-15,
six_nations_2025_r4,six_nations,2025,4,p3_weighted_native,138,138,7.81574244976516,486.0,398.0,40.0,48.0,0,0.0,7.105427357601002e-15,
six_nations_2025_r4,six_nations,2025,4,p3_robust_native,138,138,7.780909026839934,474.0,398.0,28.0,48.0,0,0.0,7.105427357601002e-15,
six_nations_2025_r5,six_nations,2025,5,empirical_baseline,138,138,7.40739219493164,534.0,432.0,36.0,66.0,0,0.0,,
six_nations_2025_r5,six_nations,2025,5,p3_rolling_native,138,138,7.405839922011311,513.0,411.0,36.0,66.0,0,0.0,7.105427357601002e-15,
six_nations_2025_r5,six_nations,2025,5,p3_weighted_native,138,138,7.394052156935123,505.0,403.0,36.0,66.0,0,0.0,7.105427357601002e-15,
six_nations_2025_r5,six_nations,2025,5,p3_robust_native,138,138,7.424246650504721,505.0,403.0,36.0,66.0,0,0.0,7.105427357601002e-15,
six_nations_2026_r1,six_nations,2026,1,empirical_baseline,138,134,8.000927593138426,505.0,450.0,46.0,9.0,0,0.0,,
six_nations_2026_r1,six_nations,2026,1,p3_rolling_native,138,134,7.87595417708909,,,30.0,9.0,1,0.0,3.552713678800501e-15,
six_nations_2026_r1,six_nations,2026,1,p3_weighted_native,138,134,7.743071860575277,494.0,455.0,30.0,9.0,0,0.0,3.552713678800501e-15,
six_nations_2026_r1,six_nations,2026,1,p3_robust_native,138,134,7.561415857016793,494.0,455.0,30.0,9.0,0,0.0,7.105427357601002e-15,
six_nations_2026_r1,six_nations,2026,1,p3_tournament_frozen_native,138,134,7.87595417708909,,,30.0,9.0,1,0.0,,
six_nations_2026_r2,six_nations,2026,2,p3_tournament_frozen_native,138,131,7.492020817669858,484.0,385.0,33.0,66.0,0,0.0,,
six_nations_2026_r3,six_nations,2026,3,p3_tournament_frozen_native,138,137,7.263110680898394,488.0,405.0,41.0,42.0,0,0.0,,
six_nations_2026_r4,six_nations,2026,4,p3_tournament_frozen_native,138,138,6.944921049034462,412.0,391.0,21.0,0.0,0,0.0,,
six_nations_2026_r5,six_nations,2026,5,p3_tournament_frozen_native,138,138,6.784085259694187,524.0,470.0,30.0,24.0,0,0.0,,
six_nations_2026_r2,six_nations,2026,2,empirical_baseline,138,131,7.4213109258849235,547.0,433.0,48.0,66.0,0,0.0,,
six_nations_2026_r2,six_nations,2026,2,p3_rolling_native,138,131,7.49388484966987,552.0,453.0,33.0,66.0,0,0.0,7.105427357601002e-15,
six_nations_2026_r2,six_nations,2026,2,p3_weighted_native,138,131,7.620187698915835,552.0,453.0,33.0,66.0,0,0.0,7.105427357601002e-15,
six_nations_2026_r2,six_nations,2026,2,p3_robust_native,138,131,7.6098656221754535,564.0,465.0,33.0,66.0,0,0.0,3.552713678800501e-15,
six_nations_2026_r3,six_nations,2026,3,empirical_baseline,138,137,7.559644231581972,460.0,350.0,56.0,54.0,0,0.0,,
six_nations_2026_r3,six_nations,2026,3,p3_rolling_native,138,137,7.484806293992856,455.0,366.0,41.0,48.0,0,0.0,3.552713678800501e-15,
six_nations_2026_r3,six_nations,2026,3,p3_weighted_native,138,137,7.518912772149121,485.0,390.0,41.0,54.0,0,0.0,7.105427357601002e-15,
six_nations_2026_r3,six_nations,2026,3,p3_robust_native,138,137,7.434736770703762,463.0,377.0,56.0,30.0,0,0.0,7.105427357601002e-15,
six_nations_2026_r4,six_nations,2026,4,empirical_baseline,138,138,6.988266294478257,516.0,471.0,45.0,0.0,0,0.0,,
six_nations_2026_r4,six_nations,2026,4,p3_rolling_native,138,138,6.990073226643369,407.0,393.0,14.0,0.0,0,0.0,3.552713678800501e-15,
six_nations_2026_r4,six_nations,2026,4,p3_weighted_native,138,138,7.027845307536549,407.0,393.0,14.0,0.0,0,0.0,3.552713678800501e-15,
six_nations_2026_r4,six_nations,2026,4,p3_robust_native,138,138,6.941017605465607,407.0,393.0,14.0,0.0,0,0.0,7.105427357601002e-15,
six_nations_2026_r5,six_nations,2026,5,empirical_baseline,138,138,6.782769875789765,524.0,470.0,30.0,24.0,0,0.0,,
six_nations_2026_r5,six_nations,2026,5,p3_rolling_native,138,138,6.712755470367397,564.0,510.0,30.0,24.0,0,0.0,7.105427357601002e-15,
six_nations_2026_r5,six_nations,2026,5,p3_weighted_native,138,138,6.675530534223663,575.0,503.0,30.0,42.0,0,0.0,7.105427357601002e-15,
six_nations_2026_r5,six_nations,2026,5,p3_robust_native,138,138,6.671765217787377,568.0,500.0,44.0,24.0,0,0.0,7.105427357601002e-15,
