season,round,team,name,Pts,public_points
2026,2,France,B. Serin,13.0,11.0
2026,2,France,F. Cros,15.0,18.0
2026,2,France,O. Jegou,25.0,24.0
2026,2,France,A. Jelonch,18.0,15.0
2026,2,France,L. Nouchi,16.0,14.0
2026,2,France,C. Ollivon,39.0,37.0
2026,2,France,M. Guillard,31.0,29.0
2026,2,France,D. Aldegheri,9.0,10.0
2026,2,France,R. Neti,7.0,5.0
2026,3,Ireland,J. Osborne,18.0,0.0
2026,2,Ireland,G. Ringrose,14.0,13.0
2026,2,Ireland,J. Crowley,9.0,8.0
2026,2,Ireland,J. Gibson-Park,4.0,2.0
2026,2,Ireland,J. Conan,43.0,40.0
2026,3,Ireland,C. Doris,38.0,28.0
2026,2,Ireland,N. Timoney,7.0,3.0
2026,2,Ireland,T. Beirne,11.0,8.0
2026,2,Ireland,J. Ryan,10.0,8.0
2026,2,Ireland,R. Kelleher,12.0,6.0
2026,1,Italy,M. Ioane,17.0,16.0
2026,2,Italy,M. Ioane,32.0,31.0
2026,1,Italy,L. Lynagh,17.0,15.0
2026,2,Italy,L. Lynagh,10.0,7.0
2026,1,Italy,L. Pani,2.0,1.0
2026,2,Italy,L. Pani,19.0,17.0
2026,1,Italy,N. Brex,20.0,16.0
2026,1,Italy,P. Garbisi,15.0,16.0
2026,2,Italy,A. Fusco,13.0,14.0
2026,1,Italy,L. Cannone,44.0,41.0
2026,2,Italy,M. Lamaro,22.0,23.0
2026,1,Italy,M. Zuliani,32.0,29.0
2026,2,Italy,M. Zuliani,41.0,42.0
2026,1,Italy,N. Cannone,31.0,28.0
2026,1,Italy,R. Favretto,13.0,9.0
2026,1,Italy,D. Fischetti,19.0,15.0
2026,2,Italy,D. Fischetti,12.0,11.0
2026,1,Italy,M. Hasa,7.0,4.0
2026,1,Italy,T. di Bartolomeo,12.0,7.0
2026,2,Italy,T. di Bartolomeo,6.0,5.0
2026,1,Scotland,D. Graham,1.0,0.0
2026,1,Scotland,M. Fagerson,17.0,0.0
2026,1,Scotland,S. Cummings,9.0,0.0
2026,2,Scotland,M. Williamson,5.0,4.0
2026,1,Scotland,E. Ashman,14.0,0.0
2026,3,Scotland,G. Turner,17.0,0.0
2026,2,England,F. Dingwall,12.0,11.0
2026,2,England,B. Spencer,2.0,3.0
2026,1,England,T. Curry,-1.0,0.0
2026,2,England,H. Pollock,22.0,21.0
2026,2,England,O. Chessum,16.0,15.0
2026,2,England,A. Coles,5.0,4.0
2026,5,England,M. Itoje,29.0,12.0
2026,2,England,T. Davison,2.0,1.0
2026,2,England,B. Rodd,9.0,8.0
2026,1,England,J. George,12.0,0.0
2026,2,Wales,J. Adams,12.0,11.0
2026,3,Wales,J. Adams,18.0,0.0
2026,2,Wales,L. Rees-Zammit,37.0,36.0
2026,2,Wales,T. Williams,15.0,14.0
2026,2,Wales,A. Mann,27.0,25.0
2026,2,Wales,A. Wainwright,28.0,29.0
2026,2,Wales,A. Beard,14.0,11.0
2026,2,Wales,A. Griffin,13.0,10.0
2026,2,Wales,N. Smith,6.0,5.0
2026,2,Ireland,R. Baloucoune,45.0,30.0
2026,2,Ireland,E. Edogbo,8.0,2.0
2026,2,Ireland,T. Furlong,7.0,6.0
2026,2,Ireland,T. O'Toole,10.0,5.0
2026,2,England,F. Smith,3.0,2.0
2026,2,Wales,R. Elias,10.0,8.0
2026,2,France,T. Flament,11.0,10.0
2026,2,France,M. Lamothe,10.0,8.0
2026,5,Italy,T. Allan,13.0,0.0
