fold,rows,unknown,bench_unknown
autumn_internationals_2022,1017,32,32
autumn_internationals_2024,1104,19,19
autumn_internationals_2025,1196,29,29
british_irish_lions_2025,460,5,5
nations_championship_2026,828,3,3
pacific_nations_cup_2022,276,29,29
pacific_nations_cup_2024,506,62,62
pacific_nations_cup_2025,506,38,38
rugby_championship_2022,553,19,19
rugby_championship_2023,276,1,1
rugby_championship_2024,552,3,3
rugby_championship_2025,552,8,8
rugby_world_cup_2023,2024,103,103
six_nations_2022,690,62,62
six_nations_2023,690,4,4
six_nations_2024,690,3,3
six_nations_2025,690,0,0
six_nations_2026,690,0,0
summer_internationals_2022,880,119,119
summer_internationals_2023,1104,28,28
summer_internationals_2024,1104,46,46
summer_internationals_2025,828,35,35
