source,competition,opponent,metric,n_pairs,max_absolute_difference
raw_paired_intervals.csv,all_raw,empirical_event,relative_loss,22,8.326672684688674e-17
raw_paired_intervals.csv,all_raw,p3_rolling_native,relative_loss,22,8.847089727481716e-17
raw_paired_intervals.csv,all_raw,p3_weighted_native,relative_loss,22,9.540979117872439e-17
official_paired_intervals.csv,ncr,empirical_baseline,mae,3,9.020562075079397e-17
official_paired_intervals.csv,ncr,p3_rolling_native,mae,3,1.6792123247455493e-15
official_paired_intervals.csv,ncr,p3_tournament_frozen_native,mae,3,9.020562075079397e-16
official_paired_intervals.csv,ncr,p3_weighted_native,mae,3,9.020562075079397e-17
official_paired_intervals.csv,six_nations,empirical_baseline,mae,10,6.071532165918825e-16
official_paired_intervals.csv,six_nations,p3_rolling_native,mae,10,3.3306690738754696e-16
official_paired_intervals.csv,six_nations,p3_tournament_frozen_native,mae,10,3.885780586188048e-16
official_paired_intervals.csv,six_nations,p3_weighted_native,mae,10,2.0816681711721685e-16
official_paired_intervals.csv,ncr,empirical_baseline,team_points,3,7.105427357601002e-15
official_paired_intervals.csv,ncr,p3_rolling_native,team_points,3,0.0
official_paired_intervals.csv,ncr,p3_tournament_frozen_native,team_points,3,0.0
official_paired_intervals.csv,ncr,p3_weighted_native,team_points,3,0.0
official_paired_intervals.csv,six_nations,empirical_baseline,team_points,10,0.0
official_paired_intervals.csv,six_nations,p3_rolling_native,team_points,9,3.552713678800501e-15
official_paired_intervals.csv,six_nations,p3_tournament_frozen_native,team_points,9,0.0
official_paired_intervals.csv,six_nations,p3_weighted_native,team_points,10,0.0
