season,round,fixture_id,player_id,team,player_name,minutes,official_pts_old,official_pts,official_label_source
2023,1,8380546,118614,Italy,Juan Ignacio Brex,80,,3.8,official_workbook_name_identity
2023,2,8380573,118614,Italy,Juan Ignacio Brex,80,,22.4,official_workbook_name_identity
2023,3,8380582,118614,Italy,Juan Ignacio Brex,80,,20.2,official_workbook_name_identity
2023,4,8380609,118614,Italy,Juan Ignacio Brex,80,,42.0,official_workbook_name_identity
2025,1,8476117,118614,Italy,Juan Ignacio Brex,80,,27.0,official_workbook_name_identity
2025,2,8476135,118614,Italy,Juan Ignacio Brex,80,,5.0,official_workbook_name_identity
2025,2,8476144,264444,England,Chandler Cunningham-South,0,,0.0,unused_bench_no_recorded_events
2025,2,8476144,148404,England,Harry Randall,0,,0.0,unused_bench_no_recorded_events
2025,2,8476144,231696,France,Emilien Gailleton,0,,0.0,unused_bench_no_recorded_events
2025,3,8476162,203082,Wales,Teddy Williams,9,7.0,4.0,official_workbook_minutes_identity
2025,3,8476162,116400,Wales,Rhodri Williams,0,,0.0,unused_bench_no_recorded_events
2025,3,8476180,118614,Italy,Juan Ignacio Brex,80,,26.0,official_workbook_name_identity
2025,4,8476198,203082,Wales,Teddy Williams,18,9.0,37.0,official_workbook_minutes_identity
2025,4,8476207,118614,Italy,Juan Ignacio Brex,80,,11.0,official_workbook_name_identity
2025,5,8476216,118614,Italy,Juan Ignacio Brex,80,,19.0,official_workbook_name_identity
2025,5,8476225,203082,Wales,Teddy Williams,33,7.0,5.0,official_workbook_minutes_identity
2025,5,8476234,203400,Scotland,Will Hurd,0,,0.0,unused_bench_no_recorded_events
2026,1,8523952,118614,Italy,Juan Ignacio Brex,80,,20.0,official_workbook_name_identity
2026,1,8523952,202974,Italy,Giacomo Da Re,0,,0.0,unused_bench_no_recorded_events
2026,1,8523952,142002,Scotland,Adam Hastings,0,,0.0,unused_bench_no_recorded_events
2026,3,8524006,135900,Wales,Kieran Hardy,0,,0.0,unused_bench_no_recorded_events
2026,4,8524024,135900,Wales,Kieran Hardy,0,,0.0,unused_bench_no_recorded_events
2026,4,8524024,139716,Wales,Jarrod Evans,0,,0.0,unused_bench_no_recorded_events
2026,4,8524042,118614,Italy,Juan Ignacio Brex,50,,5.0,official_workbook_name_identity
2026,5,8524060,118614,Italy,Juan Ignacio Brex,69,,8.0,official_workbook_name_identity
2026,5,8524069,121830,France,Baptiste Serin,0,,0.0,unused_bench_no_recorded_events
2026,5,8524069,231696,France,Emilien Gailleton,0,,0.0,unused_bench_no_recorded_events
