season,round,fixture_id,player_id,team,player_name,minutes
2025,1,8476108,165192,France,Georges-Henri Colombe,31
2025,1,8476108,231696,France,Emilien Gailleton,14
2025,1,8476108,111690,Wales,Liam Williams,80
2025,1,8476108,136476,Wales,Owen Watkin,26
2025,1,8476117,231762,Italy,Luca Rizzoli,13
2025,1,8476126,172428,England,Cadan Murley,80
2026,1,8523943,207432,France,Regis Montagne,31
2026,1,8523943,238278,France,Hugo Auradou,31
2026,1,8523952,214146,Scotland,Jamie Dobie,49
2026,1,8523961,206706,Wales,Taine Plumtree,30
2026,2,8523979,214146,Scotland,Jamie Dobie,74
2026,2,8523979,117864,Scotland,George Turner,50
2026,2,8523979,130536,Scotland,Jamie Ritchie,40
2026,2,8523979,111864,Scotland,Dave Cherry,30
2026,2,8523988,206706,Wales,Taine Plumtree,30
2026,2,8523988,207432,France,Regis Montagne,30
2026,2,8523988,341154,France,Noah Nene,13
2026,3,8524006,206706,Wales,Taine Plumtree,9
