fold,engine,target,cohort,n,n_error,mae_error,loss_error,naive_loss_error,relative_error
autumn_internationals_2022,empirical_event,minutes,all,1017,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,empirical_event,minutes,starter,660,0,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,0.0
autumn_internationals_2022,empirical_event,minutes,bench,357,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,empirical_event,minutes,zero_minute,24,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,empirical_event,minutes,low_history,91,0,0.0,0.0,0.0,1.1102230246251565e-16
autumn_internationals_2022,empirical_event,minutes,north,486,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,empirical_event,minutes,south,485,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,empirical_event,minutes,position:Back-row,184,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,empirical_event,minutes,position:Back-three,157,0,0.0,0.0,0.0,1.1102230246251565e-16
autumn_internationals_2022,empirical_event,minutes,position:Centre,119,0,1.7763568394002505e-15,1.7763568394002505e-15,0.0,2.220446049250313e-16
autumn_internationals_2022,empirical_event,minutes,position:Fly-half,71,0,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0
autumn_internationals_2022,empirical_event,minutes,position:Hooker,83,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,empirical_event,minutes,position:Prop,162,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,empirical_event,minutes,position:Scrum-half,83,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,empirical_event,minutes,position:Second-row,126,0,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0
autumn_internationals_2022,empirical_event,minutes,position:Unknown,32,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_rolling_native,minutes,all,1017,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_rolling_native,minutes,starter,660,0,0.0,0.0,1.7763568394002505e-15,1.1102230246251565e-16
autumn_internationals_2022,p3_rolling_native,minutes,bench,357,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_rolling_native,minutes,zero_minute,24,0,3.552713678800501e-15,3.552713678800501e-15,0.0,0.0
autumn_internationals_2022,p3_rolling_native,minutes,low_history,91,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_rolling_native,minutes,north,486,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_rolling_native,minutes,south,485,0,1.7763568394002505e-15,1.7763568394002505e-15,0.0,1.1102230246251565e-16
autumn_internationals_2022,p3_rolling_native,minutes,position:Back-row,184,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_rolling_native,minutes,position:Back-three,157,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_rolling_native,minutes,position:Centre,119,0,1.7763568394002505e-15,1.7763568394002505e-15,0.0,1.1102230246251565e-16
autumn_internationals_2022,p3_rolling_native,minutes,position:Fly-half,71,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_rolling_native,minutes,position:Hooker,83,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_rolling_native,minutes,position:Prop,162,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_rolling_native,minutes,position:Scrum-half,83,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_rolling_native,minutes,position:Second-row,126,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_rolling_native,minutes,position:Unknown,32,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_weighted_native,minutes,all,1017,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_weighted_native,minutes,starter,660,0,0.0,0.0,1.7763568394002505e-15,1.1102230246251565e-16
autumn_internationals_2022,p3_weighted_native,minutes,bench,357,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_weighted_native,minutes,zero_minute,24,0,3.552713678800501e-15,3.552713678800501e-15,0.0,0.0
autumn_internationals_2022,p3_weighted_native,minutes,low_history,91,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_weighted_native,minutes,north,486,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_weighted_native,minutes,south,485,0,1.7763568394002505e-15,1.7763568394002505e-15,0.0,1.1102230246251565e-16
autumn_internationals_2022,p3_weighted_native,minutes,position:Back-row,184,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_weighted_native,minutes,position:Back-three,157,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_weighted_native,minutes,position:Centre,119,0,1.7763568394002505e-15,1.7763568394002505e-15,0.0,1.1102230246251565e-16
autumn_internationals_2022,p3_weighted_native,minutes,position:Fly-half,71,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_weighted_native,minutes,position:Hooker,83,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_weighted_native,minutes,position:Prop,162,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_weighted_native,minutes,position:Scrum-half,83,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_weighted_native,minutes,position:Second-row,126,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_weighted_native,minutes,position:Unknown,32,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_robust_native,minutes,all,1017,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_robust_native,minutes,starter,660,0,0.0,0.0,1.7763568394002505e-15,1.1102230246251565e-16
autumn_internationals_2022,p3_robust_native,minutes,bench,357,0,0.0,0.0,0.0,1.1102230246251565e-16
autumn_internationals_2022,p3_robust_native,minutes,zero_minute,24,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_robust_native,minutes,low_history,91,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_robust_native,minutes,north,486,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_robust_native,minutes,south,485,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_robust_native,minutes,position:Back-row,184,0,1.7763568394002505e-15,1.7763568394002505e-15,0.0,1.1102230246251565e-16
autumn_internationals_2022,p3_robust_native,minutes,position:Back-three,157,0,0.0,0.0,0.0,1.1102230246251565e-16
autumn_internationals_2022,p3_robust_native,minutes,position:Centre,119,0,0.0,0.0,0.0,1.1102230246251565e-16
autumn_internationals_2022,p3_robust_native,minutes,position:Fly-half,71,0,1.7763568394002505e-15,1.7763568394002505e-15,0.0,0.0
autumn_internationals_2022,p3_robust_native,minutes,position:Hooker,83,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_robust_native,minutes,position:Prop,162,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_robust_native,minutes,position:Scrum-half,83,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_robust_native,minutes,position:Second-row,126,0,0.0,0.0,0.0,1.1102230246251565e-16
autumn_internationals_2022,p3_robust_native,minutes,position:Unknown,32,0,0.0,0.0,0.0,1.1102230246251565e-16
autumn_internationals_2022,empirical_event,tries,all,1012,0,2.7755575615628914e-17,0.0,0.0,0.0
autumn_internationals_2022,empirical_event,tries,starter,657,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,empirical_event,tries,bench,355,0,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0
autumn_internationals_2022,empirical_event,tries,zero_minute,22,0,2.7755575615628914e-17,5.551115123125783e-17,2.7755575615628914e-17,0.0
autumn_internationals_2022,empirical_event,tries,low_history,91,0,8.326672684688674e-17,0.0,0.0,1.1102230246251565e-16
autumn_internationals_2022,empirical_event,tries,north,483,0,2.7755575615628914e-17,0.0,0.0,0.0
autumn_internationals_2022,empirical_event,tries,south,483,0,5.551115123125783e-17,0.0,0.0,1.1102230246251565e-16
autumn_internationals_2022,empirical_event,tries,position:Back-row,183,0,2.7755575615628914e-17,0.0,0.0,0.0
autumn_internationals_2022,empirical_event,tries,position:Back-three,156,0,0.0,1.1102230246251565e-16,0.0,2.220446049250313e-16
autumn_internationals_2022,empirical_event,tries,position:Centre,119,0,0.0,0.0,0.0,2.220446049250313e-16
autumn_internationals_2022,empirical_event,tries,position:Fly-half,70,0,0.0,0.0,5.551115123125783e-17,1.1102230246251565e-16
autumn_internationals_2022,empirical_event,tries,position:Hooker,82,0,5.551115123125783e-17,0.0,0.0,0.0
autumn_internationals_2022,empirical_event,tries,position:Prop,162,0,4.163336342344337e-17,5.551115123125783e-17,5.551115123125783e-17,0.0
autumn_internationals_2022,empirical_event,tries,position:Scrum-half,83,0,2.7755575615628914e-17,1.1102230246251565e-16,0.0,2.220446049250313e-16
autumn_internationals_2022,empirical_event,tries,position:Second-row,125,0,4.163336342344337e-17,5.551115123125783e-17,0.0,2.220446049250313e-16
autumn_internationals_2022,empirical_event,tries,position:Unknown,32,0,1.3877787807814457e-17,0.0,5.551115123125783e-17,2.220446049250313e-16
autumn_internationals_2022,p3_rolling_native,tries,all,1012,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_rolling_native,tries,starter,657,0,0.0,1.1102230246251565e-16,0.0,2.220446049250313e-16
autumn_internationals_2022,p3_rolling_native,tries,bench,355,0,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,0.0
autumn_internationals_2022,p3_rolling_native,tries,zero_minute,22,0,1.3877787807814457e-17,2.7755575615628914e-17,2.7755575615628914e-17,0.0
autumn_internationals_2022,p3_rolling_native,tries,low_history,91,0,2.7755575615628914e-17,0.0,0.0,0.0
autumn_internationals_2022,p3_rolling_native,tries,north,483,0,2.7755575615628914e-17,0.0,0.0,2.220446049250313e-16
autumn_internationals_2022,p3_rolling_native,tries,south,483,0,2.7755575615628914e-17,0.0,0.0,0.0
autumn_internationals_2022,p3_rolling_native,tries,position:Back-row,183,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_rolling_native,tries,position:Back-three,156,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_rolling_native,tries,position:Centre,119,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_rolling_native,tries,position:Fly-half,70,0,2.7755575615628914e-17,5.551115123125783e-17,5.551115123125783e-17,0.0
autumn_internationals_2022,p3_rolling_native,tries,position:Hooker,82,0,0.0,0.0,0.0,1.1102230246251565e-16
autumn_internationals_2022,p3_rolling_native,tries,position:Prop,162,0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0
autumn_internationals_2022,p3_rolling_native,tries,position:Scrum-half,83,0,8.326672684688674e-17,1.1102230246251565e-16,0.0,2.220446049250313e-16
autumn_internationals_2022,p3_rolling_native,tries,position:Second-row,125,0,4.163336342344337e-17,5.551115123125783e-17,0.0,0.0
autumn_internationals_2022,p3_rolling_native,tries,position:Unknown,32,0,6.938893903907228e-17,2.7755575615628914e-17,5.551115123125783e-17,1.1102230246251565e-16
autumn_internationals_2022,p3_weighted_native,tries,all,1012,0,2.7755575615628914e-17,0.0,0.0,0.0
autumn_internationals_2022,p3_weighted_native,tries,starter,657,0,5.551115123125783e-17,0.0,0.0,0.0
autumn_internationals_2022,p3_weighted_native,tries,bench,355,0,2.7755575615628914e-17,5.551115123125783e-17,5.551115123125783e-17,0.0
autumn_internationals_2022,p3_weighted_native,tries,zero_minute,22,0,4.163336342344337e-17,0.0,2.7755575615628914e-17,0.0
autumn_internationals_2022,p3_weighted_native,tries,low_history,91,0,5.551115123125783e-17,0.0,0.0,0.0
autumn_internationals_2022,p3_weighted_native,tries,north,483,0,5.551115123125783e-17,0.0,0.0,0.0
autumn_internationals_2022,p3_weighted_native,tries,south,483,0,2.7755575615628914e-17,1.1102230246251565e-16,0.0,3.3306690738754696e-16
autumn_internationals_2022,p3_weighted_native,tries,position:Back-row,183,0,0.0,0.0,0.0,1.1102230246251565e-16
autumn_internationals_2022,p3_weighted_native,tries,position:Back-three,156,0,5.551115123125783e-17,0.0,0.0,1.1102230246251565e-16
autumn_internationals_2022,p3_weighted_native,tries,position:Centre,119,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_weighted_native,tries,position:Fly-half,70,0,2.7755575615628914e-17,5.551115123125783e-17,5.551115123125783e-17,0.0
autumn_internationals_2022,p3_weighted_native,tries,position:Hooker,82,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_weighted_native,tries,position:Prop,162,0,5.551115123125783e-17,5.551115123125783e-17,5.551115123125783e-17,0.0
autumn_internationals_2022,p3_weighted_native,tries,position:Scrum-half,83,0,0.0,1.1102230246251565e-16,0.0,2.220446049250313e-16
autumn_internationals_2022,p3_weighted_native,tries,position:Second-row,125,0,2.7755575615628914e-17,0.0,0.0,0.0
autumn_internationals_2022,p3_weighted_native,tries,position:Unknown,32,0,5.551115123125783e-17,2.7755575615628914e-17,5.551115123125783e-17,0.0
autumn_internationals_2022,p3_robust_native,tries,all,1012,0,2.7755575615628914e-17,1.1102230246251565e-16,0.0,2.220446049250313e-16
autumn_internationals_2022,p3_robust_native,tries,starter,657,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_robust_native,tries,bench,355,0,4.163336342344337e-17,5.551115123125783e-17,5.551115123125783e-17,0.0
autumn_internationals_2022,p3_robust_native,tries,zero_minute,22,0,0.0,0.0,2.7755575615628914e-17,2.220446049250313e-16
autumn_internationals_2022,p3_robust_native,tries,low_history,91,0,5.551115123125783e-17,5.551115123125783e-17,0.0,1.1102230246251565e-16
autumn_internationals_2022,p3_robust_native,tries,north,483,0,8.326672684688674e-17,2.220446049250313e-16,0.0,6.661338147750939e-16
autumn_internationals_2022,p3_robust_native,tries,south,483,0,5.551115123125783e-17,0.0,0.0,0.0
autumn_internationals_2022,p3_robust_native,tries,position:Back-row,183,0,0.0,5.551115123125783e-17,0.0,0.0
autumn_internationals_2022,p3_robust_native,tries,position:Back-three,156,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_robust_native,tries,position:Centre,119,0,5.551115123125783e-17,0.0,0.0,2.220446049250313e-16
autumn_internationals_2022,p3_robust_native,tries,position:Fly-half,70,0,0.0,5.551115123125783e-17,5.551115123125783e-17,1.1102230246251565e-16
autumn_internationals_2022,p3_robust_native,tries,position:Hooker,82,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,p3_robust_native,tries,position:Prop,162,0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0
autumn_internationals_2022,p3_robust_native,tries,position:Scrum-half,83,0,8.326672684688674e-17,0.0,0.0,0.0
autumn_internationals_2022,p3_robust_native,tries,position:Second-row,125,0,8.326672684688674e-17,5.551115123125783e-17,0.0,4.440892098500626e-16
autumn_internationals_2022,p3_robust_native,tries,position:Unknown,32,0,6.938893903907228e-17,2.7755575615628914e-17,5.551115123125783e-17,2.220446049250313e-16
autumn_internationals_2022,empirical_event,try_assists,all,1012,0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0
autumn_internationals_2022,empirical_event,try_assists,starter,657,0,2.7755575615628914e-17,0.0,5.551115123125783e-17,0.0
autumn_internationals_2022,empirical_event,try_assists,bench,355,0,2.7755575615628914e-17,8.326672684688674e-17,2.7755575615628914e-17,2.220446049250313e-16
autumn_internationals_2022,empirical_event,try_assists,zero_minute,22,0,0.0,0.0,0.0,0.0
autumn_internationals_2022,empirical_event,try_assists,low_history,91,0,6.938893903907228e-17,0.0,0.0,2.220446049250313e-16
autumn_internationals_2022,empirical_event,try_assists,north,483,0,0.0,0.0,1.1102230246251565e-16,0.0
autumn_internationals_2022,empirical_event,try_assists,south,483,0,2.7755575615628914e-17,5.551115123125783e-17,5.551115123125783e-17,2.220446049250313e-16
autumn_internationals_2022,empirical_event,try_assists,position:Back-row,183,0,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,2.220446049250313e-16
autumn_internationals_2022,empirical_event,try_assists,position:Back-three,156,0,8.326672684688674e-17,0.0,0.0,0.0
autumn_internationals_2022,empirical_event,try_assists,position:Centre,119,0,5.551115123125783e-17,0.0,0.0,0.0
autumn_internationals_2022,empirical_event,try_assists,position:Fly-half,70,0,0.0,0.0,2.220446049250313e-16,3.3306690738754696e-16
autumn_internationals_2022,empirical_event,try_assists,position:Hooker,82,0,1.3877787807814457e-17,5.551115123125783e-17,8.326672684688674e-17,0.0
autumn_internationals_2022,empirical_event,try_assists,position:Prop,162,0,7.45931094670027e-17,5.204170427930421e-17,4.5102810375396984e-17,0.0
autumn_internationals_2022,empirical_event,try_assists,position:Scrum-half,83,0,5.551115123125783e-17,0.0,0.0,0.0
autumn_internationals_2022,empirical_event,try_assists,position:Second-row,125,0,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0
autumn_internationals_2022,empirical_event,try_assists,position:Unknown,32,0,6.938893903907228e-17,5.551115123125783e-17,2.7755575615628914e-17,1.1102230246251565e-16
autumn_internationals_2022,p3_rolling_native,try_assists,all,1012,0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0
autumn_internationals_2022,p3_rolling_native,try_assists,starter,657,0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0
autumn_internationals_2022,p3_rolling_native,try_assists,bench,355,0,1.3877787807814457e-17,0.0,2.7755575615628914e-17,2.220446049250313e-16
autumn_internationals_2022,p3_rolling_native,try_assists,zero_minute,22,0,8.326672684688674e-17,0.0,0.0,0.0
autumn_internationals_2022,p3_rolling_native,try_assists,low_history,91,0,6.938893903907228e-17,5.551115123125783e-17,0.0,0.0
autumn_internationals_2022,p3_rolling_native,try_assists,north,483,0,2.7755575615628914e-17,5.551115123125783e-17,1.1102230246251565e-16,2.220446049250313e-16
autumn_internationals_2022,p3_rolling_native,try_assists,south,483,0,0.0,0.0,5.551115123125783e-17,0.0
autumn_internationals_2022,p3_rolling_native,try_assists,position:Back-row,183,0,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,0.0
autumn_internationals_2022,p3_rolling_native,try_assists,position:Back-three,156,0,5.551115123125783e-17,0.0,0.0,0.0
autumn_internationals_2022,p3_rolling_native,try_assists,position:Centre,119,0,5.551115123125783e-17,0.0,0.0,0.0
autumn_internationals_2022,p3_rolling_native,try_assists,position:Fly-half,70,0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16
autumn_internationals_2022,p3_rolling_native,try_assists,position:Hooker,82,0,4.163336342344337e-17,5.551115123125783e-17,8.326672684688674e-17,0.0
autumn_internationals_2022,p3_rolling_native,try_assists,position:Prop,162,0,6.418476861114186e-17,3.122502256758253e-17,4.5102810375396984e-17,0.0
autumn_internationals_2022,p3_rolling_native,try_assists,position:Scrum-half,83,0,5.551115123125783e-17,0.0,0.0,0.0
autumn_internationals_2022,p3_rolling_native,try_assists,position:Second-row,125,0,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,0.0
