fold,engine,cohort,loss
autumn_internationals_2022,empirical_event,NCR_twelve_teams,0.9350338804795474
autumn_internationals_2022,empirical_event,other_teams,0.9403909058240988
autumn_internationals_2022,p3_robust_native,NCR_twelve_teams,0.8599529445041264
autumn_internationals_2022,p3_robust_native,other_teams,0.7818409723321499
autumn_internationals_2022,p3_rolling_native,NCR_twelve_teams,0.8588734758051667
autumn_internationals_2022,p3_rolling_native,other_teams,0.7828242521822655
autumn_internationals_2022,p3_weighted_native,NCR_twelve_teams,0.8649001249442512
autumn_internationals_2022,p3_weighted_native,other_teams,0.7844011743003977
autumn_internationals_2024,empirical_event,NCR_twelve_teams,0.9575126899522133
autumn_internationals_2024,empirical_event,other_teams,0.9248062807363828
autumn_internationals_2024,p3_robust_native,NCR_twelve_teams,0.9118540685008887
autumn_internationals_2024,p3_robust_native,other_teams,0.9015937794339236
autumn_internationals_2024,p3_rolling_native,NCR_twelve_teams,0.9144526878240796
autumn_internationals_2024,p3_rolling_native,other_teams,0.8994168988842424
autumn_internationals_2024,p3_weighted_native,NCR_twelve_teams,0.9114532645467178
autumn_internationals_2024,p3_weighted_native,other_teams,0.9030486799331522
autumn_internationals_2025,empirical_event,NCR_twelve_teams,0.9148536219492311
autumn_internationals_2025,empirical_event,other_teams,1.0849226209644536
autumn_internationals_2025,p3_robust_native,NCR_twelve_teams,0.8666325399584709
autumn_internationals_2025,p3_robust_native,other_teams,0.9250819906654347
autumn_internationals_2025,p3_rolling_native,NCR_twelve_teams,0.874267760300565
autumn_internationals_2025,p3_rolling_native,other_teams,0.9314951400390573
autumn_internationals_2025,p3_weighted_native,NCR_twelve_teams,0.8704190574856037
autumn_internationals_2025,p3_weighted_native,other_teams,0.9315881810454528
british_irish_lions_2025,empirical_event,NCR_twelve_teams,0.8434038761296179
british_irish_lions_2025,empirical_event,other_teams,0.96923770263031
british_irish_lions_2025,p3_robust_native,NCR_twelve_teams,0.7933116213854331
british_irish_lions_2025,p3_robust_native,other_teams,0.8294637952748463
british_irish_lions_2025,p3_rolling_native,NCR_twelve_teams,0.8094637279817808
british_irish_lions_2025,p3_rolling_native,other_teams,0.8535006623375795
british_irish_lions_2025,p3_weighted_native,NCR_twelve_teams,0.7944879277720936
british_irish_lions_2025,p3_weighted_native,other_teams,0.8327984604220212
nations_championship_2026,empirical_event,NCR_twelve_teams,0.8874775963279636
nations_championship_2026,p3_robust_native,NCR_twelve_teams,0.8288162334447875
nations_championship_2026,p3_rolling_native,NCR_twelve_teams,0.8321955350925261
nations_championship_2026,p3_weighted_native,NCR_twelve_teams,0.8288013642454604
pacific_nations_cup_2022,empirical_event,NCR_twelve_teams,0.9123310161408665
pacific_nations_cup_2022,empirical_event,other_teams,1.0288517518484692
pacific_nations_cup_2022,p3_robust_native,NCR_twelve_teams,0.7819682013771986
pacific_nations_cup_2022,p3_robust_native,other_teams,0.9194859726272525
pacific_nations_cup_2022,p3_rolling_native,NCR_twelve_teams,0.810154849835601
pacific_nations_cup_2022,p3_rolling_native,other_teams,0.9530695497666294
pacific_nations_cup_2022,p3_weighted_native,NCR_twelve_teams,0.8014902995333625
pacific_nations_cup_2022,p3_weighted_native,other_teams,0.932763183122203
pacific_nations_cup_2024,empirical_event,NCR_twelve_teams,1.0978831860742795
pacific_nations_cup_2024,empirical_event,other_teams,0.9458278953596262
pacific_nations_cup_2024,p3_robust_native,NCR_twelve_teams,1.035840485733704
pacific_nations_cup_2024,p3_robust_native,other_teams,0.813116875052808
pacific_nations_cup_2024,p3_rolling_native,NCR_twelve_teams,1.0175452441790234
pacific_nations_cup_2024,p3_rolling_native,other_teams,0.8358402791844268
pacific_nations_cup_2024,p3_weighted_native,NCR_twelve_teams,1.043698631917651
pacific_nations_cup_2024,p3_weighted_native,other_teams,0.8225367660799954
pacific_nations_cup_2025,empirical_event,NCR_twelve_teams,1.001110087066556
pacific_nations_cup_2025,empirical_event,other_teams,0.9651407768826124
pacific_nations_cup_2025,p3_robust_native,NCR_twelve_teams,0.9428792844499552
pacific_nations_cup_2025,p3_robust_native,other_teams,0.8522910542385579
pacific_nations_cup_2025,p3_rolling_native,NCR_twelve_teams,0.9415732339138451
pacific_nations_cup_2025,p3_rolling_native,other_teams,0.8686108616935158
pacific_nations_cup_2025,p3_weighted_native,NCR_twelve_teams,0.945699977716266
pacific_nations_cup_2025,p3_weighted_native,other_teams,0.8614372582993243
rugby_championship_2022,empirical_event,NCR_twelve_teams,1.0261977636457262
rugby_championship_2022,p3_robust_native,NCR_twelve_teams,0.8988238857846219
rugby_championship_2022,p3_rolling_native,NCR_twelve_teams,0.9025275688788365
rugby_championship_2022,p3_weighted_native,NCR_twelve_teams,0.9078019531280368
rugby_championship_2023,empirical_event,NCR_twelve_teams,0.9751263424554226
rugby_championship_2023,p3_robust_native,NCR_twelve_teams,0.8567208838694743
rugby_championship_2023,p3_rolling_native,NCR_twelve_teams,0.8897820918019563
rugby_championship_2023,p3_weighted_native,NCR_twelve_teams,0.8544108784215088
rugby_championship_2024,empirical_event,NCR_twelve_teams,0.9496597423067253
rugby_championship_2024,p3_robust_native,NCR_twelve_teams,0.8621550416926382
rugby_championship_2024,p3_rolling_native,NCR_twelve_teams,0.8665194640403205
rugby_championship_2024,p3_weighted_native,NCR_twelve_teams,0.8673722597753492
rugby_championship_2025,empirical_event,NCR_twelve_teams,0.9831872408989825
rugby_championship_2025,p3_robust_native,NCR_twelve_teams,0.9103447361927016
rugby_championship_2025,p3_rolling_native,NCR_twelve_teams,0.9292157906992291
rugby_championship_2025,p3_weighted_native,NCR_twelve_teams,0.9147486918231644
rugby_world_cup_2023,empirical_event,NCR_twelve_teams,0.9127625076105923
rugby_world_cup_2023,empirical_event,other_teams,0.9054766147498866
rugby_world_cup_2023,p3_robust_native,NCR_twelve_teams,0.8628318597874783
rugby_world_cup_2023,p3_robust_native,other_teams,0.8578959646087564
rugby_world_cup_2023,p3_rolling_native,NCR_twelve_teams,0.8589591416111138
rugby_world_cup_2023,p3_rolling_native,other_teams,0.8515042230265921
rugby_world_cup_2023,p3_weighted_native,NCR_twelve_teams,0.8664192965463191
rugby_world_cup_2023,p3_weighted_native,other_teams,0.8616437451085666
six_nations_2022,empirical_event,NCR_twelve_teams,0.9914659275208967
six_nations_2022,p3_robust_native,NCR_twelve_teams,0.9006747567825649
six_nations_2022,p3_rolling_native,NCR_twelve_teams,0.8933450688056455
six_nations_2022,p3_weighted_native,NCR_twelve_teams,0.907056536738807
six_nations_2023,empirical_event,NCR_twelve_teams,0.8732893304992853
six_nations_2023,p3_robust_native,NCR_twelve_teams,0.8339228600797334
six_nations_2023,p3_rolling_native,NCR_twelve_teams,0.8383587364997136
six_nations_2023,p3_weighted_native,NCR_twelve_teams,0.8421514081168794
six_nations_2024,empirical_event,NCR_twelve_teams,0.9390004947777648
six_nations_2024,p3_robust_native,NCR_twelve_teams,0.8869096969322553
six_nations_2024,p3_rolling_native,NCR_twelve_teams,0.886105253935446
six_nations_2024,p3_weighted_native,NCR_twelve_teams,0.8911489395079005
six_nations_2025,empirical_event,NCR_twelve_teams,0.9247868393950579
six_nations_2025,p3_robust_native,NCR_twelve_teams,0.8584111923540768
six_nations_2025,p3_rolling_native,NCR_twelve_teams,0.8680214308003932
six_nations_2025,p3_weighted_native,NCR_twelve_teams,0.8601605414429506
six_nations_2026,empirical_event,NCR_twelve_teams,0.9043872887702654
six_nations_2026,p3_robust_native,NCR_twelve_teams,0.8755208199970083
six_nations_2026,p3_rolling_native,NCR_twelve_teams,0.8774141225234283
six_nations_2026,p3_weighted_native,NCR_twelve_teams,0.8782098460027647
summer_internationals_2022,empirical_event,NCR_twelve_teams,0.9277018311117717
summer_internationals_2022,empirical_event,other_teams,1.2045490102825034
summer_internationals_2022,p3_robust_native,NCR_twelve_teams,0.8238767372434477
summer_internationals_2022,p3_robust_native,other_teams,1.147540972793804
summer_internationals_2022,p3_rolling_native,NCR_twelve_teams,0.8264260845612297
summer_internationals_2022,p3_rolling_native,other_teams,1.1261507348173496
summer_internationals_2022,p3_weighted_native,NCR_twelve_teams,0.8343073677060934
summer_internationals_2022,p3_weighted_native,other_teams,1.1669803513278165
summer_internationals_2023,empirical_event,NCR_twelve_teams,0.9995843055055709
summer_internationals_2023,empirical_event,other_teams,0.8741733348603332
summer_internationals_2023,p3_robust_native,NCR_twelve_teams,0.9066337526457429
summer_internationals_2023,p3_robust_native,other_teams,0.8151364307946547
summer_internationals_2023,p3_rolling_native,NCR_twelve_teams,0.9157915108249056
summer_internationals_2023,p3_rolling_native,other_teams,0.820849560732887
summer_internationals_2023,p3_weighted_native,NCR_twelve_teams,0.9079879503620409
summer_internationals_2023,p3_weighted_native,other_teams,0.8140185857009337
summer_internationals_2024,empirical_event,NCR_twelve_teams,1.0232282362114362
summer_internationals_2024,empirical_event,other_teams,0.8926869406670022
summer_internationals_2024,p3_robust_native,NCR_twelve_teams,0.9268041687523142
summer_internationals_2024,p3_robust_native,other_teams,0.8439683549588782
summer_internationals_2024,p3_rolling_native,NCR_twelve_teams,0.9292902645829789
summer_internationals_2024,p3_rolling_native,other_teams,0.8481430475488773
summer_internationals_2024,p3_weighted_native,NCR_twelve_teams,0.9331322008178127
summer_internationals_2024,p3_weighted_native,other_teams,0.8464947465460142
summer_internationals_2025,empirical_event,NCR_twelve_teams,0.9858990083287058
summer_internationals_2025,empirical_event,other_teams,0.7880843192749449
summer_internationals_2025,p3_robust_native,NCR_twelve_teams,0.9428616453162063
summer_internationals_2025,p3_robust_native,other_teams,0.7208530616320713
summer_internationals_2025,p3_rolling_native,NCR_twelve_teams,0.9377014900461917
summer_internationals_2025,p3_rolling_native,other_teams,0.7288188800889494
summer_internationals_2025,p3_weighted_native,NCR_twelve_teams,0.9448199427256246
summer_internationals_2025,p3_weighted_native,other_teams,0.7241454942410862
