fold,engine,relative_loss,family,population
autumn_internationals_2022,empirical_event,0.9337126456025079,autumn_internationals,stable_events
autumn_internationals_2022,p3_robust_native,0.8419780622072411,autumn_internationals,stable_events
autumn_internationals_2022,p3_rolling_native,0.8399672503103711,autumn_internationals,stable_events
autumn_internationals_2022,p3_weighted_native,0.8465809058767743,autumn_internationals,stable_events
autumn_internationals_2024,empirical_event,0.958059601811294,autumn_internationals,stable_events
autumn_internationals_2024,p3_robust_native,0.9110510365123633,autumn_internationals,stable_events
autumn_internationals_2024,p3_rolling_native,0.9140593543930627,autumn_internationals,stable_events
autumn_internationals_2024,p3_weighted_native,0.9111495515527552,autumn_internationals,stable_events
autumn_internationals_2025,empirical_event,0.9255459666758222,autumn_internationals,stable_events
autumn_internationals_2025,p3_robust_native,0.880478938858651,autumn_internationals,stable_events
autumn_internationals_2025,p3_rolling_native,0.8879086440728794,autumn_internationals,stable_events
autumn_internationals_2025,p3_weighted_native,0.8846213257982829,autumn_internationals,stable_events
british_irish_lions_2025,empirical_event,0.9417915377825941,british_irish_lions,stable_events
british_irish_lions_2025,p3_robust_native,0.8220787585791348,british_irish_lions,stable_events
british_irish_lions_2025,p3_rolling_native,0.8433046437689606,british_irish_lions,stable_events
british_irish_lions_2025,p3_weighted_native,0.8251162616206373,british_irish_lions,stable_events
nations_championship_2026,empirical_event,0.8846707604078548,nations_championship,stable_events
nations_championship_2026,p3_robust_native,0.8253800627335808,nations_championship,stable_events
nations_championship_2026,p3_rolling_native,0.8290469492687803,nations_championship,stable_events
nations_championship_2026,p3_weighted_native,0.8253739341496897,nations_championship,stable_events
pacific_nations_cup_2024,empirical_event,0.9602904724977476,pacific_nations_cup,stable_events
pacific_nations_cup_2024,p3_robust_native,0.875481992636266,pacific_nations_cup,stable_events
pacific_nations_cup_2024,p3_rolling_native,0.8746599783779966,pacific_nations_cup,stable_events
pacific_nations_cup_2024,p3_weighted_native,0.8819489790366856,pacific_nations_cup,stable_events
pacific_nations_cup_2025,empirical_event,1.0015822614235057,pacific_nations_cup,stable_events
pacific_nations_cup_2025,p3_robust_native,0.9465863077414902,pacific_nations_cup,stable_events
pacific_nations_cup_2025,p3_rolling_native,0.9495393536276014,pacific_nations_cup,stable_events
pacific_nations_cup_2025,p3_weighted_native,0.950195654202041,pacific_nations_cup,stable_events
rugby_championship_2022,empirical_event,1.0159681448125082,rugby_championship,stable_events
rugby_championship_2022,p3_robust_native,0.8879508249686591,rugby_championship,stable_events
