competition,reference,opponent,metric,n_pairs,mean_difference,p025,p975,negative_blocks,positive_blocks,leave_one_min,leave_one_max
ncr,p3_robust_native,empirical_baseline,mae,3,-0.030568405899774238,-0.08706989970512424,0.05245959172110659,2,1,-0.07208240471021465,-0.0023176589970992367
ncr,p3_robust_native,p3_rolling_native,mae,3,-0.033919235813729166,-0.1053820901986473,0.028536617725491098,2,1,-0.0651471625833393,0.0018121913787298993
ncr,p3_robust_native,p3_tournament_frozen_native,mae,3,-0.0339614923459699,-0.1053820901986473,0.07311891240262192,2,1,-0.08750169472026581,0.0017488065803688002
ncr,p3_robust_native,p3_weighted_native,mae,3,0.016736438161086536,-0.03882924640871366,0.07205747267424378,1,2,-0.01092407909549209,0.04451928044598663
six_nations,p3_robust_native,empirical_baseline,mae,10,-0.015938897336076875,-0.13874006562144112,0.0910021476873257,5,5,-0.0487107957138106,0.031124751417873853
six_nations,p3_robust_native,p3_rolling_native,mae,10,-0.046349797315027884,-0.1452789675971417,0.03765702159476516,6,4,-0.06613102708812778,-0.01559265023388069
six_nations,p3_robust_native,p3_tournament_frozen_native,mae,10,0.014745766243527126,-0.11270604071540226,0.1656800374422303,6,4,-0.0467913022158328,0.051332886945285594
six_nations,p3_robust_native,p3_weighted_native,mae,10,-0.07622729936339043,-0.14478611856587914,-0.02059983447301417,8,2,-0.0880519430226114,-0.04837931068760199
ncr,p3_robust_native,empirical_baseline,team_points,3,53.666666666666664,-31.0,191.0,1,2,-15.0,96.0
ncr,p3_robust_native,p3_rolling_native,team_points,3,19.0,-4.0,58.0,1,2,-0.5,30.5
ncr,p3_robust_native,p3_tournament_frozen_native,team_points,3,18.0,-13.0,71.0,2,1,-8.5,33.5
ncr,p3_robust_native,p3_weighted_native,team_points,3,59.0,-9.0,153.0,1,2,12.0,93.0
six_nations,p3_robust_native,empirical_baseline,team_points,10,-11.0,-41.6,15.3,5,5,-17.11111111111111,-0.1111111111111111
six_nations,p3_robust_native,p3_rolling_native,team_points,9,10.0,1.2222222222222223,21.555555555555557,2,6,5.0,12.25
six_nations,p3_robust_native,p3_tournament_frozen_native,team_points,9,9.88888888888889,-25.77777777777778,44.55555555555556,4,5,1.125,20.5
six_nations,p3_robust_native,p3_weighted_native,team_points,10,10.3,-6.0,30.5,3,3,2.111111111111111,13.88888888888889
