cohort,reference,opponent,metric,n_pairs,mean_difference,p025,p975,negative_blocks,positive_blocks,leave_one_min,leave_one_max
all,p3_robust_native,empirical_event,main_normalised_loss,22,-0.07849407520742924,-0.09018197529956956,-0.06682009413621177,22,0,-0.08085729456143742,-0.07616646555725422
all,p3_robust_native,p3_rolling_native,main_normalised_loss,22,-0.007093911786678917,-0.011771408270070928,-0.0030067604093148774,16,6,-0.007780749870659782,-0.0058573738749739075
all,p3_robust_native,p3_weighted_native,main_normalised_loss,22,-0.00479215065233885,-0.006504300032435681,-0.0031677506750358107,19,3,-0.005130348561877118,-0.00431375628291449
bench,p3_robust_native,empirical_event,main_normalised_loss,22,-0.11417530149940344,-0.14406391565599494,-0.08595088831321106,22,0,-0.11887947076563006,-0.10646431199900563
bench,p3_robust_native,p3_rolling_native,main_normalised_loss,22,-0.011195987639189674,-0.015020483785037377,-0.007517001747330925,21,1,-0.011875000306668368,-0.010228778683445707
bench,p3_robust_native,p3_weighted_native,main_normalised_loss,22,-0.008209631098042543,-0.011205443827415302,-0.005348671756093175,19,3,-0.008732340037830818,-0.007352023882847079
low_history,p3_robust_native,empirical_event,main_normalised_loss,19,-0.1148510916539999,-0.15384443937039996,-0.0746504488608166,17,2,-0.12628191067526381,-0.10612405911898536
low_history,p3_robust_native,p3_rolling_native,main_normalised_loss,19,-0.008606698810455747,-0.01810451891202015,0.0016473595280849342,14,5,-0.011689316749330693,-0.006356825117929359
low_history,p3_robust_native,p3_weighted_native,main_normalised_loss,19,-0.011205957725750039,-0.017988255520415525,-0.004035803630786583,16,3,-0.01332746615079072,-0.009682005107581049
north,p3_robust_native,empirical_event,main_normalised_loss,14,-0.06147934691584,-0.08104627267855681,-0.04402262829761772,14,0,-0.06576450739955135,-0.05534850505628115
north,p3_robust_native,p3_rolling_native,main_normalised_loss,14,-0.0006621378341032618,-0.0038878472335063937,0.0029948104065398093,9,5,-0.0017307289684862588,2.6177597605395816e-05
north,p3_robust_native,p3_weighted_native,main_normalised_loss,14,-0.0039865088220182076,-0.005639518985887521,-0.0024413956413940198,13,1,-0.0043187147630126925,-0.003506940639180778
position:Back-row,p3_robust_native,empirical_event,main_normalised_loss,22,-0.040109900396779564,-0.050194099297286625,-0.031117835766329857,22,0,-0.04139605887102952,-0.03760099643186444
position:Back-row,p3_robust_native,p3_rolling_native,main_normalised_loss,22,-0.004268667872723079,-0.009921859298787387,0.0008224543725152857,14,8,-0.0051408221329650354,-0.002723687491798648
position:Back-row,p3_robust_native,p3_weighted_native,main_normalised_loss,22,-0.001928418287651824,-0.0033237953071582594,-0.0005990314235753349,16,6,-0.0021778572713080794,-0.0016176041565493819
position:Back-three,p3_robust_native,empirical_event,main_normalised_loss,22,-0.1373372072561512,-0.1781070380951523,-0.09971511019001635,22,0,-0.1427770867397349,-0.12794544297704288
position:Back-three,p3_robust_native,p3_rolling_native,main_normalised_loss,22,-0.008979946052650374,-0.017832147585447357,-0.0017511350825855539,14,8,-0.010261411067934725,-0.0057381852564333735
position:Back-three,p3_robust_native,p3_weighted_native,main_normalised_loss,22,-0.00846073194840838,-0.012781440563107406,-0.00413650430726834,18,4,-0.009354528899456285,-0.007529977038263176
position:Centre,p3_robust_native,empirical_event,main_normalised_loss,22,-0.06986724021607443,-0.10838705800411493,-0.0392101242455645,20,2,-0.07666543640108703,-0.05493327810157533
position:Centre,p3_robust_native,p3_rolling_native,main_normalised_loss,22,-0.004142848918111311,-0.012592786770675534,0.004569361362870627,15,7,-0.007036732542294073,-0.001515979730769139
position:Centre,p3_robust_native,p3_weighted_native,main_normalised_loss,22,-0.006800613074958258,-0.009278642760574484,-0.00459174273029447,19,3,-0.007207617654049668,-0.0060646009025110996
position:Fly-half,p3_robust_native,empirical_event,main_normalised_loss,22,-0.24015023422354476,-0.35063039004828267,-0.13589140247946138,17,5,-0.2583801622042078,-0.2135259992091235
position:Fly-half,p3_robust_native,p3_rolling_native,main_normalised_loss,22,-0.029999066206679196,-0.078101541220344,0.010488981118297193,13,9,-0.03627763207659795,-0.013215273701606573
position:Fly-half,p3_robust_native,p3_weighted_native,main_normalised_loss,22,-0.009792957553764909,-0.02192297498935648,0.0006739235611949655,15,7,-0.01196065378308473,-0.005870302838537009
position:Hooker,p3_robust_native,empirical_event,main_normalised_loss,22,-0.01735392407320643,-0.02400680112996179,-0.010979570544574102,19,3,-0.01858288571122057,-0.0155893040704594
position:Hooker,p3_robust_native,p3_rolling_native,main_normalised_loss,22,-0.002872948804603446,-0.005286397204216893,-0.000499366285697228,14,8,-0.003405462210354194,-0.002418574949050443
position:Hooker,p3_robust_native,p3_weighted_native,main_normalised_loss,22,-0.0028765963159359835,-0.004732081262943136,-0.0010288915779264214,16,6,-0.0032894805613371547,-0.0025543716040927174
position:Prop,p3_robust_native,empirical_event,main_normalised_loss,22,-0.038014081691858735,-0.06419823852501466,-0.02017486753476535,22,0,-0.03973543494928567,-0.02751664087716854
position:Prop,p3_robust_native,p3_rolling_native,main_normalised_loss,22,-0.002910610424010519,-0.00490341273330538,-0.0012170715398857335,15,7,-0.0032116020306423706,-0.002234226788306479
position:Prop,p3_robust_native,p3_weighted_native,main_normalised_loss,22,-0.0026280983668265897,-0.004269862709441032,-0.0013645603874916283,17,5,-0.002800738175931852,-0.002007232308172986
position:Scrum-half,p3_robust_native,empirical_event,main_normalised_loss,22,-0.06541703164149468,-0.08929037735833312,-0.04433669770018184,21,1,-0.06930108673138233,-0.059211221054206654
position:Scrum-half,p3_robust_native,p3_rolling_native,main_normalised_loss,22,-0.013227383606142128,-0.022208577375668656,-0.005513117706197677,17,5,-0.014537074628302185,-0.01030476420297956
position:Scrum-half,p3_robust_native,p3_weighted_native,main_normalised_loss,22,-0.00929611717342783,-0.017442752525735756,-0.0025077657990328606,15,7,-0.010391396713991882,-0.0065441567583681744
position:Second-row,p3_robust_native,empirical_event,main_normalised_loss,22,-0.040202428560708235,-0.06320538233327017,-0.02410459543594625,20,2,-0.04269779687437344,-0.031061222749429268
position:Second-row,p3_robust_native,p3_rolling_native,main_normalised_loss,22,-0.00347987880575448,-0.008045611920975313,0.000997337452732289,14,8,-0.004325123293984754,-0.0024742770176744526
position:Second-row,p3_robust_native,p3_weighted_native,main_normalised_loss,22,-0.00031116547691553443,-0.002623159116225212,0.0024269470702166,13,9,-0.0013201531317219256,0.00023731666545904565
position:Unknown,p3_robust_native,empirical_event,main_normalised_loss,20,-0.16494180825840107,-0.2620496016830781,-0.08656091391334579,18,2,-0.17454607387252122,-0.1312487783716213
position:Unknown,p3_robust_native,p3_rolling_native,main_normalised_loss,20,-0.014713715092566521,-0.020814621778635595,-0.009029418301888244,18,2,-0.01584037401140967,-0.013458333225178134
position:Unknown,p3_robust_native,p3_weighted_native,main_normalised_loss,20,-0.012988552540281837,-0.018088542123196244,-0.008344705839978268,18,2,-0.01400112011954785,-0.011108687969344316
south,p3_robust_native,empirical_event,main_normalised_loss,17,-0.07993558023981855,-0.09716933608877663,-0.06409505727100663,17,0,-0.08360110522462422,-0.07534106570082846
south,p3_robust_native,p3_rolling_native,main_normalised_loss,17,-0.0070044227523188155,-0.012862631272567142,-0.0014986355393561148,14,3,-0.008585651771506296,-0.0053758736785584835
south,p3_robust_native,p3_weighted_native,main_normalised_loss,17,-0.004685368120291045,-0.0074101410884023396,-0.002318892364415871,14,3,-0.0051495710088587665,-0.003758072493049061
starter,p3_robust_native,empirical_event,main_normalised_loss,22,-0.05941254026944771,-0.07498460291406683,-0.04516636104138429,21,1,-0.062400504491129404,-0.05517149639577572
starter,p3_robust_native,p3_rolling_native,main_normalised_loss,22,-0.0049005865936607215,-0.011413370913416947,0.0008583319845309209,13,9,-0.006175363105726269,-0.003162127515396949
