family,engine,relative_loss
autumn_internationals,empirical_event,0.9404279452167573
autumn_internationals,p3_robust_native,0.8798882267980841
autumn_internationals,p3_rolling_native,0.8827990025162421
autumn_internationals,p3_weighted_native,0.8827683703902283
british_irish_lions,empirical_event,0.9440709373301714
british_irish_lions,p3_robust_native,0.8222333604969636
british_irish_lions,p3_rolling_native,0.8446932754664197
british_irish_lions,p3_weighted_native,0.8251363538920357
nations_championship,empirical_event,0.8874775963279636
nations_championship,p3_robust_native,0.8288162334447875
nations_championship,p3_rolling_native,0.8321955350925261
nations_championship,p3_weighted_native,0.8288013642454604
pacific_nations_cup,empirical_event,0.9930209407695837
pacific_nations_cup,p3_robust_native,0.888148679204131
pacific_nations_cup,p3_rolling_native,0.9047994400345353
pacific_nations_cup,p3_weighted_native,0.8983274907171462
rugby_championship,empirical_event,0.983542772326714
rugby_championship,p3_robust_native,0.882011136884859
rugby_championship,p3_rolling_native,0.8970112288550856
rugby_championship,p3_weighted_native,0.8860834457870148
rugby_world_cup,empirical_event,0.910775445921309
rugby_world_cup,p3_robust_native,0.8614857065569178
rugby_world_cup,p3_rolling_native,0.8569259819971533
rugby_world_cup,p3_weighted_native,0.8651168734269321
six_nations,empirical_event,0.926585976192654
six_nations,p3_robust_native,0.8710878652291276
six_nations,p3_rolling_native,0.8726489225129253
six_nations,p3_weighted_native,0.8757454543618606
summer_internationals,empirical_event,0.9702016896544683
summer_internationals,p3_robust_native,0.8908947049181607
summer_internationals,p3_rolling_native,0.8929687807441422
summer_internationals,p3_weighted_native,0.8959331990926436
