target,reference,opponent,metric,n_pairs,mean_difference,p025,p975,negative_blocks,positive_blocks,leave_one_min,leave_one_max
bad_passes,p3_robust_native,empirical_event,relative_loss,22,-0.05996202663131118,-0.07597767991009968,-0.045217431545240355,22,0,-0.06256154260345681,-0.05564175448786969
bad_passes,p3_robust_native,p3_rolling_native,relative_loss,22,-0.0033611047598734,-0.005540893767525112,-0.0012915642040405094,16,6,-0.0037420953500461834,-0.002840758547704724
bad_passes,p3_robust_native,p3_weighted_native,relative_loss,22,-0.0023212735154839763,-0.004277938013232452,-0.0004308610447762716,15,7,-0.002767069454584122,-0.0017971634472389402
clean_breaks,p3_robust_native,empirical_event,relative_loss,22,-0.03455264570120674,-0.052163199581175025,-0.018697082893640547,19,3,-0.0373279305553987,-0.02980272297603359
clean_breaks,p3_robust_native,p3_rolling_native,relative_loss,22,-0.0019237858247627743,-0.006272728131711419,0.0026567664997079695,13,9,-0.0029746482039867722,-0.0011301500113106023
clean_breaks,p3_robust_native,p3_weighted_native,relative_loss,22,-0.006718850850495576,-0.011477022060287804,-0.002475853601867168,16,6,-0.007549721257407488,-0.005309948464885443
conversion_goals,p3_robust_native,empirical_event,relative_loss,22,-0.025711656770903823,-0.03707343395772374,-0.014555571837090655,18,4,-0.027993585752994193,-0.022976075891722538
conversion_goals,p3_robust_native,p3_rolling_native,relative_loss,22,0.01410014309154675,0.003783284247768252,0.025085040978872212,7,15,0.011434109340130243,0.015994236059950942
conversion_goals,p3_robust_native,p3_weighted_native,relative_loss,22,-0.000978328126159056,-0.005908534097095107,0.004453207620783556,12,10,-0.002715317686610121,-0.00010214173826702162
defenders_beaten,p3_robust_native,empirical_event,relative_loss,22,-0.061675068802583284,-0.09214331643978754,-0.03646829904693263,22,0,-0.06461085930773355,-0.05221361181820764
defenders_beaten,p3_robust_native,p3_rolling_native,relative_loss,22,-0.004261529078079035,-0.009877647671134955,0.0007737413173624286,14,8,-0.00523929171008939,-0.0022461322711238283
defenders_beaten,p3_robust_native,p3_weighted_native,relative_loss,22,-0.008801659513898785,-0.014653771255895032,-0.004243181551426352,17,5,-0.009530798355325231,-0.006535701893873155
dominant_tackles,p3_robust_native,empirical_event,relative_loss,22,-0.05631007303448723,-0.0773788867167903,-0.037864345543425604,22,0,-0.05897787645072733,-0.04916309336221449
dominant_tackles,p3_robust_native,p3_rolling_native,relative_loss,22,-0.0021168007985555544,-0.00481257141600206,0.00014868689176262214,12,10,-0.0024159801998121034,-0.0011657306942964958
dominant_tackles,p3_robust_native,p3_weighted_native,relative_loss,22,-0.0021168007985555544,-0.00481257141600206,0.00014868689176262214,12,10,-0.0024159801998121034,-0.0011657306942964958
drop_goal_missed,p3_robust_native,empirical_event,relative_loss,22,-0.0481185547451325,-0.12829240639637068,0.023053299281845838,11,11,-0.05989809809357527,-0.028223981773486638
drop_goal_missed,p3_robust_native,p3_rolling_native,relative_loss,22,0.00021659547429068876,-0.02031323968024331,0.017895084045095603,9,13,-0.0025044955672405226,0.005774399085215222
drop_goal_missed,p3_robust_native,p3_weighted_native,relative_loss,22,-0.00253415097735907,-0.007201516024828287,0.0013431167142177072,12,10,-0.003168461875507979,-0.0007962205543642353
drop_goals_converted,p3_robust_native,empirical_event,relative_loss,22,-0.22891260592855928,-0.38999552807945675,-0.0730683048539154,13,9,-0.2539560294648256,-0.18940430307289838
drop_goals_converted,p3_robust_native,p3_rolling_native,relative_loss,22,-0.05708279357153933,-0.11632951851819803,-0.0005224853761808305,13,9,-0.06753820555678622,-0.04332009422572469
drop_goals_converted,p3_robust_native,p3_weighted_native,relative_loss,22,-0.00019946797958206812,-0.005574698311571029,0.005635977591986699,11,11,-0.00200463597140976,0.0008092606139156479
fifty_22,p3_robust_native,empirical_event,relative_loss,2,-0.15517361668657598,-0.31291009408456016,0.0025628607114082103,1,1,-0.31291009408456016,0.0025628607114082103
