engine,target,observed,predicted_observed,training_supported,common_observed,fold
empirical_event,minutes,1017,1017,True,1017,autumn_internationals_2022
p3_rolling_native,minutes,1017,1017,True,1017,autumn_internationals_2022
p3_weighted_native,minutes,1017,1017,True,1017,autumn_internationals_2022
p3_robust_native,minutes,1017,1017,True,1017,autumn_internationals_2022
empirical_event,tries,1012,1012,True,1012,autumn_internationals_2022
p3_rolling_native,tries,1012,1012,True,1012,autumn_internationals_2022
p3_weighted_native,tries,1012,1012,True,1012,autumn_internationals_2022
p3_robust_native,tries,1012,1012,True,1012,autumn_internationals_2022
empirical_event,try_assists,1012,1012,True,1012,autumn_internationals_2022
p3_rolling_native,try_assists,1012,1012,True,1012,autumn_internationals_2022
p3_weighted_native,try_assists,1012,1012,True,1012,autumn_internationals_2022
p3_robust_native,try_assists,1012,1012,True,1012,autumn_internationals_2022
empirical_event,conversion_goals,1012,1012,True,1012,autumn_internationals_2022
p3_rolling_native,conversion_goals,1012,1012,True,1012,autumn_internationals_2022
p3_weighted_native,conversion_goals,1012,1012,True,1012,autumn_internationals_2022
p3_robust_native,conversion_goals,1012,1012,True,1012,autumn_internationals_2022
empirical_event,missed_conversion_goals,1012,1012,True,1012,autumn_internationals_2022
p3_rolling_native,missed_conversion_goals,1012,1012,True,1012,autumn_internationals_2022
p3_weighted_native,missed_conversion_goals,1012,1012,True,1012,autumn_internationals_2022
p3_robust_native,missed_conversion_goals,1012,1012,True,1012,autumn_internationals_2022
empirical_event,penalty_goals,1012,1012,True,1012,autumn_internationals_2022
p3_rolling_native,penalty_goals,1012,1012,True,1012,autumn_internationals_2022
p3_weighted_native,penalty_goals,1012,1012,True,1012,autumn_internationals_2022
p3_robust_native,penalty_goals,1012,1012,True,1012,autumn_internationals_2022
empirical_event,missed_penalty_goals,1012,1012,True,1012,autumn_internationals_2022
p3_rolling_native,missed_penalty_goals,1012,1012,True,1012,autumn_internationals_2022
p3_weighted_native,missed_penalty_goals,1012,1012,True,1012,autumn_internationals_2022
p3_robust_native,missed_penalty_goals,1012,1012,True,1012,autumn_internationals_2022
empirical_event,drop_goals_converted,1012,1012,True,1012,autumn_internationals_2022
p3_rolling_native,drop_goals_converted,1012,1012,True,1012,autumn_internationals_2022
p3_weighted_native,drop_goals_converted,1012,1012,True,1012,autumn_internationals_2022
p3_robust_native,drop_goals_converted,1012,1012,True,1012,autumn_internationals_2022
empirical_event,drop_goal_missed,1012,1012,True,1012,autumn_internationals_2022
p3_rolling_native,drop_goal_missed,1012,1012,True,1012,autumn_internationals_2022
p3_weighted_native,drop_goal_missed,1012,1012,True,1012,autumn_internationals_2022
p3_robust_native,drop_goal_missed,1012,1012,True,1012,autumn_internationals_2022
empirical_event,defenders_beaten,1012,1012,True,1012,autumn_internationals_2022
p3_rolling_native,defenders_beaten,1012,1012,True,1012,autumn_internationals_2022
p3_weighted_native,defenders_beaten,1012,1012,True,1012,autumn_internationals_2022
p3_robust_native,defenders_beaten,1012,1012,True,1012,autumn_internationals_2022
empirical_event,clean_breaks,1012,1012,True,1012,autumn_internationals_2022
p3_rolling_native,clean_breaks,1012,1012,True,1012,autumn_internationals_2022
p3_weighted_native,clean_breaks,1012,1012,True,1012,autumn_internationals_2022
p3_robust_native,clean_breaks,1012,1012,True,1012,autumn_internationals_2022
empirical_event,offload,1012,1012,True,1012,autumn_internationals_2022
p3_rolling_native,offload,1012,1012,True,1012,autumn_internationals_2022
p3_weighted_native,offload,1012,1012,True,1012,autumn_internationals_2022
p3_robust_native,offload,1012,1012,True,1012,autumn_internationals_2022
empirical_event,runs,1012,1012,True,1012,autumn_internationals_2022
p3_rolling_native,runs,1012,1012,True,1012,autumn_internationals_2022
p3_weighted_native,runs,1012,1012,True,1012,autumn_internationals_2022
p3_robust_native,runs,1012,1012,True,1012,autumn_internationals_2022
empirical_event,tackles,1012,1012,True,1012,autumn_internationals_2022
p3_rolling_native,tackles,1012,1012,True,1012,autumn_internationals_2022
p3_weighted_native,tackles,1012,1012,True,1012,autumn_internationals_2022
p3_robust_native,tackles,1012,1012,True,1012,autumn_internationals_2022
empirical_event,missed_tackles,1012,1012,True,1012,autumn_internationals_2022
p3_rolling_native,missed_tackles,1012,1012,True,1012,autumn_internationals_2022
p3_weighted_native,missed_tackles,1012,1012,True,1012,autumn_internationals_2022
p3_robust_native,missed_tackles,1012,1012,True,1012,autumn_internationals_2022
empirical_event,rucks_won,1012,1012,True,1012,autumn_internationals_2022
p3_rolling_native,rucks_won,1012,1012,True,1012,autumn_internationals_2022
p3_weighted_native,rucks_won,1012,1012,True,1012,autumn_internationals_2022
p3_robust_native,rucks_won,1012,1012,True,1012,autumn_internationals_2022
empirical_event,rucks_lost,1012,1012,True,1012,autumn_internationals_2022
p3_rolling_native,rucks_lost,1012,1012,True,1012,autumn_internationals_2022
p3_weighted_native,rucks_lost,1012,1012,True,1012,autumn_internationals_2022
p3_robust_native,rucks_lost,1012,1012,True,1012,autumn_internationals_2022
empirical_event,passes,1012,1012,True,1012,autumn_internationals_2022
p3_rolling_native,passes,1012,1012,True,1012,autumn_internationals_2022
p3_weighted_native,passes,1012,1012,True,1012,autumn_internationals_2022
p3_robust_native,passes,1012,1012,True,1012,autumn_internationals_2022
empirical_event,bad_passes,1012,1012,True,1012,autumn_internationals_2022
p3_rolling_native,bad_passes,1012,1012,True,1012,autumn_internationals_2022
