id,name,team,hemi,pos,value,sel,status,opp,home,n_hist,rp_min,wr_margin,weather_att,per80,exp_min,fantasy_id,expected_points,starter_exp,supersub_exp,in_squad,is_sub,is_capt
140494,Jiuta Wainiqolo,Fiji,2,Back Three,5.5,18.4,P,England,True,19,3482,-2.8,1.0,24.56,74.5,140494,19.6995,19.6995,9.84975,True,False,False
229307,Cam Roigard,New Zealand,2,Scrum Half,8.0,35.2,P,Italy,True,18,2081,33.5,0.962,35.44,65.5,229307,22.2635,22.2635,11.13175,True,False,False
123016,Jac Morgan,Wales,1,Loose Forward,7.0,17.3,P,Argentina,False,32,2339,-20.2,1.0,25.36,73.3,123016,25.585,25.585,12.7925,True,False,False
250067,Fabien Brau-Boirie,France,1,Centre,6.0,3.8,P,Australia,False,3,2419,4.9,1.0,24.18,70.7,250067,19.89775,19.89775,9.948875,True,False,False
190344,Matthieu Jalibert,France,1,Fly Half,8.0,21.8,P,Australia,False,35,4126,4.9,1.0,30.63,75.5,190344,23.9945,23.9945,11.99725,True,False,False
146220,Will Jordan,New Zealand,2,Back Three,8.5,28.9,P,Italy,True,55,2032,33.5,0.962,28.11,78.6,146220,23.2805,23.2805,11.64025,True,False,False
187820,Rory Darge,Scotland,1,Loose Forward,6.5,4.7,P,South Africa,False,40,3091,-25.7,1.0,23.93,73.3,187820,25.46825,25.46825,12.734125,True,False,False
179379,Ardie Savea,New Zealand,2,Loose Forward,8.5,50.2,P,Italy,True,63,3403,33.5,0.962,25.77,78.9,179379,26.265,26.265,13.1325,True,False,True
236602,Tommaso di Bartolomeo,Italy,1,Hooker,3.5,3.8,P,New Zealand,False,11,1743,-33.5,0.962,24.53,43.9,236602,21.2465,21.2465,10.62325,True,False,False
196773,Pierre Schoeman,Scotland,1,Prop,6.0,5.7,P,South Africa,False,55,3017,-25.7,1.0,19.15,59.6,196773,16.6315,16.6315,8.31575,True,False,False
110910,Jesse Kriel,South Africa,2,Centre,7.0,7.8,P,Scotland,True,44,2850,25.7,1.0,18.62,79.3,110910,17.2875,17.2875,8.64375,True,False,False
135572,Jack Cornelsen,Japan,2,Lock,5.5,4.8,P,Ireland,True,30,2948,-19.8,0.998,14.96,77.5,135572,21.3445,21.3445,10.67225,True,False,False
233260,Shuhei Takeuchi,Japan,2,Prop,4.0,1.7,P,Ireland,True,25,1749,-19.8,0.998,17.68,60.0,233260,15.881,15.881,7.9405,True,False,False
103703,Harry Hockings,Japan,2,Lock,4.5,1.3,P,Ireland,True,3,2967,-19.8,0.998,17.37,59.0,103703,23.0795,23.0795,11.53975,True,False,False
136875,Gianmarco Lucchesi,Italy,1,Hooker,3.5,0.4,B,New Zealand,False,32,0,-33.5,0.962,22.73,27.6,136875,11.02125,11.02125,33.06375,True,True,False
204878,Edwill van der Merwe,South Africa,2,Back Three,5.0,0.6,P,Scotland,True,5,3165,25.7,1.0,21.13,61.6,204878,19.33975,19.33975,9.669875,True,False,False
