id,name,team,hemi,pos,value,sel,status,opp,home,n_hist,rp_min,wr_margin,weather_att,per80,exp_min,fantasy_id,expected_points,starter_exp,supersub_exp
140494,Jiuta Wainiqolo,Fiji,2,Back Three,5.5,18.4,P,England,True,19,3482,-2.8,1.0,24.56,74.5,140494,19.6995,19.6995,9.84975
229307,Cam Roigard,New Zealand,2,Scrum Half,8.0,35.2,P,Italy,True,18,2081,33.5,0.962,35.44,65.5,229307,22.2635,22.2635,11.13175
146480,Sione Tuipulotu,Scotland,1,Centre,7.5,9.3,P,South Africa,False,44,3873,-25.7,1.0,14.65,76.1,146480,12.5905,12.5905,6.29525
123016,Jac Morgan,Wales,1,Loose Forward,7.0,17.3,P,Argentina,False,32,2339,-20.2,1.0,25.36,73.3,123016,25.585,25.585,12.7925
244532,Theo Attissogbe,France,1,Back Three,6.5,8.2,P,Australia,False,14,3569,4.9,1.0,23.45,80.0,244532,18.627,18.627,9.3135
180778,Kyle Rowe,Scotland,1,Back Three,5.5,1.3,P,South Africa,False,20,2907,-25.7,1.0,14.91,76.0,180778,13.89825,13.89825,6.949125
250067,Fabien Brau-Boirie,France,1,Centre,6.0,3.8,P,Australia,False,3,2419,4.9,1.0,24.18,70.7,250067,19.89775,19.89775,9.948875
190344,Matthieu Jalibert,France,1,Fly Half,8.0,21.8,P,Australia,False,35,4126,4.9,1.0,30.63,75.5,190344,23.9945,23.9945,11.99725
162344,Julian Montoya,Argentina,2,Hooker,7.5,9.0,P,Wales,True,60,3073,20.2,1.0,17.23,67.2,162344,16.136,16.136,8.068
180443,Damian Willemse,South Africa,2,Back Three,5.5,8.1,P,Scotland,True,41,2695,25.7,1.0,18.36,74.0,180443,16.189,16.189,8.0945
142873,Ben Gunter,Japan,2,Loose Forward,4.5,10.7,P,Ireland,True,19,2235,-19.8,0.998,19.9,69.9,142873,21.55525,21.55525,10.777625
146220,Will Jordan,New Zealand,2,Back Three,8.5,28.9,P,Italy,True,55,2032,33.5,0.962,28.11,78.6,146220,23.2805,23.2805,11.64025
245050,Max Jorgensen,Australia,2,Back Three,7.5,13.4,P,France,True,21,2330,-4.9,1.0,17.4,78.8,245050,15.42625,15.42625,7.713125
229505,Lucio Cinti,Argentina,2,Centre,6.0,1.4,P,Wales,True,42,2494,20.2,1.0,17.67,72.6,229505,13.87025,13.87025,6.935125
187820,Rory Darge,Scotland,1,Loose Forward,6.5,4.7,P,South Africa,False,40,3091,-25.7,1.0,23.93,73.3,187820,25.46825,25.46825,12.734125
104346,Tevita Ikanivere,Fiji,2,Hooker,5.0,3.7,P,England,True,32,2226,-2.8,1.0,20.2,65.3,104346,17.64225,17.64225,8.821125
207343,Grant Williams,South Africa,2,Scrum Half,7.0,5.1,B,Scotland,True,29,1629,25.7,1.0,28.85,19.8,207343,7.14775,7.14775,21.44325
105748,Jack Conan,Ireland,1,Loose Forward,7.0,12.8,P,Japan,False,49,2728,19.8,0.998,21.55,71.1,105748,21.218,21.218,10.609
109816,Rory Hutchinson,Scotland,1,Centre,4.0,1.1,P,South Africa,False,8,3342,-25.7,1.0,15.01,74.3,109816,12.581,12.581,6.2905
239638,Takuro Matsunaga,Japan,2,Back Three,3.5,1.4,P,Ireland,True,6,3040,-19.8,0.998,9.72,65.2,239638,11.351,11.351,5.6755
243815,Marko Gazzotti,France,1,Loose Forward,4.0,3.3,P,Australia,False,2,2538,4.9,1.0,18.31,80.0,243815,18.15275,18.15275,9.076375
179379,Ardie Savea,New Zealand,2,Loose Forward,8.5,50.2,P,Italy,True,63,3403,33.5,0.962,25.77,78.9,179379,26.265,26.265,13.1325
214439,Rob Valetini,Australia,2,Loose Forward,6.5,8.0,P,France,True,62,3062,-4.9,1.0,15.19,70.4,214439,19.4375,19.4375,9.71875
