fantasy_id,fixture_id,player_id,player_name,team,opponent,position,started,engine,expected_points,p10,median,p90,p_play,expected_minutes,career_matches
179379,291587,120396,Ardie Savea,New Zealand,Italy,Back-row,True,p3_event_50,26.265,14.0,25.0,41.0,,71.82739747865787,0.0
143492,291587,130452,Damian McKenzie,New Zealand,Italy,Fly-half,True,p3_event_50,25.587,12.0,24.0,41.0,,73.5883941157193,0.0
123016,291583,203070,Jac Morgan,Wales,Argentina,Back-row,True,p3_event_50,25.585,14.0,24.0,38.0,,69.97499437651416,0.0
187820,291585,180222,Rory Darge,Scotland,South Africa,Back-row,True,p3_event_50,25.46825,13.0,24.0,39.0,,68.84090749495914,0.0
193134,291588,136878,Nick Timoney,Ireland,Japan,Back-row,True,p3_event_50,24.11125,12.0,23.0,38.0,,71.21488327767591,0.0
214124,291583,154938,James Botham,Wales,Argentina,Back-row,True,p3_event_50,23.99525,12.0,23.0,37.0,,68.09755260964863,0.0
190344,291586,169662,Matthieu Jalibert,France,Australia,Fly-half,True,p3_event_50,23.9945,10.0,23.0,40.0,,70.70028478409091,0.0
237233,291587,231840,Ross Vintcent,Italy,New Zealand,Back-row,True,p3_event_50,23.70325,12.0,23.0,36.0,,67.19010349090192,0.0
146220,291587,168972,Will Jordan,New Zealand,Italy,Back-three,True,p3_event_50,23.2805,8.0,22.0,41.0,,74.30625096931269,0.0
103703,291588,149754,Harry Hockings,Japan,Ireland,Second-row,True,p3_event_50,23.0795,12.0,22.0,36.0,,71.59389635016268,0.0
129616,291586,154110,Fraser McReight,Australia,France,Back-row,True,p3_event_50,23.06775,12.0,22.0,36.0,,71.64469604487223,0.0
114362,291585,210300,Evan Roos,South Africa,Scotland,Back-row,True,p3_event_50,22.81775,10.0,21.0,38.0,,70.17775143367025,0.0
159599,291585,161856,Matt Fagerson,Scotland,South Africa,Back-row,True,p3_event_50,22.61575,12.0,21.0,35.0,,70.26863918549248,0.0
241018,291588,fantasy_241018,Sean Jansen,Ireland,Japan,Back-row,True,p3_event_50,22.56275,10.0,21.0,36.0,,67.15716016817174,0.0
241794,291587,337404,Wallace Sititi,New Zealand,Italy,Back-row,True,p3_event_50,22.522,11.0,21.0,36.0,,66.01721095149679,0.0
244767,291586,242478,Oscar Jegou,France,Australia,Back-row,True,p3_event_50,22.51525,11.0,21.0,36.0,,69.04698046639871,0.0
235266,291583,226080,Joaquin Oviedo,Argentina,Wales,Back-row,True,p3_event_50,22.34825,11.0,21.0,35.0,,67.66203715706729,0.0
229307,291587,225594,Cam Roigard,New Zealand,Italy,Scrum-half,True,p3_event_50,22.2635,8.0,20.0,39.0,,64.03372944401066,0.0
244170,291586,238116,Lenni Nouchi,France,Australia,Back-row,True,p3_event_50,22.209,12.0,21.0,34.0,,67.30746895118826,0.0
113000,291585,124308,Jack Dempsey,Scotland,South Africa,Back-row,True,p3_event_50,21.753,11.0,21.0,33.0,,68.3539250481791,0.0
209612,291584,142404,Ben Earl,England,Fiji,Back-row,True,p3_event_50,21.707,11.0,21.0,34.0,,70.97460890678107,0.0
142873,291588,157710,Ben Gunter,Japan,Ireland,Back-row,True,p3_event_50,21.55525,10.0,21.0,34.0,,67.89510147610663,0.0
171003,291585,118428,Pieter-Steph du Toit,South Africa,Scotland,Back-row,True,p3_event_50,21.5065,9.0,20.0,35.0,,71.46385054703964,0.0
202239,291583,169434,Tomas Albornoz,Argentina,Wales,Fly-half,True,p3_event_50,21.40775,9.0,20.0,36.0,,68.64054442597103,0.0
197335,291587,220140,Lorenzo Cannone,Italy,New Zealand,Back-row,True,p3_event_50,21.349,11.0,20.0,33.0,,67.2745084045,0.0
135572,291588,142194,Jack Cornelsen,Japan,Ireland,Second-row,True,p3_event_50,21.3445,10.0,20.0,34.0,,71.45959743755498,0.0
238928,291588,242406,Warner Dearns,Japan,Ireland,Second-row,True,p3_event_50,21.308,10.0,20.0,34.0,,69.76483145001694,0.0
236602,291587,231714,Tommaso di Bartolomeo,Italy,New Zealand,Hooker,True,p3_event_50,21.2465,11.0,20.0,33.0,,57.974544437975865,0.0
105748,291588,117936,Jack Conan,Ireland,Japan,Back-row,True,p3_event_50,21.218,10.0,20.0,35.0,,65.85787811602346,0.0
