slate,engine,rows,max_error
six_nations_2025_r1,p3_rolling_native,138,3.552713678800501e-15
six_nations_2025_r1,p3_weighted_native,138,7.105427357601002e-15
six_nations_2025_r1,p3_robust_native,138,3.552713678800501e-15
six_nations_2025_r2,p3_rolling_native,138,7.105427357601002e-15
six_nations_2025_r2,p3_weighted_native,138,7.105427357601002e-15
six_nations_2025_r2,p3_robust_native,138,1.0658141036401503e-14
six_nations_2025_r3,p3_rolling_native,138,3.552713678800501e-15
six_nations_2025_r3,p3_weighted_native,138,3.552713678800501e-15
six_nations_2025_r3,p3_robust_native,138,3.552713678800501e-15
six_nations_2025_r4,p3_rolling_native,138,7.105427357601002e-15
six_nations_2025_r4,p3_weighted_native,138,3.552713678800501e-15
six_nations_2025_r4,p3_robust_native,138,3.552713678800501e-15
six_nations_2025_r5,p3_rolling_native,138,3.552713678800501e-15
six_nations_2025_r5,p3_weighted_native,138,7.105427357601002e-15
six_nations_2025_r5,p3_robust_native,138,7.105427357601002e-15
six_nations_2026_r1,p3_rolling_native,138,3.552713678800501e-15
six_nations_2026_r1,p3_weighted_native,138,3.552713678800501e-15
six_nations_2026_r1,p3_robust_native,138,3.552713678800501e-15
six_nations_2026_r2,p3_rolling_native,138,7.105427357601002e-15
six_nations_2026_r2,p3_weighted_native,138,7.105427357601002e-15
six_nations_2026_r2,p3_robust_native,138,7.105427357601002e-15
six_nations_2026_r3,p3_rolling_native,138,3.552713678800501e-15
six_nations_2026_r3,p3_weighted_native,138,7.105427357601002e-15
six_nations_2026_r3,p3_robust_native,138,7.105427357601002e-15
six_nations_2026_r4,p3_rolling_native,138,3.552713678800501e-15
six_nations_2026_r4,p3_weighted_native,138,3.552713678800501e-15
six_nations_2026_r4,p3_robust_native,138,7.105427357601002e-15
six_nations_2026_r5,p3_rolling_native,138,7.105427357601002e-15
six_nations_2026_r5,p3_weighted_native,138,3.552713678800501e-15
six_nations_2026_r5,p3_robust_native,138,7.105427357601002e-15
ncr_2026_r1,p3_rolling_native,227,3.552713678800501e-15
ncr_2026_r1,p3_weighted_native,227,3.552713678800501e-15
ncr_2026_r1,p3_robust_native,227,3.552713678800501e-15
ncr_2026_r2,p3_rolling_native,262,3.552713678800501e-15
ncr_2026_r2,p3_weighted_native,262,3.552713678800501e-15
ncr_2026_r2,p3_robust_native,262,3.552713678800501e-15
ncr_2026_r3,p3_rolling_native,269,3.552713678800501e-15
ncr_2026_r3,p3_weighted_native,269,3.552713678800501e-15
ncr_2026_r3,p3_robust_native,269,7.105427357601002e-15
