competition,candidate,comparator,mean,lower,upper,min_leave_one_out,rounds,known_rounds,total,wins,losses,unknown_selected
ncr,equal_empirical_baseline,empirical_baseline,-0.6666666666666666,-22.0,40.0,-21.0,3,3,-2.0,1,2,0
ncr,equal_incumbent,incumbent,-0.6666666666666666,-22.0,40.0,-21.0,3,3,-2.0,1,2,0
ncr,kicking_role_gate,incumbent,25.333333333333332,-53.0,130.0,-27.0,3,3,76.0,1,2,0
ncr,kicking_role_gate,p3_robust_native,0.0,0.0,0.0,0.0,3,3,0.0,0,0,0
ncr,p3_robust_native,incumbent,25.333333333333332,-53.0,130.0,-27.0,3,3,76.0,1,2,0
ncr,p3_rolling_native,incumbent,-2.6666666666666665,-60.0,94.0,-51.0,3,3,-8.0,1,2,0
ncr,p3_weighted_native,incumbent,26.666666666666668,-53.0,132.0,-26.0,3,3,80.0,2,1,0
ncr,regularised_empirical_baseline,empirical_baseline,6.333333333333333,-20.0,40.0,-10.5,3,3,19.0,1,2,0
ncr,regularised_incumbent,incumbent,6.333333333333333,-20.0,40.0,-10.5,3,3,19.0,1,2,0
ncr,role_calibration,incumbent,25.333333333333332,-53.0,130.0,-27.0,3,3,76.0,1,2,0
ncr,role_calibration,p3_robust_native,0.0,0.0,0.0,0.0,3,3,0.0,0,0,0
six_nations,equal_empirical_baseline,empirical_baseline,3.1,-14.2,20.9,-3.5555555555555554,10,10,31.0,5,3,0
six_nations,equal_incumbent,incumbent,8.1,-21.9,38.9,-0.2222222222222222,10,10,81.0,6,4,0
six_nations,kicking_role_gate,incumbent,5.3,-17.5,29.0,-2.7777777777777777,10,10,53.0,5,5,0
six_nations,kicking_role_gate,p3_robust_native,0.0,0.0,0.0,0.0,10,10,0.0,0,0,0
six_nations,p3_robust_native,incumbent,5.3,-17.5,29.0,-2.7777777777777777,10,10,53.0,5,5,0
six_nations,p3_rolling_native,incumbent,,,,,10,9,,4,5,1
six_nations,p3_weighted_native,incumbent,-5.0,-25.5,18.4,-14.222222222222221,10,10,-50.0,3,7,0
six_nations,regularised_empirical_baseline,empirical_baseline,5.5,-13.4,24.7,-0.8888888888888888,10,10,55.0,4,4,0
six_nations,regularised_incumbent,incumbent,13.7,-9.0,37.9,6.555555555555555,10,10,137.0,6,4,0
six_nations,role_calibration,incumbent,5.9,-15.8,29.1,-2.111111111111111,10,10,59.0,5,4,0
six_nations,role_calibration,p3_robust_native,0.6,-7.4,8.7,-2.3333333333333335,10,10,6.0,2,2,0
