slate,competition,season,candidate,comparator,unknown_selected,delta_total,delta_xv,delta_captain_extra,delta_super_sub,delta_mae
six_nations_2025_r1,six_nations,2025,p3_robust_native,incumbent,0,48.0,-3.0,-6.0,57.0,-0.9073826847204307
six_nations_2025_r2,six_nations,2025,p3_robust_native,incumbent,0,11.0,-19.0,0.0,30.0,-0.03451109410880271
six_nations_2025_r3,six_nations,2025,p3_robust_native,incumbent,0,-9.0,15.0,0.0,-24.0,0.17266254361804645
six_nations_2025_r4,six_nations,2025,p3_robust_native,incumbent,0,-32.0,-51.0,-8.0,27.0,-0.28386739903551117
six_nations_2025_r5,six_nations,2025,p3_robust_native,incumbent,0,78.0,15.0,0.0,63.0,0.060513665485256496
six_nations_2026_r1,six_nations,2026,p3_robust_native,incumbent,0,-55.0,-21.0,-16.0,-18.0,0.30881896982635126
six_nations_2026_r2,six_nations,2026,p3_robust_native,incumbent,0,36.0,51.0,-15.0,0.0,-0.21662082145372796
six_nations_2026_r3,six_nations,2026,p3_robust_native,incumbent,0,-23.0,1.0,0.0,-24.0,-0.1148263241553158
six_nations_2026_r4,six_nations,2026,p3_robust_native,incumbent,0,12.0,43.0,-31.0,0.0,-0.19713681408730377
six_nations_2026_r5,six_nations,2026,p3_robust_native,incumbent,0,-13.0,12.0,14.0,-39.0,-0.08820603883462486
ncr_2026_r1,ncr,2026,p3_robust_native,incumbent,0,-53.0,-41.0,0.0,-12.0,-0.035418411568116426
ncr_2026_r2,ncr,2026,p3_robust_native,incumbent,0,130.0,68.0,62.0,0.0,-0.26722151785977566
ncr_2026_r3,ncr,2026,p3_robust_native,incumbent,0,-1.0,-13.0,0.0,12.0,-0.14553921880251686
six_nations_2025_r1,six_nations,2025,p3_weighted_native,incumbent,0,-36.0,-27.0,-6.0,-3.0,-0.9220421878744895
six_nations_2025_r2,six_nations,2025,p3_weighted_native,incumbent,0,-37.0,-58.0,0.0,21.0,0.2923481033366837
six_nations_2025_r3,six_nations,2025,p3_weighted_native,incumbent,0,-9.0,15.0,0.0,-24.0,0.25134981335344353
six_nations_2025_r4,six_nations,2025,p3_weighted_native,incumbent,0,-20.0,-51.0,4.0,27.0,-0.24903397611028488
six_nations_2025_r5,six_nations,2025,p3_weighted_native,incumbent,0,78.0,15.0,0.0,63.0,0.030319171915660803
six_nations_2026_r1,six_nations,2026,p3_weighted_native,incumbent,0,-55.0,-21.0,-16.0,-18.0,0.4904648439267687
six_nations_2026_r2,six_nations,2026,p3_weighted_native,incumbent,0,24.0,39.0,-15.0,0.0,-0.2061974630479
six_nations_2026_r3,six_nations,2026,p3_weighted_native,incumbent,0,-1.0,14.0,-15.0,0.0,-0.03066486890037634
six_nations_2026_r4,six_nations,2026,p3_weighted_native,incumbent,0,12.0,43.0,-31.0,0.0,-0.11019678664194821
six_nations_2026_r5,six_nations,2026,p3_weighted_native,incumbent,0,-6.0,15.0,0.0,-21.0,-0.08444645268575446
ncr_2026_r1,ncr,2026,p3_weighted_native,incumbent,0,-53.0,-41.0,0.0,-12.0,-0.05010977134466721
ncr_2026_r2,ncr,2026,p3_weighted_native,incumbent,0,132.0,70.0,62.0,0.0,-0.3574212167110371
ncr_2026_r3,ncr,2026,p3_weighted_native,incumbent,0,1.0,-11.0,0.0,12.0,-0.19094244617703104
six_nations_2025_r1,six_nations,2025,p3_rolling_native,incumbent,0,31.0,40.0,-6.0,-3.0,-0.9680057049967763
six_nations_2025_r2,six_nations,2025,p3_rolling_native,incumbent,0,-39.0,-60.0,0.0,21.0,0.2886530269365508
six_nations_2025_r3,six_nations,2025,p3_rolling_native,incumbent,0,-6.0,18.0,0.0,-24.0,0.04098127297517529
six_nations_2025_r4,six_nations,2025,p3_rolling_native,incumbent,0,-42.0,-73.0,4.0,27.0,-0.2714954721315497
six_nations_2025_r5,six_nations,2025,p3_rolling_native,incumbent,0,86.0,23.0,0.0,63.0,0.042106936991848976
six_nations_2026_r1,six_nations,2026,p3_rolling_native,incumbent,1,,,-16.0,-18.0,0.6227609225795163
six_nations_2026_r2,six_nations,2026,p3_rolling_native,incumbent,0,24.0,39.0,-15.0,0.0,-0.33282570149704593
six_nations_2026_r3,six_nations,2026,p3_rolling_native,incumbent,0,-31.0,-10.0,-15.0,-6.0,-0.0652065715664012
six_nations_2026_r4,six_nations,2026,p3_rolling_native,incumbent,0,12.0,43.0,-31.0,0.0,-0.1481499295453368
six_nations_2026_r5,six_nations,2026,p3_rolling_native,incumbent,0,-17.0,22.0,0.0,-39.0,-0.047404269358537476
ncr_2026_r1,ncr,2026,p3_rolling_native,incumbent,0,-42.0,-30.0,0.0,-12.0,0.026859180977330865
