competition,season,candidate,comparator,mean,lower,upper,min_leave_one_out,rounds,known_rounds,total,wins,losses,unknown_selected
ncr,2026,equal_empirical_baseline,empirical_baseline,-0.6666666666666666,-22.0,40.0,-21.0,3,3,-2.0,1,2,0
ncr,2026,equal_incumbent,incumbent,-0.6666666666666666,-22.0,40.0,-21.0,3,3,-2.0,1,2,0
ncr,2026,kicking_role_gate,incumbent,25.333333333333332,-53.0,130.0,-27.0,3,3,76.0,1,2,0
ncr,2026,kicking_role_gate,p3_robust_native,0.0,0.0,0.0,0.0,3,3,0.0,0,0,0
ncr,2026,p3_robust_native,incumbent,25.333333333333332,-53.0,130.0,-27.0,3,3,76.0,1,2,0
ncr,2026,p3_rolling_native,incumbent,-2.6666666666666665,-60.0,94.0,-51.0,3,3,-8.0,1,2,0
ncr,2026,p3_weighted_native,incumbent,26.666666666666668,-53.0,132.0,-26.0,3,3,80.0,2,1,0
ncr,2026,regularised_empirical_baseline,empirical_baseline,6.333333333333333,-20.0,40.0,-10.5,3,3,19.0,1,2,0
ncr,2026,regularised_incumbent,incumbent,6.333333333333333,-20.0,40.0,-10.5,3,3,19.0,1,2,0
ncr,2026,role_calibration,incumbent,25.333333333333332,-53.0,130.0,-27.0,3,3,76.0,1,2,0
ncr,2026,role_calibration,p3_robust_native,0.0,0.0,0.0,0.0,3,3,0.0,0,0,0
six_nations,2025,equal_empirical_baseline,empirical_baseline,18.2,2.2,41.4,7.0,5,5,91.0,4,0,0
six_nations,2025,equal_incumbent,incumbent,10.2,-30.68999999999992,51.0,-8.0,5,5,51.0,3,2,0
six_nations,2025,kicking_role_gate,incumbent,19.2,-14.2,54.6,4.5,5,5,96.0,3,2,0
six_nations,2025,kicking_role_gate,p3_robust_native,0.0,0.0,0.0,0.0,5,5,0.0,0,0,0
six_nations,2025,p3_robust_native,incumbent,19.2,-14.2,54.6,4.5,5,5,96.0,3,2,0
six_nations,2025,p3_rolling_native,incumbent,6.0,-33.6,50.0,-14.0,5,5,30.0,2,3,0
six_nations,2025,p3_weighted_native,incumbent,-4.8,-33.2,37.8,-25.5,5,5,-24.0,1,4,0
six_nations,2025,regularised_empirical_baseline,empirical_baseline,7.4,-11.8,36.4,-6.5,5,5,37.0,1,2,0
six_nations,2025,regularised_incumbent,incumbent,34.6,5.0,64.2,23.75,5,5,173.0,4,1,0
six_nations,2025,role_calibration,incumbent,11.8,-26.8,50.4,-4.75,5,5,59.0,2,2,0
six_nations,2025,role_calibration,p3_robust_native,-7.4,-17.8,0.0,-9.25,5,5,-37.0,0,2,0
six_nations,2026,equal_empirical_baseline,empirical_baseline,-12.0,-34.4,8.0,-20.75,5,5,-60.0,1,3,0
six_nations,2026,equal_incumbent,incumbent,6.0,-36.8,48.8,-11.5,5,5,30.0,3,2,0
six_nations,2026,kicking_role_gate,incumbent,-8.6,-35.2,17.8,-19.75,5,5,-43.0,2,3,0
six_nations,2026,kicking_role_gate,p3_robust_native,0.0,0.0,0.0,0.0,5,5,0.0,0,0,0
six_nations,2026,p3_robust_native,incumbent,-8.6,-35.2,17.8,-19.75,5,5,-43.0,2,3,0
six_nations,2026,p3_rolling_native,incumbent,,,,,5,4,,2,2,1
six_nations,2026,p3_weighted_native,incumbent,-5.2,-31.8,14.4,-12.5,5,5,-26.0,2,3,0
six_nations,2026,regularised_empirical_baseline,empirical_baseline,3.6,-28.8,29.4,-4.25,5,5,18.0,3,2,0
six_nations,2026,regularised_incumbent,incumbent,-7.2,-33.2,15.6,-16.5,5,5,-36.0,2,3,0
six_nations,2026,role_calibration,incumbent,0.0,-23.4,21.4,-9.0,5,5,0.0,3,2,0
six_nations,2026,role_calibration,p3_robust_native,8.6,0.0,19.4,4.0,5,5,43.0,2,0,0
