competition,season,engine,total,rounds,xv,captain_extra,super_sub,unknown_selected,mae,bias,rmse
ncr,2026,empirical_archived,1578.0,3,1354.0,116.0,108.0,0,8.401066785861131,-4.055693034503764,12.257665600059587
ncr,2026,empirical_baseline,1578.0,3,1354.0,116.0,108.0,0,8.401066785861131,-4.055693034503764,12.257665600059587
ncr,2026,equal_empirical_baseline,1576.0,3,1364.0,116.0,96.0,0,8.2880211453006,-3.90281873216167,12.15723053776631
ncr,2026,equal_incumbent,1576.0,3,1364.0,116.0,96.0,0,8.2880211453006,-3.90281873216167,12.15723053776631
ncr,2026,incumbent,1578.0,3,1354.0,116.0,108.0,0,8.401066785861131,-4.055693034503764,12.257665600059587
ncr,2026,kicking_role_gate,1654.0,3,1368.0,178.0,108.0,0,8.248972291804378,-3.7582608172473315,12.137348223765308
ncr,2026,p3_robust_native,1654.0,3,1368.0,178.0,108.0,0,8.251673736450995,-3.749944429819576,12.137207173621201
ncr,2026,p3_rolling_native,1570.0,3,1284.0,178.0,108.0,0,8.266717197727395,-3.5035587539706206,12.095103442368616
ncr,2026,p3_weighted_native,1658.0,3,1372.0,178.0,108.0,0,8.201575641116884,-3.500232145469255,12.051853760975002
ncr,2026,regularised_empirical_baseline,1597.0,3,1373.0,116.0,108.0,0,8.264285118634369,-3.853185051726524,12.142328456642817
ncr,2026,regularised_incumbent,1597.0,3,1373.0,116.0,108.0,0,8.264285118634369,-3.853185051726524,12.142328456642817
ncr,2026,role_calibration,1654.0,3,1368.0,178.0,108.0,0,8.167469261783712,-2.4213452704097715,11.7645248969903
six_nations,2025,empirical_archived,2410.0,5,1987.0,171.0,252.0,0,7.1680034151586485,-1.231088249346691,10.424062139304326
six_nations,2025,empirical_baseline,2410.0,5,1987.0,171.0,252.0,0,7.1680034151586485,-1.2310882493466913,10.424062139304326
six_nations,2025,equal_empirical_baseline,2501.0,5,2048.0,171.0,282.0,0,7.1460747299160925,-1.2692396175624527,10.422231776921686
six_nations,2025,equal_incumbent,2311.0,5,1946.0,179.0,186.0,0,7.239365285969194,-1.6996060276517497,10.584429653037606
six_nations,2025,incumbent,2260.0,5,2012.0,179.0,69.0,0,7.4414661837836515,-2.091821069525285,10.882284808250471
six_nations,2025,kicking_role_gate,2356.0,5,1969.0,165.0,222.0,0,7.242803267821598,-1.314397234537433,10.517129092436232
six_nations,2025,p3_robust_native,2356.0,5,1969.0,165.0,222.0,0,7.242949190031363,-1.3073909857782147,10.516268500411115
six_nations,2025,p3_rolling_native,2290.0,5,1960.0,177.0,153.0,0,7.267914195738702,-1.0558677408706614,10.47430992578922
six_nations,2025,p3_weighted_native,2236.0,5,1906.0,177.0,153.0,0,7.322054368707855,-0.8866774382132168,10.517007229977292
six_nations,2025,regularised_empirical_baseline,2447.0,5,1994.0,171.0,282.0,0,7.164707122248783,-1.305534387827897,10.442375520814341
six_nations,2025,regularised_incumbent,2433.0,5,2004.0,171.0,258.0,0,7.272279249578814,-1.5845019608400501,10.619992128933712
six_nations,2025,role_calibration,2319.0,5,1969.0,128.0,222.0,0,7.364412533638182,-0.6495394918373982,10.58723214918486
six_nations,2026,empirical_archived,2552.0,5,2174.0,225.0,153.0,0,7.350583784174669,-1.6548959718834104,10.361216726349902
six_nations,2026,empirical_baseline,2552.0,5,2174.0,225.0,153.0,0,7.349179522586029,-1.652602836710758,10.359312300142683
six_nations,2026,equal_empirical_baseline,2492.0,5,2176.0,163.0,153.0,0,7.242893699181202,-1.3372639110034448,10.166927812618177
six_nations,2026,equal_incumbent,2569.0,5,2191.0,225.0,153.0,0,7.201557540982003,-1.124968573159293,10.118967225494915
six_nations,2026,incumbent,2539.0,5,2104.0,225.0,210.0,0,7.304945808387549,-1.228012161022455,10.366403686402116
six_nations,2026,kicking_role_gate,2496.0,5,2190.0,177.0,129.0,0,7.242864986841876,-1.0287198662641317,10.077600885726648
six_nations,2026,p3_robust_native,2496.0,5,2190.0,177.0,129.0,0,7.243351602646625,-1.0219249852961314,10.076801457645534
six_nations,2026,p3_rolling_native,,5,,148.0,147.0,1,7.310780698509987,-0.799488428953706,10.129095721750819
six_nations,2026,p3_weighted_native,2513.0,5,2194.0,148.0,171.0,0,7.316737662917707,-0.6661141513863644,10.088396696004542
six_nations,2026,regularised_empirical_baseline,2570.0,5,2238.0,179.0,153.0,0,7.261623445260986,-1.2958377098636347,10.178876799028508
six_nations,2026,regularised_incumbent,2503.0,5,2173.0,177.0,153.0,0,7.21739670336453,-1.0588283574428812,10.072299612869546
six_nations,2026,role_calibration,2539.0,5,2190.0,193.0,156.0,0,7.329889379390086,-0.09603809020994097,10.012173808873758
