slate,comparator,robust_weight,prior_known_rows,prior_latest_cutoff
six_nations_2025_r1,empirical_baseline,0.5,0,
six_nations_2025_r1,incumbent,0.5,0,
six_nations_2025_r2,empirical_baseline,0.0839344526015238,132,2025-01-31T20:15:00+00:00
six_nations_2025_r2,incumbent,1.0,132,2025-01-31T20:15:00+00:00
six_nations_2025_r3,empirical_baseline,0.4556604916842143,270,2025-02-08T14:15:00+00:00
six_nations_2025_r3,incumbent,0.9665116145755883,270,2025-02-08T14:15:00+00:00
six_nations_2025_r4,empirical_baseline,0.27744653407948955,408,2025-02-22T14:15:00+00:00
six_nations_2025_r4,incumbent,0.9279512724548384,408,2025-02-22T14:15:00+00:00
six_nations_2025_r5,empirical_baseline,0.22979247054423244,546,2025-03-08T14:15:00+00:00
six_nations_2025_r5,incumbent,0.914522444738822,546,2025-03-08T14:15:00+00:00
six_nations_2026_r1,empirical_baseline,0.2768357497034761,684,2025-03-15T14:15:00+00:00
six_nations_2026_r1,incumbent,0.8515660564248801,684,2025-03-15T14:15:00+00:00
six_nations_2026_r2,empirical_baseline,0.49504888765735744,818,2026-02-05T20:10:00+00:00
six_nations_2026_r2,incumbent,0.7830947109088974,818,2026-02-05T20:10:00+00:00
six_nations_2026_r3,empirical_baseline,0.5089353687734783,949,2026-02-14T14:10:00+00:00
six_nations_2026_r3,incumbent,0.8307258455838076,949,2026-02-14T14:10:00+00:00
six_nations_2026_r4,empirical_baseline,0.6303086850260098,1086,2026-02-21T14:10:00+00:00
six_nations_2026_r4,incumbent,0.8527598117524815,1086,2026-02-21T14:10:00+00:00
six_nations_2026_r5,empirical_baseline,0.6223628431668312,1224,2026-03-06T20:10:00+00:00
six_nations_2026_r5,incumbent,0.8535304142467816,1224,2026-03-06T20:10:00+00:00
ncr_2026_r1,empirical_baseline,0.5,0,
ncr_2026_r1,incumbent,0.5,0,
ncr_2026_r2,empirical_baseline,0.6783516365095595,227,2026-07-04T06:40:00+00:00
ncr_2026_r2,incumbent,0.6783516365095595,227,2026-07-04T06:40:00+00:00
ncr_2026_r3,empirical_baseline,0.8704936987778414,489,2026-07-11T04:40:00+00:00
ncr_2026_r3,incumbent,0.8704936987778414,489,2026-07-11T04:40:00+00:00
