slate,competition,season,engine,cutoff,n,n_labelled,unknown_selected,xv,captain_extra,super_sub,total,mae,bias,rmse,captain,sub
six_nations_2025_r1,six_nations,2025,p3_robust_native,2025-01-31T20:15:00+00:00,138,132,0,440.0,31.0,75.0,546.0,6.890568617739768,-3.1655670853199647,10.19683394556003,Antoine Dupont,Dan Sheehan
six_nations_2025_r1,six_nations,2025,incumbent,2025-01-31T20:15:00+00:00,138,132,0,443.0,37.0,18.0,498.0,7.7979513024601985,-5.817690832244576,11.757829657363663,Thomas Ramos,Jack Crowley
six_nations_2025_r1,six_nations,2025,equal_incumbent,2025-01-31T20:15:00+00:00,138,132,0,431.0,37.0,51.0,519.0,7.066631112345546,-4.491628958782271,10.759533117368957,Thomas Ramos,Jack Dempsey
six_nations_2025_r1,six_nations,2025,empirical_timing_only,2025-01-31T20:15:00+00:00,138,132,0,440.0,31.0,75.0,546.0,6.888385748829392,-3.146611433993627,10.192277847344354,Antoine Dupont,Dan Sheehan
six_nations_2025_r2,six_nations,2025,p3_robust_native,2025-02-08T14:15:00+00:00,138,138,0,335.0,34.0,30.0,399.0,6.840640310869787,1.193174973911534,9.588095579279234,Thomas Ramos,Dan Sheehan
six_nations_2025_r2,six_nations,2025,incumbent,2025-02-08T14:15:00+00:00,138,138,0,354.0,34.0,0.0,388.0,6.87515140497859,0.9962059189943169,9.569536834978505,Thomas Ramos,Jack Crowley
six_nations_2025_r2,six_nations,2025,equal_incumbent,2025-02-08T14:15:00+00:00,138,138,0,274.0,34.0,21.0,329.0,6.803988872090911,1.0946904464529257,9.473980718049596,Thomas Ramos,Gianmarco Lucchesi
six_nations_2025_r2,six_nations,2025,empirical_timing_only,2025-02-08T14:15:00+00:00,138,138,0,335.0,34.0,30.0,399.0,6.847551686994956,1.2105713868833288,9.58876546207635,Thomas Ramos,Dan Sheehan
six_nations_2025_r3,six_nations,2025,p3_robust_native,2025-02-22T14:15:00+00:00,138,138,0,393.0,36.0,3.0,432.0,7.278381344202609,-0.6437875142845635,10.693709232009155,Thomas Ramos,Ewan Ashman
six_nations_2025_r3,six_nations,2025,incumbent,2025-02-22T14:15:00+00:00,138,138,0,378.0,36.0,27.0,441.0,7.105718800584563,-1.169596545455017,10.817176022337248,Thomas Ramos,Ross Vintcent
six_nations_2025_r3,six_nations,2025,equal_incumbent,2025-02-22T14:15:00+00:00,138,138,0,407.0,36.0,27.0,470.0,7.1641922876427255,-0.9066920298697901,10.670462183054404,Thomas Ramos,Ross Vintcent
six_nations_2025_r3,six_nations,2025,empirical_timing_only,2025-02-22T14:15:00+00:00,138,138,0,393.0,36.0,3.0,432.0,7.276144539210872,-0.6283136740753507,10.692281741999098,Thomas Ramos,Ewan Ashman
six_nations_2025_r4,six_nations,2025,p3_robust_native,2025-03-08T14:15:00+00:00,138,138,0,398.0,28.0,48.0,474.0,7.780909026839934,-2.8233622478731104,10.826947518212135,Duhan van der Merwe,Dewi Lake
six_nations_2025_r4,six_nations,2025,incumbent,2025-03-08T14:15:00+00:00,138,138,0,449.0,36.0,21.0,506.0,8.064776425875445,-3.187725018758131,11.08339815035714,Thomas Ramos,Lorenzo Cannone
six_nations_2025_r4,six_nations,2025,equal_incumbent,2025-03-08T14:15:00+00:00,138,138,0,426.0,36.0,21.0,483.0,7.84660191800505,-3.0055436333156207,10.8585159097234,Thomas Ramos,Lorenzo Cannone
six_nations_2025_r4,six_nations,2025,empirical_timing_only,2025-03-08T14:15:00+00:00,138,138,0,398.0,28.0,48.0,474.0,7.775081625280525,-2.8063974449644817,10.816854794434446,Duhan van der Merwe,Dewi Lake
six_nations_2025_r5,six_nations,2025,p3_robust_native,2025-03-15T14:15:00+00:00,138,138,0,403.0,36.0,66.0,505.0,7.424246650504721,-1.0974130553249681,11.27575622699502,Thomas Ramos,Tom Willis
six_nations_2025_r5,six_nations,2025,incumbent,2025-03-15T14:15:00+00:00,138,138,0,388.0,36.0,3.0,427.0,7.363732985019462,-1.2802988701630174,11.183483376215804,Thomas Ramos,Sam Prendergast
