slate,competition,season,candidate,comparator,unknown_selected,delta_total,delta_xv,delta_captain_extra,delta_super_sub,delta_mae
six_nations_2025_r1,six_nations,2025,empirical_timing_only,p3_robust_native,0,0.0,0.0,0.0,0.0,-0.0021828689103760013
six_nations_2025_r2,six_nations,2025,empirical_timing_only,p3_robust_native,0,0.0,0.0,0.0,0.0,0.0069113761251689
six_nations_2025_r3,six_nations,2025,empirical_timing_only,p3_robust_native,0,0.0,0.0,0.0,0.0,-0.0022368049917371735
six_nations_2025_r4,six_nations,2025,empirical_timing_only,p3_robust_native,0,0.0,0.0,0.0,0.0,-0.005827401559408862
six_nations_2025_r5,six_nations,2025,empirical_timing_only,p3_robust_native,0,0.0,0.0,0.0,0.0,-0.002355824172784793
six_nations_2026_r1,six_nations,2026,empirical_timing_only,p3_robust_native,0,0.0,0.0,0.0,0.0,0.006797821191489639
six_nations_2026_r2,six_nations,2026,empirical_timing_only,p3_robust_native,0,0.0,0.0,0.0,0.0,0.006648056491664001
six_nations_2026_r3,six_nations,2026,empirical_timing_only,p3_robust_native,0,0.0,0.0,0.0,0.0,0.009143358362792675
six_nations_2026_r4,six_nations,2026,empirical_timing_only,p3_robust_native,0,0.0,0.0,0.0,0.0,0.0009186352013381693
six_nations_2026_r5,six_nations,2026,empirical_timing_only,p3_robust_native,0,0.0,0.0,0.0,0.0,0.007196763508593662
ncr_2026_r1,ncr,2026,empirical_timing_only,p3_robust_native,0,0.0,0.0,0.0,0.0,0.0037108904933198517
ncr_2026_r2,ncr,2026,empirical_timing_only,p3_robust_native,0,0.0,0.0,0.0,0.0,-0.0019484754494794032
ncr_2026_r3,ncr,2026,empirical_timing_only,p3_robust_native,0,0.0,0.0,0.0,0.0,-0.0008764327812080808
six_nations_2025_r1,six_nations,2025,empirical_timing_only,incumbent,0,48.0,-3.0,-6.0,57.0,-0.9095655536308067
six_nations_2025_r2,six_nations,2025,empirical_timing_only,incumbent,0,11.0,-19.0,0.0,30.0,-0.02759971798363381
six_nations_2025_r3,six_nations,2025,empirical_timing_only,incumbent,0,-9.0,15.0,0.0,-24.0,0.17042573862630928
six_nations_2025_r4,six_nations,2025,empirical_timing_only,incumbent,0,-32.0,-51.0,-8.0,27.0,-0.28969480059492003
six_nations_2025_r5,six_nations,2025,empirical_timing_only,incumbent,0,78.0,15.0,0.0,63.0,0.05815784131247437
six_nations_2026_r1,six_nations,2026,empirical_timing_only,incumbent,0,-55.0,-21.0,-16.0,-18.0,0.3156167910178418
six_nations_2026_r2,six_nations,2026,empirical_timing_only,incumbent,0,36.0,51.0,-15.0,0.0,-0.20997276496206396
six_nations_2026_r3,six_nations,2026,empirical_timing_only,incumbent,0,-23.0,1.0,0.0,-24.0,-0.10568296579252223
six_nations_2026_r4,six_nations,2026,empirical_timing_only,incumbent,0,12.0,43.0,-31.0,0.0,-0.1962181788859656
six_nations_2026_r5,six_nations,2026,empirical_timing_only,incumbent,0,-13.0,12.0,14.0,-39.0,-0.0810092753260312
ncr_2026_r1,ncr,2026,empirical_timing_only,incumbent,0,-53.0,-41.0,0.0,-12.0,-0.031707521074796574
ncr_2026_r2,ncr,2026,empirical_timing_only,incumbent,0,130.0,68.0,62.0,0.0,-0.26916999330925506
ncr_2026_r3,ncr,2026,empirical_timing_only,incumbent,0,-1.0,-13.0,0.0,12.0,-0.14641565158372494
six_nations_2025_r1,six_nations,2025,empirical_timing_only,equal_incumbent,0,27.0,9.0,-6.0,24.0,-0.1782453635161545
six_nations_2025_r2,six_nations,2025,empirical_timing_only,equal_incumbent,0,70.0,61.0,0.0,9.0,0.04356281490404523
six_nations_2025_r3,six_nations,2025,empirical_timing_only,equal_incumbent,0,-38.0,-14.0,0.0,-24.0,0.11195225156814637
six_nations_2025_r4,six_nations,2025,empirical_timing_only,equal_incumbent,0,-9.0,-28.0,-8.0,27.0,-0.07152029272452509
six_nations_2025_r5,six_nations,2025,empirical_timing_only,equal_incumbent,0,-5.0,-5.0,0.0,0.0,0.10647858657020048
six_nations_2026_r1,six_nations,2026,empirical_timing_only,equal_incumbent,0,-16.0,0.0,-16.0,0.0,0.2430598872698546
six_nations_2026_r2,six_nations,2026,empirical_timing_only,equal_incumbent,0,-9.0,6.0,-15.0,0.0,-0.003360106528436546
six_nations_2026_r3,six_nations,2026,empirical_timing_only,equal_incumbent,0,-25.0,-1.0,0.0,-24.0,0.015304315088527254
six_nations_2026_r4,six_nations,2026,empirical_timing_only,equal_incumbent,0,-64.0,-33.0,-31.0,0.0,-0.05718028241629547
six_nations_2026_r5,six_nations,2026,empirical_timing_only,equal_incumbent,0,41.0,27.0,14.0,0.0,0.041851129665333886
ncr_2026_r1,ncr,2026,empirical_timing_only,equal_incumbent,0,-33.0,-33.0,0.0,0.0,0.01798518796004167
ncr_2026_r2,ncr,2026,empirical_timing_only,equal_incumbent,0,90.0,28.0,62.0,0.0,-0.09322490150572449
ncr_2026_r3,ncr,2026,empirical_timing_only,equal_incumbent,0,21.0,9.0,0.0,12.0,-0.032916530740505934
