competition,season,engine,total,rounds,xv,captain_extra,super_sub,unknown_selected,mae,bias,rmse
ncr,2026,empirical_timing_only,1654.0,3,1368.0,178.0,108.0,0,8.25196906387187,-3.738430897005451,12.135506630342375
ncr,2026,equal_incumbent,1576.0,3,1364.0,116.0,96.0,0,8.2880211453006,-3.90281873216167,12.15723053776631
ncr,2026,incumbent,1578.0,3,1354.0,116.0,108.0,0,8.401066785861131,-4.055693034503764,12.257665600059587
ncr,2026,p3_robust_native,1654.0,3,1368.0,178.0,108.0,0,8.251673736450995,-3.749944429819576,12.137207173621201
six_nations,2025,empirical_timing_only,2356.0,5,1969.0,165.0,222.0,0,7.241810885329537,-1.2904931570977412,10.512072291667073
six_nations,2025,equal_incumbent,2311.0,5,1946.0,179.0,186.0,0,7.239365285969194,-1.6996060276517497,10.584429653037606
six_nations,2025,incumbent,2260.0,5,2012.0,179.0,69.0,0,7.4414661837836515,-2.091821069525285,10.882284808250471
six_nations,2025,p3_robust_native,2356.0,5,1969.0,165.0,222.0,0,7.242949190031363,-1.3073909857782144,10.516268500411115
six_nations,2026,empirical_timing_only,2496.0,5,2190.0,177.0,129.0,0,7.249492529597799,-1.0021193081680855,10.07744765074061
six_nations,2026,equal_incumbent,2569.0,5,2191.0,225.0,153.0,0,7.201557540982003,-1.124968573159293,10.118967225494915
six_nations,2026,incumbent,2539.0,5,2104.0,225.0,210.0,0,7.304945808387548,-1.228012161022455,10.366403686402116
six_nations,2026,p3_robust_native,2496.0,5,2190.0,177.0,129.0,0,7.243351602646624,-1.0219249852961316,10.076801457645534
