slate,cutoff,training_rows,training_latest_kickoff,newly_unavailable_minutes,fits
six_nations_2025_r1,2025-01-31T20:15:00+00:00,111859,2025-01-26 20:05:00+00:00,869,3
six_nations_2025_r2,2025-02-08T14:15:00+00:00,112457,2025-02-08 05:10:00+00:00,871,3
six_nations_2025_r3,2025-02-22T14:15:00+00:00,114343,2025-02-22 08:35:00+00:00,876,3
six_nations_2025_r4,2025-03-08T14:15:00+00:00,116367,2025-03-08 08:35:00+00:00,885,3
six_nations_2025_r5,2025-03-15T14:15:00+00:00,117057,2025-03-15 08:35:00+00:00,887,3
six_nations_2026_r1,2026-02-05T20:10:00+00:00,156617,2026-02-01 20:05:00+00:00,1128,3
six_nations_2026_r2,2026-02-14T14:10:00+00:00,157491,2026-02-14 08:35:00+00:00,1136,3
six_nations_2026_r3,2026-02-21T14:10:00+00:00,158319,2026-02-21 08:35:00+00:00,1143,3
six_nations_2026_r4,2026-03-06T20:10:00+00:00,159975,2026-03-06 08:35:00+00:00,1151,3
six_nations_2026_r5,2026-03-14T14:10:00+00:00,160757,2026-03-14 08:35:00+00:00,1156,3
ncr_2026_r1,2026-07-04T06:40:00+00:00,174649,2026-06-27 13:00:00+00:00,1221,3
ncr_2026_r2,2026-07-11T04:40:00+00:00,174925,2026-07-04 19:10:00+00:00,1221,3
ncr_2026_r3,2026-07-18T06:40:00+00:00,175201,2026-07-11 19:10:00+00:00,1221,3
