scope,engine,baseline,metric,mean,p05,p95,n_clusters
friendly15,p3_balanced_recent_native,empirical_raw,count_stat_mae,-0.024568632042903462,-0.04212880144713167,-0.007578039872917889,15
friendly15,p3_robust_native,empirical_raw,count_stat_mae,-0.023043508461988407,-0.03899197672260806,-0.007556986850514347,15
friendly15,p3_balanced_recent_native,p3_robust_native,count_stat_mae,-0.0015251235809150554,-0.004412541308538045,0.0014105936855153545,15
friendly15,p3_balanced_recent_native,empirical_raw,minutes,-0.10589762464796995,-0.33798010473239565,0.1227449899645151,15
friendly15,p3_robust_native,empirical_raw,minutes,-0.13422132189789432,-0.3669233741481813,0.08971165597417884,15
friendly15,p3_balanced_recent_native,p3_robust_native,minutes,0.02832369724992437,-0.011369111920304771,0.06866249801247841,15
friendly15,p3_balanced_recent_native,empirical_raw,metres,-0.2586943190254866,-0.3984558745808019,-0.13062690579921596,15
friendly15,p3_robust_native,empirical_raw,metres,-0.2430025005841521,-0.3764782415560212,-0.12125385053202592,15
friendly15,p3_balanced_recent_native,p3_robust_native,metres,-0.015691818441334545,-0.029796713604821022,-0.0018097223051444858,15
ncr_2026,p3_balanced_recent_native,empirical_baseline,mae,0.0019495121123191221,-0.06102572093687364,0.06492474516151188,3
ncr_2026,p3_robust_native,empirical_baseline,mae,-0.03656263635651058,-0.08472358598300822,0.01159831326998706,3
ncr_2026,p3_balanced_recent_native,p3_robust_native,mae,0.0385121484688297,0.02343568635495963,0.05358861058269978,3
ncr_2026,p3_balanced_recent_native,empirical_baseline,team_points,38.666666666666664,-28.333333333333332,105.66666666666667,3
ncr_2026,p3_robust_native,empirical_baseline,team_points,54.0,-20.666666666666668,128.66666666666666,3
ncr_2026,p3_balanced_recent_native,p3_robust_native,team_points,-15.333333333333334,-34.666666666666664,4.0,3
six_nations_2025,p3_balanced_recent_native,empirical_baseline,mae,0.05875198074764008,-0.03066357852844135,0.15267457989308292,5
six_nations_2025,p3_robust_native,empirical_baseline,mae,0.09241540047641124,0.01501654876119769,0.17710084331236295,5
six_nations_2025,p3_balanced_recent_native,p3_robust_native,mae,-0.03366341972877116,-0.06205661098174354,-0.0018009631644037682,5
six_nations_2025,p3_balanced_recent_native,empirical_baseline,team_points,-27.0,-55.0,2.6,5
six_nations_2025,p3_robust_native,empirical_baseline,team_points,1.2,-31.0,30.0,5
six_nations_2025,p3_balanced_recent_native,p3_robust_native,team_points,-28.2,-42.4,-13.6,5
six_nations_2026,p3_balanced_recent_native,empirical_baseline,mae,-0.13858799960220197,-0.29628743854447015,0.017271965508803076,5
six_nations_2026,p3_robust_native,empirical_baseline,mae,-0.13493473727462657,-0.28549210532310487,0.012378430629175341,5
six_nations_2026,p3_balanced_recent_native,p3_robust_native,mae,-0.0036532623275753904,-0.030339263070358946,0.02365788779374487,5
six_nations_2026,p3_balanced_recent_native,empirical_baseline,team_points,-5.8,-53.4,26.4,5
six_nations_2026,p3_robust_native,empirical_baseline,team_points,0.4,-32.2,32.2,5
six_nations_2026,p3_balanced_recent_native,p3_robust_native,team_points,-6.2,-23.2,12.8,5
