slate,robust_weight,xv,captain_extra,super_sub,total,predicted_total,unknown_selected,captain,common_with_previous,competition,season
ncr_2026_r1,0.0,461.0,41.0,James Botham,529.0,395.23,0,Cheslin Kolbe,,ncr,2026
ncr_2026_r1,0.25,461.0,41.0,James Botham,529.0,401.4212088270583,0,Cheslin Kolbe,16.0,ncr,2026
ncr_2026_r1,0.5,453.0,41.0,James Botham,521.0,407.86810885252163,0,Cheslin Kolbe,15.0,ncr,2026
ncr_2026_r1,0.75,430.0,41.0,James Botham,498.0,414.63819370490216,0,Cheslin Kolbe,14.0,ncr,2026
ncr_2026_r1,1.0,430.0,41.0,James Botham,498.0,422.3575916065362,0,Cheslin Kolbe,16.0,ncr,2026
ncr_2026_r2,0.0,418.0,30.0,Gianmarco Lucchesi,493.0,409.70000000000005,0,Cam Roigard,,ncr,2026
ncr_2026_r2,0.25,402.0,30.0,Gianmarco Lucchesi,477.0,417.80622290887896,0,Cam Roigard,14.0,ncr,2026
ncr_2026_r2,0.5,458.0,30.0,Gianmarco Lucchesi,533.0,427.18061144624073,0,Cam Roigard,14.0,ncr,2026
ncr_2026_r2,0.75,458.0,36.0,Gianmarco Lucchesi,539.0,438.4348944109514,0,Ardie Savea,16.0,ncr,2026
ncr_2026_r2,1.0,453.0,36.0,Henry Pollock,684.0,451.5674373528426,0,Ardie Savea,13.0,ncr,2026
ncr_2026_r3,0.0,475.0,45.0,Sean Jansen,556.0,427.5799999999999,0,Matthieu Jalibert,,ncr,2026
ncr_2026_r3,0.25,489.0,45.0,Sean Jansen,570.0,430.1084849558288,0,Matthieu Jalibert,15.0,ncr,2026
ncr_2026_r3,0.5,464.0,45.0,Sean Jansen,545.0,433.85653047950336,0,Matthieu Jalibert,14.0,ncr,2026
ncr_2026_r3,0.75,473.0,45.0,Henry Pollock,557.0,441.3571473511456,0,Matthieu Jalibert,14.0,ncr,2026
ncr_2026_r3,1.0,473.0,45.0,Henry Pollock,557.0,452.0195298015275,0,Matthieu Jalibert,16.0,ncr,2026
six_nations_2025_r1,0.0,450.0,37.0,Tom Willis,502.0,490.26855233116254,0,Thomas Ramos,,six_nations,2025
