competition,season,robust_weight,total,scored_rounds,unknown_selected
ncr,2026,0.0,1578.0,3,0
ncr,2026,0.25,1576.0,3,0
ncr,2026,0.5,1599.0,3,0
ncr,2026,0.75,1594.0,3,0
ncr,2026,1.0,1739.0,3,0
six_nations,2025,0.0,2410.0,5,0
six_nations,2025,0.25,2409.0,5,0
six_nations,2025,0.5,2501.0,5,0
six_nations,2025,0.75,2463.0,5,0
six_nations,2025,1.0,2356.0,5,0
six_nations,2026,0.0,2552.0,5,0
six_nations,2026,0.25,2549.0,5,0
six_nations,2026,0.5,2492.0,5,0
six_nations,2026,0.75,2548.0,5,0
six_nations,2026,1.0,2496.0,5,0
