rubric,scored,events,targets,comparator,mean_loss_difference,contribution_to_23_event_difference
six_nations,True,12,"tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,defenders_beaten,offload,tackles,penalties_conceded,yellow_cards,red_cards,metres",p3_rolling_native,-0.009473493652654826,-0.004942692340515561
six_nations,True,12,"tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,defenders_beaten,offload,tackles,penalties_conceded,yellow_cards,red_cards,metres",p3_weighted_native,-0.005870051569007203,-0.003062635601221149
six_nations,True,12,"tries,try_assists,conversion_goals,penalty_goals,drop_goals_converted,defenders_beaten,offload,tackles,penalties_conceded,yellow_cards,red_cards,metres",empirical_event,-0.07905989536603605,-0.04124864106054055
six_nations,False,11,"missed_conversion_goals,missed_penalty_goals,drop_goal_missed,clean_breaks,runs,missed_tackles,rucks_won,rucks_lost,passes,bad_passes,turnovers_conceded",p3_rolling_native,-0.004498004296523511,-0.0021512194461634185
six_nations,False,11,"missed_conversion_goals,missed_penalty_goals,drop_goal_missed,clean_breaks,runs,missed_tackles,rucks_won,rucks_lost,passes,bad_passes,turnovers_conceded",p3_weighted_native,-0.0036162587432462256,-0.00172951505111776
six_nations,False,11,"missed_conversion_goals,missed_penalty_goals,drop_goal_missed,clean_breaks,runs,missed_tackles,rucks_won,rucks_lost,passes,bad_passes,turnovers_conceded",empirical_event,-0.07787681685258468,-0.03724543414688833
ncr,True,16,"tries,try_assists,conversion_goals,missed_conversion_goals,penalty_goals,missed_penalty_goals,drop_goals_converted,defenders_beaten,clean_breaks,offload,tackles,missed_tackles,turnovers_conceded,penalties_conceded,yellow_cards,red_cards",p3_rolling_native,-0.006329304889443167,-0.004402994705699595
ncr,True,16,"tries,try_assists,conversion_goals,missed_conversion_goals,penalty_goals,missed_penalty_goals,drop_goals_converted,defenders_beaten,clean_breaks,offload,tackles,missed_tackles,turnovers_conceded,penalties_conceded,yellow_cards,red_cards",p3_weighted_native,-0.003910892219238093,-0.002720620674252587
ncr,True,16,"tries,try_assists,conversion_goals,missed_conversion_goals,penalty_goals,missed_penalty_goals,drop_goals_converted,defenders_beaten,clean_breaks,offload,tackles,missed_tackles,turnovers_conceded,penalties_conceded,yellow_cards,red_cards",empirical_event,-0.06779404391439517,-0.04716107402740534
ncr,False,7,"drop_goal_missed,runs,rucks_won,rucks_lost,passes,bad_passes,metres",p3_rolling_native,-0.008841584694646553,-0.0026909170809793857
ncr,False,7,"drop_goal_missed,runs,rucks_won,rucks_lost,passes,bad_passes,metres",p3_weighted_native,-0.006806455642283632,-0.0020715299780863228
ncr,False,7,"drop_goal_missed,runs,rucks_won,rucks_lost,passes,bad_passes,metres",empirical_event,-0.10295128959150592,-0.03133300118002354
