slate,engine,bin,min_prediction,max_prediction,n,n_labelled,predicted_mean,actual_mean,bias,mae,rmse,spearman
ncr_2026_r1,empirical_baseline,1,1.57,5.43,46,46,4.0015217391304345,5.5,-1.498478260869565,3.885434782608696,6.027182087264618,0.40299398603627345
ncr_2026_r1,empirical_baseline,2,5.47,9.66,45,45,7.365777777777779,9.488888888888889,-2.1231111111111116,6.1595555555555555,7.4184299027639415,0.014432013754191793
ncr_2026_r1,empirical_baseline,3,9.71,14.29,45,45,11.852666666666666,16.4,-4.547333333333333,7.709999999999998,11.763570603066627,0.035869909114009765
ncr_2026_r1,empirical_baseline,4,14.3,17.71,45,45,15.911111111111111,20.88888888888889,-4.977777777777776,10.563555555555554,14.25352151419275,-0.1254782305125851
ncr_2026_r1,empirical_baseline,5,17.75,30.21,46,46,20.948695652173914,26.456521739130434,-5.507826086956522,12.996521739130435,16.804963423113243,0.22643382755445057
ncr_2026_r1,p3_robust_native,1,2.7595996227479964,7.34428699621784,46,46,5.52613903314793,6.130434782608695,-0.6042957494607648,4.499152589769739,6.118143470216541,0.29520082128538805
ncr_2026_r1,p3_robust_native,2,7.396315400645808,11.484929834282855,45,45,8.998351494946796,9.688888888888888,-0.6905373939420943,6.435939630770335,7.844212400172144,0.330287732475845
ncr_2026_r1,p3_robust_native,3,11.515788548241098,15.69249223687152,45,45,14.154440099161643,18.977777777777778,-4.823337678616138,10.729944716016268,15.09899163776383,-0.1260763388047072
ncr_2026_r1,p3_robust_native,4,15.715973500192437,20.33985562281061,45,45,18.059935529750437,16.444444444444443,1.615491085305994,8.441741005449096,11.043740772613914,0.20464793484786709
ncr_2026_r1,p3_robust_native,5,20.375505699743616,30.605541749258894,46,46,23.355442177177796,27.456521739130434,-4.101079561952636,11.492699290014707,15.188640135012246,0.08344136090735545
ncr_2026_r2,empirical_baseline,1,1.34,5.28,53,53,3.906981132075471,7.471698113207547,-3.564716981132075,5.419811320754718,8.084471605001497,0.32425302439355613
ncr_2026_r2,empirical_baseline,2,5.53,9.29,52,52,7.199807692307693,14.48076923076923,-7.280961538461538,8.67980769230769,13.686499173104298,0.34442103539303
ncr_2026_r2,empirical_baseline,3,9.34,14.46,52,52,12.20346153846154,14.346153846153847,-2.142692307692307,8.151923076923076,11.353091581659088,-0.027601429450715906
ncr_2026_r2,empirical_baseline,4,14.58,17.98,52,52,16.126730769230768,16.923076923076923,-0.796346153846154,7.83673076923077,10.236900353434816,0.06569166358645674
ncr_2026_r2,empirical_baseline,5,18.19,32.29,53,53,22.099811320754718,28.92452830188679,-6.8247169811320765,11.879433962264152,17.077288404348128,0.29044231473736565
ncr_2026_r2,p3_robust_native,1,2.121973597466616,7.343212454774703,53,53,5.621742697532864,8.283018867924529,-2.6612761703916634,5.90620011428224,9.295901072734816,0.21402071142547677
ncr_2026_r2,p3_robust_native,2,7.377095940845039,11.219293099756706,52,52,8.983735371675118,12.653846153846153,-3.670110782171036,7.450215690291172,11.887190740247972,0.09373605452174749
ncr_2026_r2,p3_robust_native,3,11.283632324955718,16.169723230264083,52,52,14.055007391347797,16.865384615384617,-2.81037722403682,8.344870492501904,11.670644023733162,0.10820181488425
ncr_2026_r2,p3_robust_native,4,16.170521505821306,21.17224102660351,52,52,18.623443150076504,17.653846153846153,0.9695969962303524,9.29821632006772,11.59506762494456,0.08601649460121107
ncr_2026_r2,p3_robust_native,5,21.190716338950747,33.92040170671364,53,53,25.021882538289756,26.71698113207547,-1.6950985937857137,10.693977310356038,15.726835647625633,0.3289200225369463
ncr_2026_r3,empirical_baseline,1,1.19,5.59,54,54,4.079444444444444,6.7592592592592595,-2.679814814814815,4.924259259259259,7.6931170535745785,0.18181909787634254
ncr_2026_r3,empirical_baseline,2,5.63,9.37,54,54,7.472407407407409,10.38888888888889,-2.916481481481481,7.383518518518519,9.905477440958276,-0.05882357608268442
ncr_2026_r3,empirical_baseline,3,9.49,13.42,53,53,11.59301886792453,15.075471698113208,-3.4824528301886795,7.766981132075474,11.573242643400288,-0.02016901365460361
ncr_2026_r3,empirical_baseline,4,13.47,18.19,54,54,15.68888888888889,19.12962962962963,-3.4407407407407415,9.07925925925926,12.267433098037047,0.11260087101590666
ncr_2026_r3,empirical_baseline,5,18.31,33.69,54,54,22.160925925925923,31.166666666666668,-9.005740740740741,13.54722222222222,17.818031701164518,-0.009288932019538839
ncr_2026_r3,p3_robust_native,1,2.477538112320455,7.322948210691801,54,54,5.438451585254122,6.518518518518518,-1.0800669332643955,4.725984026907491,7.362213805583409,0.20175104435291358
ncr_2026_r3,p3_robust_native,2,7.348458355162159,11.508461340279997,54,54,9.081388177484696,9.75925925925926,-0.6778710817745642,7.089474527141063,8.698355644399689,-0.05318933550772766
ncr_2026_r3,p3_robust_native,3,11.551440173216166,16.35342718917314,53,53,13.967770745853198,15.471698113207546,-1.5039273673543496,7.189583943758464,9.285272254887321,0.1397377344797221
ncr_2026_r3,p3_robust_native,4,16.360364701842546,20.21959165171477,54,54,18.33919280941936,23.037037037037038,-4.697844227617679,11.371494176282475,16.220166207938334,0.2367503149711315
ncr_2026_r3,p3_robust_native,5,20.27020693421792,34.40085950120153,54,54,24.103268576445217,27.74074074074074,-3.637472164295526,11.880274083745327,14.812122857920686,0.18900676309628509
six_nations_2025_r1,empirical_baseline,1,2.699451422120446,6.500046230464467,27,27,4.763990585365192,5.703703703703703,-0.9397131183385115,2.9754855253993884,3.7505309253083445,0.4380232510747135
six_nations_2025_r1,empirical_baseline,2,6.595364531516755,11.47010053657954,26,26,9.248201477554613,12.576923076923077,-3.328721599368466,7.1462296933509455,8.872760822940746,-0.030516159090289544
six_nations_2025_r1,empirical_baseline,3,12.182885588031212,17.712462666094662,26,26,14.863229871670987,15.846153846153847,-0.9829239744828597,4.750980911390799,6.28923526165231,0.12918902808326174
six_nations_2025_r1,empirical_baseline,4,17.75458210100545,22.330183377218194,26,26,20.178718041531948,22.192307692307693,-2.0135896507757485,7.416587928247257,10.557114445291502,-0.14018898078437797
six_nations_2025_r1,empirical_baseline,5,22.439261066118725,41.230207190046094,27,27,28.020581718119235,30.77777777777778,-2.7571960596585425,11.58444908321568,15.74986122541758,0.39443951796799837
six_nations_2025_r1,p3_robust_native,1,3.109654050803284,6.187440057793566,27,27,4.7962408799703455,5.444444444444445,-0.6482035644740994,3.069449635160169,3.6365757504311103,0.2891182650250076
six_nations_2025_r1,p3_robust_native,2,6.357713841467212,9.953629432069471,26,26,7.913577090822285,13.192307692307692,-5.2787306014854085,7.203625786236723,9.105200410750419,0.23563836293281767
six_nations_2025_r1,p3_robust_native,3,10.458136601183057,16.042803398849646,26,26,13.465541553657747,15.73076923076923,-2.2652276771114828,6.009823159039376,7.791514756933689,0.18057139140525977
six_nations_2025_r1,p3_robust_native,4,16.04378043916657,20.70631435857454,26,26,18.418029619606877,22.76923076923077,-4.3512011496238925,7.270941188007436,11.130459274531868,0.2239729310921011
six_nations_2025_r1,p3_robust_native,5,20.99705167890352,38.88631473217584,27,27,26.626695781937247,30.0,-3.3733042180627506,10.89206570099826,15.411278115982329,0.48655293081186196
six_nations_2025_r2,empirical_baseline,1,1.5516255130427836,6.166877061692511,28,28,4.505759714455542,5.5,-0.9942402855444572,4.092183208103,5.587800363407733,0.3312744295501573
six_nations_2025_r2,empirical_baseline,2,6.337280004843125,11.512961572334792,27,27,8.42209894399015,7.925925925925926,0.496173018064225,4.7947080308337,6.852031888663078,0.3647845480677938
