slate,xv,captain_extra,super_sub,total,common_squad,common_xv,same_captain,same_super_sub,competition,season
ncr_2026_r1,-31.0,0.0,0.0,-31.0,13,12,True,True,ncr,2026
ncr_2026_r2,35.0,6.0,150.0,191.0,9,9,False,False,ncr,2026
ncr_2026_r3,-2.0,0.0,3.0,1.0,11,11,True,False,ncr,2026
six_nations_2025_r1,-10.0,-6.0,60.0,44.0,12,12,False,False,six_nations,2025
six_nations_2025_r2,17.0,0.0,0.0,17.0,14,13,False,True,six_nations,2025
six_nations_2025_r3,11.0,0.0,-30.0,-19.0,9,9,True,False,six_nations,2025
six_nations_2025_r4,-7.0,0.0,-60.0,-67.0,12,12,True,False,six_nations,2025
six_nations_2025_r5,-29.0,0.0,0.0,-29.0,12,11,True,True,six_nations,2025
six_nations_2026_r1,5.0,-16.0,0.0,-11.0,11,10,False,True,six_nations,2026
six_nations_2026_r2,32.0,-15.0,0.0,17.0,11,10,False,True,six_nations,2026
six_nations_2026_r3,27.0,0.0,-24.0,3.0,12,12,True,False,six_nations,2026
six_nations_2026_r4,-78.0,-31.0,0.0,-109.0,12,11,False,True,six_nations,2026
six_nations_2026_r5,30.0,14.0,0.0,44.0,13,12,False,True,six_nations,2026
