fixture_id,player_id,team,id,name,position,status,actual,predicted,is_sub,is_capt,slate,engine,multiplier,contribution,in_both_squads
291578,203070,Wales,123016,Jac Morgan,Back-row,P,56.0,24.22,False,False,ncr_2026_r1,empirical_baseline,1,56.0,True
291579,227772,England,137626,Fin Smith,Fly-half,P,31.0,21.89,False,False,ncr_2026_r1,empirical_baseline,1,31.0,False
291578,211638,Fiji,140494,Jiuta Wainiqolo,Back-three,P,80.0,28.64,False,False,ncr_2026_r1,empirical_baseline,1,80.0,True
291578,172098,Fiji,143950,Semi Radradra,Centre,P,12.0,25.76,False,False,ncr_2026_r1,empirical_baseline,1,12.0,True
291580,192666,Australia,146815,Angus Bell,Prop,P,15.0,15.15,False,False,ncr_2026_r1,empirical_baseline,1,15.0,True
291579,123516,South Africa,154929,Cheslin Kolbe,Back-three,P,41.0,30.21,False,True,ncr_2026_r1,empirical_baseline,2,82.0,True
291579,198696,England,173801,Alex Coles,Second-row,P,24.0,17.65,False,False,ncr_2026_r1,empirical_baseline,1,24.0,True
291580,186198,Ireland,175150,Robert Baloucoune,Back-three,P,0.0,26.25,False,False,ncr_2026_r1,empirical_baseline,1,0.0,True
291578,126930,Fiji,179604,Josua Tuisova,Centre,P,32.0,22.11,False,False,ncr_2026_r1,empirical_baseline,1,32.0,False
291577,130290,Scotland,196773,Pierre Schoeman,Prop,P,22.0,14.34,False,False,ncr_2026_r1,empirical_baseline,1,22.0,True
291579,178674,South Africa,207343,Grant Williams,Scrum-half,P,39.0,21.46,False,False,ncr_2026_r1,empirical_baseline,1,39.0,True
291580,186096,Ireland,211240,Dan Sheehan,Hooker,P,30.0,21.56,False,False,ncr_2026_r1,empirical_baseline,1,30.0,True
291578,154938,Wales,214124,James Botham,Back-row,B,9.0,10.0,True,False,ncr_2026_r1,empirical_baseline,3,27.0,True
291577,226080,Argentina,235266,Joaquin Oviedo,Back-row,P,32.0,22.23,False,False,ncr_2026_r1,empirical_baseline,1,32.0,True
291582,242406,Japan,238928,Warner Dearns,Second-row,P,29.0,17.16,False,False,ncr_2026_r1,empirical_baseline,1,29.0,False
291579,234816,South Africa,240452,Cameron Hanekom,Back-row,P,18.0,26.39,False,False,ncr_2026_r1,empirical_baseline,1,18.0,True
291578,203070,Wales,123016,Jac Morgan,Back-row,P,56.0,28.5736640526526,False,False,ncr_2026_r1,p3_robust_native,1,56.0,True
291578,211638,Fiji,140494,Jiuta Wainiqolo,Back-three,P,80.0,27.42854962262077,False,False,ncr_2026_r1,p3_robust_native,1,80.0,True
291578,172098,Fiji,143950,Semi Radradra,Centre,P,12.0,23.85026316587408,False,False,ncr_2026_r1,p3_robust_native,1,12.0,True
291578,219996,Wales,144545,Ben Carter,Second-row,P,10.0,21.96501903424704,False,False,ncr_2026_r1,p3_robust_native,1,10.0,False
291580,192666,Australia,146815,Angus Bell,Prop,P,15.0,17.464062081395028,False,False,ncr_2026_r1,p3_robust_native,1,15.0,True
291579,123516,South Africa,154929,Cheslin Kolbe,Back-three,P,41.0,30.605541749258894,False,True,ncr_2026_r1,p3_robust_native,2,82.0,True
291579,198696,England,173801,Alex Coles,Second-row,P,24.0,22.059518241003623,False,False,ncr_2026_r1,p3_robust_native,1,24.0,True
291580,186198,Ireland,175150,Robert Baloucoune,Back-three,P,0.0,24.079277530821503,False,False,ncr_2026_r1,p3_robust_native,1,0.0,True
291577,130290,Scotland,196773,Pierre Schoeman,Prop,P,22.0,17.35827524820176,False,False,ncr_2026_r1,p3_robust_native,1,22.0,True
291577,169434,Argentina,202239,Tomas Albornoz,Fly-half,P,27.0,20.917601337947502,False,False,ncr_2026_r1,p3_robust_native,1,27.0,False
291579,178674,South Africa,207343,Grant Williams,Scrum-half,P,39.0,20.78130224035413,False,False,ncr_2026_r1,p3_robust_native,1,39.0,True
291580,186096,Ireland,211240,Dan Sheehan,Hooker,P,30.0,25.60546701551597,False,False,ncr_2026_r1,p3_robust_native,1,30.0,True
291578,154938,Wales,214124,James Botham,Back-row,B,9.0,10.902783393574172,True,False,ncr_2026_r1,p3_robust_native,3,27.0,True
291582,226818,Italy,229557,Tommaso Menoncello,Centre,P,24.0,22.182389958974262,False,False,ncr_2026_r1,p3_robust_native,1,24.0,False
291577,226080,Argentina,235266,Joaquin Oviedo,Back-row,P,32.0,28.548181650034277,False,False,ncr_2026_r1,p3_robust_native,1,32.0,True
291579,234816,South Africa,240452,Cameron Hanekom,Back-row,P,18.0,27.62458674765333,False,False,ncr_2026_r1,p3_robust_native,1,18.0,True
291585,124026,South Africa,110910,Jesse Kriel,Centre,P,27.0,20.97,False,False,ncr_2026_r2,empirical_baseline,1,27.0,False
291583,203070,Wales,123016,Jac Morgan,Back-row,P,32.0,25.28,False,False,ncr_2026_r2,empirical_baseline,1,32.0,True
291587,202980,Italy,136875,Gianmarco Lucchesi,Hooker,B,15.0,9.29,True,False,ncr_2026_r2,empirical_baseline,3,45.0,False
291584,211638,Fiji,140494,Jiuta Wainiqolo,Back-three,P,23.0,24.38,False,False,ncr_2026_r2,empirical_baseline,1,23.0,True
291585,187422,Scotland,141860,Ewan Ashman,Hooker,P,25.0,20.09,False,False,ncr_2026_r2,empirical_baseline,1,25.0,False
291587,168972,New Zealand,146220,Will Jordan,Back-three,P,92.0,30.56,False,False,ncr_2026_r2,empirical_baseline,1,92.0,True
291583,185478,Argentina,165591,Mateo Carreras,Back-three,P,32.0,23.56,False,False,ncr_2026_r2,empirical_baseline,1,32.0,True
