slate,engine,xv,captain_extra,super_sub,total,captain_name,captain_actual,captain_predicted,super_sub_name,super_sub_actual,super_sub_predicted,predicted_total,unknown_selected,n_selected,n_xv,objective_under_empirical_baseline,objective_under_p3_robust_native,competition,season
ncr_2026_r1,empirical_baseline,461.0,41.0,27.0,529.0,Cheslin Kolbe,41.0,30.21,James Botham,9.0,10.0,395.23,0,16,15,395.23,419.9948353082336,ncr,2026
ncr_2026_r1,p3_robust_native,430.0,41.0,27.0,498.0,Cheslin Kolbe,41.0,30.605541749258894,James Botham,9.0,10.902783393574172,422.3575916065362,0,16,15,391.47999999999996,422.3575916065362,ncr,2026
ncr_2026_r2,empirical_baseline,418.0,30.0,45.0,493.0,Cam Roigard,30.0,32.29,Gianmarco Lucchesi,15.0,9.29,409.70000000000005,0,16,15,409.70000000000005,438.76071120017383,ncr,2026
ncr_2026_r2,p3_robust_native,453.0,36.0,195.0,684.0,Ardie Savea,36.0,33.92040170671364,Henry Pollock,65.0,11.177465315182417,451.5674373528426,0,16,15,390.89,451.5674373528426,ncr,2026
ncr_2026_r3,empirical_baseline,475.0,45.0,36.0,556.0,Matthieu Jalibert,45.0,33.69,Sean Jansen,12.0,12.09,427.5799999999999,0,16,15,427.5799999999999,435.7209889291218,ncr,2026
ncr_2026_r3,p3_robust_native,473.0,45.0,39.0,557.0,Matthieu Jalibert,45.0,34.40085950120153,Henry Pollock,13.0,11.4093194274603,452.0195298015275,0,16,15,409.3699999999999,452.0195298015275,ncr,2026
six_nations_2025_r1,empirical_baseline,450.0,37.0,15.0,502.0,Thomas Ramos,37.0,41.230207190046094,Tom Willis,5.0,11.47010053657954,490.26855233116254,0,16,15,490.26855233116254,450.93081324892717,six_nations,2025
six_nations_2025_r1,p3_robust_native,440.0,31.0,75.0,546.0,Antoine Dupont,31.0,38.88631473217584,Dan Sheehan,25.0,9.785270592361485,457.93492416960976,0,16,15,478.66968475251457,457.93492416960976,six_nations,2025
six_nations_2025_r2,empirical_baseline,318.0,34.0,30.0,382.0,Tom Willis,34.0,35.24162954686641,Dan Sheehan,10.0,11.512961572334792,463.98973312853707,0,16,15,463.98973312853707,449.1842268221368,six_nations,2025
six_nations_2025_r2,p3_robust_native,335.0,34.0,30.0,399.0,Thomas Ramos,34.0,33.48503563771882,Dan Sheehan,10.0,10.918721118422514,454.5599844372563,0,16,15,460.30162388510485,454.5599844372563,six_nations,2025
six_nations_2025_r3,empirical_baseline,382.0,36.0,33.0,451.0,Thomas Ramos,36.0,37.0572676191881,Bundee Aki,11.0,9.459664771730669,468.2040742275228,0,16,15,468.2040742275228,450.1075416747387,six_nations,2025
six_nations_2025_r3,p3_robust_native,393.0,36.0,3.0,432.0,Thomas Ramos,36.0,36.41492959618017,Ewan Ashman,1.0,9.669467568036316,464.72693590708536,0,16,15,456.66884115436335,464.72693590708536,six_nations,2025
six_nations_2025_r4,empirical_baseline,405.0,28.0,108.0,541.0,Duhan van der Merwe,28.0,34.930507896972614,Marcus Smith,36.0,10.78378847443069,460.6106397615335,0,16,15,460.6106397615335,444.5477270969478,six_nations,2025
six_nations_2025_r4,p3_robust_native,398.0,28.0,48.0,474.0,Duhan van der Merwe,28.0,33.803095867856975,Dewi Lake,16.0,9.571493217942493,454.8829387312959,0,16,15,455.2437761921038,454.8829387312959,six_nations,2025
six_nations_2025_r5,empirical_baseline,432.0,36.0,66.0,534.0,Thomas Ramos,36.0,41.14097871184083,Tom Willis,22.0,12.511989433285946,479.0947245275975,0,16,15,479.0947245275975,452.41082339360804,six_nations,2025
six_nations_2025_r5,p3_robust_native,403.0,36.0,66.0,505.0,Thomas Ramos,36.0,37.69982389066978,Tom Willis,22.0,11.612996768801542,459.1717479667375,0,16,15,470.358196721893,459.1717479667375,six_nations,2025
six_nations_2026_r1,empirical_baseline,450.0,46.0,9.0,505.0,Thomas Ramos,46.0,34.00442989025994,Henry Pollock,3.0,14.277667876734286,465.8684991066608,0,16,15,465.8684991066608,437.9692082989591,six_nations,2026
six_nations_2026_r1,p3_robust_native,455.0,30.0,9.0,494.0,Antoine Dupont,30.0,31.957572496197805,Henry Pollock,3.0,14.284239121965314,446.37973881562823,0,16,15,457.3277305582711,446.37973881562823,six_nations,2026
six_nations_2026_r2,empirical_baseline,433.0,48.0,66.0,547.0,Thomas Ramos,48.0,41.59380469654577,Henry Pollock,22.0,12.735281455257187,495.5790168818042,0,16,15,495.5790168818042,494.8314774061945,six_nations,2026
six_nations_2026_r2,p3_robust_native,465.0,33.0,66.0,564.0,Antoine Dupont,33.0,44.81852291498402,Henry Pollock,22.0,12.791091813723323,506.69563307853866,0,16,15,480.76311211027013,506.69563307853866,six_nations,2026
six_nations_2026_r3,empirical_baseline,350.0,56.0,54.0,460.0,Thomas Ramos,56.0,42.31329756352862,Marcus Smith,18.0,10.47721711861602,490.2377927402622,0,16,15,490.2377927402622,492.678046028871,six_nations,2026
six_nations_2026_r3,p3_robust_native,377.0,56.0,30.0,463.0,Thomas Ramos,56.0,42.90715485271233,Archie Griffin,10.0,9.32045091236057,496.680144207983,0,16,15,483.4763038085426,496.680144207983,six_nations,2026
six_nations_2026_r4,empirical_baseline,471.0,45.0,0.0,516.0,Thomas Ramos,45.0,37.05759271604253,Henry Pollock,0.0,11.898168339652024,471.6887011575124,0,16,15,471.6887011575124,474.48547375122854,six_nations,2026
six_nations_2026_r4,p3_robust_native,393.0,14.0,0.0,407.0,Matthieu Jalibert,14.0,41.09844892222091,Henry Pollock,0.0,12.485608871285068,484.34099071630493,0,16,15,465.03092225800964,484.34099071630493,six_nations,2026
