slate,id,baseline_prediction,actual,fixture_id,player_id,team,player_name,position,is_forward,status,competition,season,robust_prediction,baseline_xv,baseline_captain_extra,baseline_super_sub,robust_xv,robust_captain_extra,robust_super_sub,xv_weight_difference,captain_extra_weight_difference,super_sub_weight_difference,xv_difference,captain_extra_difference,super_sub_difference,total_difference
ncr_2026_r1,137626,21.89,31.0,291579,227772,England,Fin Smith,Fly-half,False,P,ncr,2026,19.890974712725583,1,0,0,0,0,0,-1,0,0,-31.0,0.0,0.0,-31.0
ncr_2026_r1,144545,14.96,10.0,291578,219996,Wales,Ben Carter,Second-row,True,P,ncr,2026,21.96501903424704,0,0,0,1,0,0,1,0,0,10.0,0.0,0.0,10.0
ncr_2026_r1,179604,22.11,32.0,291578,126930,Fiji,Josua Tuisova,Centre,False,P,ncr,2026,21.201007562164552,1,0,0,0,0,0,-1,0,0,-32.0,0.0,0.0,-32.0
ncr_2026_r1,202239,20.81,27.0,291577,169434,Argentina,Tomas Albornoz,Fly-half,False,P,ncr,2026,20.917601337947502,0,0,0,1,0,0,1,0,0,27.0,0.0,0.0,27.0
ncr_2026_r1,229557,21.64,24.0,291582,226818,Italy,Tommaso Menoncello,Centre,False,P,ncr,2026,22.182389958974262,0,0,0,1,0,0,1,0,0,24.0,0.0,0.0,24.0
ncr_2026_r1,238928,17.16,29.0,291582,242406,Japan,Warner Dearns,Second-row,True,P,ncr,2026,21.610271757976065,1,0,0,0,0,0,-1,0,0,-29.0,0.0,0.0,-29.0
ncr_2026_r2,103703,14.07,16.0,291588,149754,Japan,Harry Hockings,Second-row,True,P,ncr,2026,23.841580969661496,0,0,0,1,0,0,1,0,0,16.0,0.0,0.0,16.0
ncr_2026_r2,110910,20.97,27.0,291585,124026,South Africa,Jesse Kriel,Centre,False,P,ncr,2026,18.441701319713392,1,0,0,0,0,0,-1,0,0,-27.0,0.0,0.0,-27.0
ncr_2026_r2,136875,9.29,15.0,291587,202980,Italy,Gianmarco Lucchesi,Hooker,True,B,ncr,2026,10.396313898062788,0,0,3,0,0,0,0,0,-3,0.0,0.0,-45.0,-45.0
ncr_2026_r2,141860,20.09,25.0,291585,187422,Scotland,Ewan Ashman,Hooker,True,P,ncr,2026,22.888642591920448,1,0,0,0,0,0,-1,0,0,-25.0,0.0,0.0,-25.0
ncr_2026_r2,146815,15.24,12.0,291586,192666,Australia,Angus Bell,Prop,True,P,ncr,2026,18.52966084952083,0,0,0,1,0,0,1,0,0,12.0,0.0,0.0,12.0
ncr_2026_r2,172351,20.77,13.0,291588,129840,Ireland,Stuart McCloskey,Centre,False,P,ncr,2026,21.15824415538477,0,0,0,1,0,0,1,0,0,13.0,0.0,0.0,13.0
