job,seconds,comparison_seconds
"compare (slate, six_nations_2026_r5, six_nations)",379.0,306.0
"compare (slate, six_nations_2026_r4, six_nations)",379.0,310.0
"compare (slate, ncr_2026_r2, ncr)",336.0,274.0
"compare (slate, six_nations_2025_r5, six_nations)",258.0,193.0
"compare (raw, summer_internationals_2022, raw)",167.0,90.0
"compare (slate, ncr_2026_r1, ncr)",457.0,386.0
"compare (slate, six_nations_2025_r4, six_nations)",321.0,252.0
"compare (slate, six_nations_2026_r3, six_nations)",382.0,309.0
"compare (slate, six_nations_2025_r2, six_nations)",253.0,189.0
"compare (slate, ncr_2026_r3, ncr)",404.0,332.0
"compare (slate, six_nations_2025_r1, six_nations)",350.0,281.0
"compare (slate, six_nations_2025_r3, six_nations)",319.0,238.0
"compare (raw, pacific_nations_cup_2022, raw)",151.0,72.0
"compare (slate, six_nations_2026_r2, six_nations)",364.0,293.0
"compare (slate, six_nations_2026_r1, six_nations)",436.0,354.0
"compare (raw, autumn_internationals_2022, raw)",194.0,115.0
"compare (raw, rugby_championship_2022, raw)",111.0,51.0
"compare (raw, six_nations_2022, raw)",168.0,85.0
"compare (raw, six_nations_2024, raw)",270.0,175.0
"compare (raw, rugby_championship_2023, raw)",228.0,146.0
"compare (raw, six_nations_2023, raw)",168.0,104.0
"compare (raw, rugby_world_cup_2023, raw)",235.0,158.0
"compare (raw, rugby_championship_2024, raw)",275.0,199.0
"compare (raw, summer_internationals_2023, raw)",235.0,150.0
"compare (raw, summer_internationals_2024, raw)",276.0,197.0
"compare (raw, pacific_nations_cup_2024, raw)",274.0,199.0
"compare (raw, six_nations_2025, raw)",320.0,232.0
"compare (raw, autumn_internationals_2024, raw)",288.0,217.0
"compare (raw, summer_internationals_2025, raw)",336.0,259.0
"compare (raw, british_irish_lions_2025, raw)",279.0,201.0
"compare (raw, pacific_nations_cup_2025, raw)",353.0,265.0
"compare (raw, nations_championship_2026, raw)",412.0,331.0
"compare (raw, six_nations_2026, raw)",370.0,290.0
"compare (raw, autumn_internationals_2025, raw)",362.0,286.0
"compare (raw, rugby_championship_2025, raw)",364.0,287.0
