slate,position,xv_difference
ncr_2026_r1,Centre,-8.0
ncr_2026_r1,Fly-half,-4.0
ncr_2026_r1,Second-row,-19.0
ncr_2026_r2,Back-row,58.0
ncr_2026_r2,Centre,-14.0
ncr_2026_r2,Hooker,-9.0
ncr_2026_r2,Prop,-4.0
ncr_2026_r2,Scrum-half,0.0
ncr_2026_r2,Second-row,4.0
ncr_2026_r3,Back-row,9.0
ncr_2026_r3,Centre,-17.0
ncr_2026_r3,Prop,-8.0
ncr_2026_r3,Second-row,14.0
six_nations_2025_r1,Back-row,-2.0
six_nations_2025_r1,Back-three,0.0
six_nations_2025_r1,Hooker,0.0
six_nations_2025_r1,Prop,8.0
six_nations_2025_r1,Scrum-half,0.0
six_nations_2025_r1,Second-row,-16.0
six_nations_2025_r2,Back-row,0.0
six_nations_2025_r2,Back-three,0.0
six_nations_2025_r2,Centre,18.0
six_nations_2025_r2,Second-row,-1.0
six_nations_2025_r3,Back-row,13.0
six_nations_2025_r3,Back-three,22.0
six_nations_2025_r3,Centre,-21.0
six_nations_2025_r3,Hooker,0.0
six_nations_2025_r3,Prop,-1.0
six_nations_2025_r3,Second-row,-2.0
six_nations_2025_r4,Back-row,1.0
six_nations_2025_r4,Back-three,0.0
six_nations_2025_r4,Centre,-7.0
six_nations_2025_r4,Fly-half,-1.0
six_nations_2025_r4,Hooker,0.0
six_nations_2025_r5,Back-row,-20.0
six_nations_2025_r5,Prop,-18.0
six_nations_2025_r5,Second-row,9.0
six_nations_2026_r1,Back-row,27.0
six_nations_2026_r1,Back-three,-5.0
six_nations_2026_r1,Centre,-27.0
six_nations_2026_r1,Hooker,1.0
six_nations_2026_r1,Prop,9.0
six_nations_2026_r1,Scrum-half,0.0
six_nations_2026_r2,Back-row,13.0
six_nations_2026_r2,Back-three,2.0
six_nations_2026_r2,Centre,16.0
six_nations_2026_r2,Prop,-4.0
six_nations_2026_r2,Scrum-half,0.0
six_nations_2026_r2,Second-row,5.0
six_nations_2026_r3,Back-three,18.0
six_nations_2026_r3,Fly-half,0.0
six_nations_2026_r3,Prop,5.0
six_nations_2026_r3,Second-row,4.0
six_nations_2026_r4,Back-row,-49.0
six_nations_2026_r4,Back-three,0.0
six_nations_2026_r4,Centre,-22.0
six_nations_2026_r4,Fly-half,0.0
six_nations_2026_r4,Prop,-7.0
six_nations_2026_r4,Second-row,0.0
six_nations_2026_r5,Back-row,27.0
six_nations_2026_r5,Back-three,0.0
six_nations_2026_r5,Centre,3.0
six_nations_2026_r5,Fly-half,0.0
