gw,engine,team_points,captain,super_sub
1,p3_event_50,430,Cheslin Kolbe,Gianmarco Lucchesi
1,p3_event_weighted,495,Cheslin Kolbe,Gianmarco Lucchesi
2,p3_event_50,415,Jac Morgan,Gianmarco Lucchesi
2,p3_event_weighted,592,Ardie Savea,Tom Stewart
3,p3_event_50,446,Jaco Williams,James Botham
3,p3_event_weighted,543,Matthieu Jalibert,Andre-Hugo Venter
1,ncr_incumbent,477,Jac Morgan,James Botham
2,ncr_incumbent,560,Cam Roigard,Gianmarco Lucchesi
3,ncr_incumbent,558,Matthieu Jalibert,Sean Jansen
0,ncr_incumbent,1595,,
0,p3_event_50,1291,,
0,p3_event_weighted,1630,,
