gw,engine,team_points,captain,super_sub
1,p3_event_50,430.0,Cheslin Kolbe,Gianmarco Lucchesi
1,p3_event_weighted,495.0,Cheslin Kolbe,Gianmarco Lucchesi
2,p3_event_50,415.0,Jac Morgan,Gianmarco Lucchesi
2,p3_event_weighted,509.0,Ardie Savea,Tom Stewart
3,p3_event_50,446.0,Jaco Williams,James Botham
3,p3_event_weighted,469.0,Matthieu Jalibert,James Botham
1,ncr_incumbent,477.0,Jac Morgan,James Botham
2,ncr_incumbent,560.0,Cam Roigard,Gianmarco Lucchesi
3,ncr_incumbent,558.0,Matthieu Jalibert,Sean Jansen
0,ncr_incumbent,1595.0,,
0,p3_event_50,1291.0,,
0,p3_event_weighted,1473.0,,
