slate,same_ids,max_baseline_delta,max_actual_delta
ncr_2026_r2,True,0.0,0.0
ncr_2026_r3,True,0.0,0.0
six_nations_2026_r3,True,1.4210854715202004e-14,0.0
six_nations_2026_r4,True,0.0,0.0
six_nations_2026_r5,True,1.4210854715202004e-14,0.0
six_nations_2026_r2,True,2.1316282072803006e-14,0.0
six_nations_2025_r1,True,0.0,0.0
ncr_2026_r1,True,0.0,0.0
six_nations_2026_r1,True,1.4210854715202004e-14,0.0
six_nations_2025_r3,True,0.0,0.0
six_nations_2025_r4,True,0.0,0.0
six_nations_2025_r5,True,0.0,0.0
six_nations_2025_r2,True,1.4210854715202004e-14,0.0
